DATA DA COLETA,P1 - Entrada ETE Unisinos,P2 / P6 - Saída da ETE Unisinos,P3 - Arroio São João,TODA CONSEMA - TRIMENSAL (P1),TODA CONSEMA - TRIMENSAL (P2),LABORATÓRIO ALAC,OBSERVAÇÕES
2013-01-07,330.0,88.0,56.0,,,x,
2013-02-05,140.0,74.0,,57.0,88.0,x,William - ALAC apresentou justificativa pela não apresentação de relatório do P3 neste dia. - em 16/04/13
2013-03-05,,,,,,,William - ALAC justificou por e-mail a não apresentação de relatório nos 3 pts. para este dia. - em 06/05/13
2013-04-02,1750.0,290.0,104.0,,,x,Jeverton - ALAC justificou que o valor do P1 para este dia está correto. - Em 03/05
2013-05-07,10540.0,182.0,189.0,,,x,
2013-06-04,119.0,606.0,188.0,,,x,
2013-07-02,775.0,109.0,78.0,,,x,
2013-08-06,299.1,65.94,76.86,,,x,
2013-09-03,316.9,144.25,146.95,,,x,
2013-10-01,176.0,170.45,80.02,,,x,
2013-11-05,860.0,,48.26,,,x,"Conforme a Declaração ALAC de 13/nov, não houve coleta de efluente no P2 devido a falta de vazão."
2013-12-03,241.95,3154.4,187.05,,,x,
