DATAS DAS COLETAS ,P1 - Entrada ETE,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2 / P6- Saída ETE Unisinos,Resultado de P1/P2,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,LAB. ANÁLISES AMBIENTAIS,OBSERVAÇÕES
2014-01-08,168.0,33.0,19.0,24.0,21.5,0.8720238095238095,12.4,160.0,4.8,x,
2014-02-05,78.0,25.0,20.0,19.0,20.0,0.7435897435897436,6.4,42.0,5.2,x,
2014-03-06,98.0,17.0,8.0,7.0,7.0,0.9285714285714286,3.6,92.0,1.6,x,
2014-04-02,156.0,33.0,19.0,50.0,22.0,0.858974358974359,19.0,60.0,7.6,x,
2014-05-07,590.0,38.0,26.5,15.0,15.5,0.9737288135593221,10.4,74.0,3.2,x,
2014-06-04,230.0,53.0,44.0,36.0,39.0,0.8304347826086956,9.2,132.0,1.2,x,
2014-07-02,,,,,,,,,,,No mês de julho o Lab. de Análises Ambientais não realizou coleta. justificativa consta no laudo emitido. 
2014-08-06,102.0,56.0,29.0,32.5,29.0,0.4509803921568627,18.8,76.0,11.4,x,
2014-09-03,160.0,33.0,33.0,35.0,35.0,0.79375,11.8,76.0,2.0,x,
2014-10-01,290.0,42.0,57.0,43.0,72.0,0.8551724137931034,16.0,52.0,6.4,x,
2014-11-05,104.0,22.5,20.0,8.0,22.5,0.7836538461538461,7.0,22.0,1.8,x,
2014-12-04,110.0,32.0,18.5,12.0,16.5,0.7090909090909091,19.0,83.0,13.6,,
