DATAS DAS COLETAS ,P1 - Entrada ETE,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2 / P6- Saída ETE Unisinos,Resultado de P1/P2,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,P7 - Rede Pluvial (trimestral),LAB. ANÁLISES AMBIENTAIS
2015-01-07,130,2.5,14.5,26.0,4.5,0.9653846153846154,6.8,15.0,11.8,62.7,x
2015-02-04,48,10.0,6.0,6.0,4.0,0.9166666666666666,4.6,48.0,1.8,,x
2015-03-06,147,,,,43.0,0.7074829931972789,,,6.2,,x
2015-04-01,360,,,,48.0,0.8666666666666667,4.4,97.0,6.0,13.5,x
2015-05-06,280,60.0,76.0,28.0,32.0,0.8857142857142857,6.8,148.0,7.2,,x
2015-06-03,331,,,,73.0,0.7794561933534743,17.0,128.0,9.0,,x
2015-07-01,156,,,,68.0,0.5641025641025641,8.1,83.0,11.6,,x
2015-08-05,131,39.0,8.5,15.0,11.0,0.916030534351145,9.0,50.0,4.7,,x
2015-09-03,224,44.0,39.0,31.0,31.5,0.859375,8.6,104.0,12.8,,x
2015-10-08,47,,,,22.9,0.5127659574468085,7.6,11.0,3.0,10.3,x
2015-11-04,151,22.0,16.0,24.5,20.0,0.8543046357615894,6.6,70.0,21.0,,x
2015-12-02,204,36.0,16.0,7.5,14.5,0.8235294117647058,12.0,188.0,52.0,,x
