DATAS DAS COLETAS ,P1 - Entrada ETE Unisinos,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores,P2 / P6 - Saída ETE Unisinos,Resultado de P1/P2,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,LAB. ANÁLISES AMBIENTAIS,OBSERVAÇÕES
2014-01-08,360.7,42.1,30.2,29.3,20.2,0.9439977820903798,16.9,205.2,16.9,x,
2014-02-05,371.9,81.7,55.9,56.8,74.6,0.7994084431298736,32.9,163.4,32.4,x,
2014-03-06,129.6,31.1,32.0,19.0,20.7,0.8402777777777778,19.9,190.1,12.1,x,
2014-04-02,260.4,52.1,27.8,21.7,20.8,0.9201228878648233,33.4,206.6,14.8,x,
2014-05-07,339.7,75.7,31.0,39.6,27.5,0.9190462172505152,21.1,141.9,19.4,x,
2014-06-04,468.7,86.0,49.0,55.0,53.3,0.886281203328355,26.7,223.6,5.0,x,
2014-07-02,,,,,,,,,,,No mês de julho o Lab. de Análises Ambientais não realizou coleta. justificativa consta no laudo emitido. 
2014-08-06,128.1,59.9,44.3,49.2,360.8,-1.8165495706479313,23.4,59.0,18.5,x,
2014-09-03,342.0,55.2,30.5,59.3,46.1,0.8652046783625731,40.4,179.2,25.5,x,Coleta realizada em 10/09/14
2014-10-01,495.0,93.2,57.4,34.9,61.6,0.8755555555555555,28.3,83.2,34.1,x,
2014-11-05,222.5,66.3,32.7,34.5,48.1,0.7838202247191011,21.3,31.8,12.3,x,
2014-12-04,197.1,60.5,56.6,69.8,37.2,0.8112633181126332,98.6,287.1,36.9,x,
