DATAS DAS COLETAS ,P1 - Entrada ETE Unisinos,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores,P2 / P6 - Saída ETE Unisinos,Resultado de P1/P2,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,P7 - Rede Pluvial (trimestral),LAB. ANÁLISES AMBIENTAIS
2015-01-07,357.2,32.8,29.6,21.8,35.9,0.8994960806270996,18.3,81.9,12.1,204.8,x
2015-02-04,274.5,38.8,28.5,17.6,19.8,0.9278688524590164,13.9,175.7,11.3,,x
2015-03-06,339.4,,,,82.3,0.7575132586918091,16.8,94.5,21.5,,x
2015-04-01,374.4,43.2,,,43.2,0.8846153846153846,5.3,211.2,5.3,48.5,x
2015-05-06,470.6,88.0,48.6,52.6,50.6,0.8924776880577986,29.3,222.6,21.3,,x
2015-06-03,425.9,85.2,,,85.2,0.7999530406198638,32.9,213.0,25.1,,x
2015-07-01,321.0,28.3,,,28.3,0.9118380062305296,24.3,44.8,16.0,70.8,x
2015-08-05,156.8,36.8,35.3,14.7,44.1,0.71875,21.6,44.1,8.3,,x
2015-09-03,311.4,45.8,59.5,33.0,69.6,0.7764932562620424,17.4,68.7,31.1,,x
2015-10-08,105.3,,,,46.0,0.5631528964862298,23.4,22.0,9.6,12.8,x
2015-11-04,196.9,39.4,29.3,35.7,20.2,0.8974098527171153,14.2,141.1,33.0,,x
2015-12-02,290.4,49.5,21.9,11.4,13.3,0.9542011019283747,18.1,199.9,79.0,,x
