DATAS DAS COLETAS ,P1 - Entrada ETE Unisinos,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores,P2 / P6 - Saída ETE Unisinos,Resultado de P1/P2,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,P7 - Rede Pluvial (trimestral),OBSERVAÇÕES
2016-01-06,394.8,32.9,16.0,19.7,32.9,0.9166666666666666,17.4,188.0,13.6,21.2,
2016-02-05,64.4,37.5,11.2,9.0,38.6,0.4006211180124224,34.2,36.4,23.2,,
2016-03-02,504.9,54.0,25.9,45.6,34.6,0.9314715785304021,31.3,183.6,17.3,,
2016-04-06,207.9,21.3,3.8,1.6,27.0,0.8701298701298701,19.7,429.3,24.3,11.3,
2016-05-04,378.7,,,,75.7,0.8001056245048851,13.2,273.5,6.3,,
2016-06-01,523.3,134.0,124.8,134.0,134.0,0.7439327345690808,66.1,615.1,26.6,,
2016-07-06,926.3,76.2,70.7,56.8,64.7,0.9301522185037245,47.8,373.5,35.9,60.8,
2016-08-03,215.9,224.9,96.4,66.3,84.3,0.6095414543770264,12.6,200.8,33.1,,
2016-09-08,330.4,54.8,196.4,91.6,65.1,0.8029661016949152,22.2,410.6,35.4,,
2016-10-05,198.2,136.9,110.4,103.8,80.2,0.5953582240161452,53.3,391.8,19.4,57.6,
2016-11-03,212.5,65.8,36.4,18.2,131.6,0.3807058823529412,84,728.6,20.7,,
2016-12-07,139.5,33.1,76.7,36.6,14.0,0.8996415770609318,"<5,0",126.4,27.5,,
