DATA DA COLETA,LODO_REATOR_UASB,ANAL. AMB.,OBSERVAÇÕES
2013-01-09,77.0,x,
2013-02-14,84.2,x,
2013-03-06,51.9,x,
2013-04-03,72.0,x,
2013-05-08,66.5,x,
2013-06-05,,x,Não havia lodo neste dia
2013-07-03,75.6,x,
2013-08-07,184.2,x,
2013-09-04,92.1,x,
2013-10-02,140.9,x,
2013-11-06,,x,"À pedido do responsável da empresa Ecovisual, não foram realizadas coletas pelo Lab. Análises Ambientais no mês de novembro devido aos equipamentos da ETE terem sido submetidos para manutenção, pois estavam estragados."
2013-12-04,303.9,x,
