DATA DA COLETA,P1,P2/P6,P1/P2,P3,P4,P5,LABORATÓRIO ALAC,OBSERVAÇÕES
2014-01-07,24196000.0,67000.0,0.9972309472640106,118700,4352000,14800,x,
2014-02-05,613100.0,77010.0,0.8743924319034415,648800,241960,100,x,
2014-03-05,1553100.0,198630.0,0.8721073981070118,870400,177000,40400,x,
2014-04-02,24196000.0,4100.0,0.9998305505042155,2000,4106000,2000,x,
2014-05-07,198630.0,241960.0,-0.21814428837537125,41060,2419600,1890,x,
2014-06-04,2419600.0,86700.0,0.9641676310133906,3310,2419600,4260,x,
2014-07-07,14136000.0,,1.0,7701000,2489000,189000,x,No mês de julho o Lab. de ALAC não realizou coleta no P2. justificativa consta no laudo emitido. 
2014-08-06,,,,5200,14136000,5200,x,
2014-09-03,2419600.0,24810.0,0.9897462390477765,3050,2419600,2280,x,
2014-10-01,24196000.0,73000.0,0.996982972392131,12200,1203300,16900,x,Coleta realizada em 20/10/14
2014-11-05,19863000.0,663000.0,0.9666213562905905,105000,762000,8600,x,
2014-12-03,15531000.0,41000.0,0.997360118472732,5200,3654000,1000,x,
