DATA DA COLETA,P1,P2/P6,P1/P2,P3,P4,P5,LABORATÓRIO ALAC,OBSERVAÇÕES
2015-01-12,24196000,624000,0.9742106133245164,63000,3654000,1162000,x,
2015-02-09,111990,12100,0.8919546388070363,1220,111990,20460,x,
2015-03-10,12997000,624000,0.9519889205201201,42500,1119900,93300,x,CBR estava paralizado neste dia. Amostragem do ponto de saída realizada no P6.
2015-04-08,1986300,111990,0.9436187887026128,81600,1119900,77100,x,CBR estava paralizado neste dia. Amostragem do ponto de saída realizada no P6.
2015-05-12,111990,11870,0.894008393606572,11620,198630,16070,x,
2015-06-09,12997000,111990,0.9913833961683466,30900,1106000,9800,x,
2015-07-07,920800,461100,0.49923979148566466,272300,547500,2000,x,
2015-08-11,3255000,11870,0.9963533026113671,133300,307600,214300,x,
2015-09-03,6488000,24300,0.9962546239210851,77600,435200,27500,x,
2015-10-01,12033000,1236000,0.8972824731987036,47300,11000,18900,x,
2015-11-05,10462000,12740,0.9987822596061938,261300,60200,275500,x,
2015-12-03,241900000,48800000,0.7982637453493179,16200000,14200000,3700000,x,
