DATA DA COLETA,P1,P2/P6,P1/P2,P3,P4,P5,OBSERVAÇÕES
2016-01-07,130000,33000.0,0.7461538461538462,230.0,49000,2000,
2016-02-04,170000,79000.0,0.5352941176470588,130.0,33000,1100,Coleta realizada no P6.
2016-03-03,230000,1.8,0.9999921739130435,78.0,350000,330,
2016-04-07,340000,1.8,0.999994705882353,1.8,130000,220,
2016-05-05,220000,1.08,0.9999950909090909,68.0,49000,170,Coleta realizada no P6.
2016-06-02,41000,3500.0,0.9146341463414634,3500.0,33000,3500,
2016-07-07,27000,490.0,0.9818518518518519,130.0,23000,1300,
2016-08-04,13000,230.0,0.9823076923076923,170.0,34000,790,
2016-09-01,7900,270.0,0.9658227848101266,130.0,13000,330,
2016-10-06,9400,220.0,0.9765957446808511,790.0,1700,490,
2016-11-03,4900,170.0,0.9653061224489796,270.0,1300,460,
2016-12-01,3300,1100.0,0.6666666666666667,340.0,1100,320,
