DATA DA COLETA,P1 - Entrada ETE,P2 / P6 - Saída da ETE,ANAL. AMB.,OBSERVAÇÕES
2013-01-22,1.0,3.1,X,
2013-02-05,1.7,2.6,X,
2013-03-12,2.4,5.9,x,
2013-05-14,7.1,7.3,x,Coleta realizada em 15/05
2013-06-11,5.9,6.1,x,
2013-07-09,3.4,1.4,x,
2013-08-13,1.7,3.0,x,
2013-09-10,2.7,3.2,x,
2013-10-08,3.1,5.1,x,
2013-11-12,,,x,"À pedido do responsável da empresa Ecovisual, não foram realizadas coletas pelo Lab. Análises Ambientais no mês de novembro devido aos equipamentos da ETE terem sido submetidos para manutenção, pois estavam estragados."
2013-12-10,3.7,2.9,x,
