DATA DA COLETA,P1 - Entrada ETE,P2 / P6 - Saída da ETE,P7 - Rede Pluvial (trimestral),ANAL. AMB.,OBSERVAÇÕES
2015-01-13,2.8,0.4,6.6,x,
2015-02-10,3.3,4.1,,x,
2015-03-10,10.6,7.6,,x,Neste dia a coleta foi realizada no P6
2015-04-07,4.0,3.7,1.2,x,
2015-05-12,6.9,6.0,,x,
2015-06-10,4.7,3.0,,x,
2015-07-07,9.2,3.1,5.4,x,Neste dia a coleta foi realizada no P6
2015-08-12,6.5,4.4,,x,
2015-09-09,7.3,5.3,,x,
2015-10-07,0.63,2.06,0.42,x,Neste dia a coleta foi realizada no P6
2015-11-11,5.7,4.2,,x,
2015-12-09,7.4,5.1,,x,
