DATA DA COLETA,P1 - Entrada ETE,P2/P6- Saída da ETE ,P1 - Média mês,P2/P6 - Média mês,ANAL. AMB.,OBSERVAÇÕES
2014-01-08,25.8,18.5,24.450000000000003,14.75,x,
2014-01-14,23.1,12.7,,,x,
2014-01-21,33.6,14.0,,,x,
2014-01-28,17.5,13.8,,,x,
2014-02-05,20.1,17.6,25.299999999999997,13.700000000000001,x,
2014-02-11,5.7,3.6,,,x,
2014-02-18,25.5,9.5,,,x,
2014-02-25,49.9,24.1,,,x,
2014-03-06,22.6,4.2,38.025000000000006,20.325000000000003,x,
2014-03-11,41.7,17.5,,,x,
2014-03-18,41.2,19.0,,,x,
2014-03-25,46.6,40.6,,,x,
2014-04-02,42.9,39.1,40.73333333333333,24.625000000000004,x,
2014-04-08,40.2,29.8,,,x,
2014-04-15,36.4,27.7,,,x,
2014-04-22,42.9,1.9,,,x,
2014-04-29,,,,,x,"Não foi feita análise de Nitrogênio Amoniacal em 29/04/2014, pois os equipamentos da ETE estavam em manutenção neste dia."
2014-05-07,45.6,65.4,51.825,49.325,x,
2014-05-13,44.5,30.7,,,x,
2014-05-20,64.0,40.2,,,x,
2014-05-27,53.2,61.0,,,x,
2014-06-04,45.6,77.9,41.06666666666666,44.9,x,
2014-06-10,38.0,23.6,,,x,
2014-06-17,23.5,51.5,,,x,
2014-06-24,39.6,26.6,,,x,
2014-07-02,,,,,x,No mês de julho o Lab. de Análises Ambientais não realizou coleta. justificativa consta no laudo emitido. 
2014-07-08,,,,,x,
2014-07-15,,,,,x,
2014-07-22,,,,,x,
2014-07-29,,,,,x,
2014-08-06,19.9,83.0,42.625,81.275,x,
2014-08-12,26.9,87.9,,,x,
2014-08-19,68.5,86.6,,,x,
2014-08-26,55.2,67.6,,,x,
2014-09-03,0.0,0.0,18.033333333333335,34.96,x,Férias do operador
2014-09-09,54.1,60.9,,,x,Coleta realizada pelo Sr. Fernando Quintana
2014-09-16,0.0,0.0,,,x,Férias do operador
2014-09-23,24.8,52.9,,,x,
2014-09-30,53.1,61.0,,,x,
2014-10-01,42.4,54.5,45.125,41.46,x,
2014-10-07,51.9,38.7,,,x,
2014-10-14,41.6,28.7,,,x,
2014-10-21,44.6,32.7,,,x,
2014-10-28,52.1,52.7,,,x,
2014-11-05,34.5,45.7,39.175000000000004,41.574999999999996,x,
2014-11-11,45.2,52.3,,,x,
2014-10-18,63.2,54.1,,,x,
2014-11-25,13.8,14.2,,,x,
2014-12-04,15.6,12.4,15.566666666666668,8.466666666666667,x,
2014-12-09,17.6,6.8,,,x,
2014-12-16,13.5,6.2,,,x,
