DATA DA COLETA,P1 - Entrada ETE,P2/P6- Saída da ETE ,P7 - Rede Pluvial (trimestral),P1 - Média mês,P2/P6 - Média mês,OBSERVAÇÕES
2016-01-06,22.5,19.7,1.18,25.6,16.225,
2016-01-12,28.7,12.3,,,,
2016-01-19,52.9,14.9,,,,
2016-01-26,42.1,18.0,,,,
2016-02-06,14.4,14.9,,29.35,10.175,
2016-02-11,25.3,1.3,,,,
2016-02-16,33.3,12.9,,,,
2016-02-23,44.4,11.6,,,,
2016-03-02,54.4,46.0,,55.75999999999999,35.28,
2016-03-08,73.3,33.0,,,,
2016-03-15,54.1,28.6,,,,
2016-03-22,47.1,37.7,,,,
2016-03-29,49.9,31.1,,,,
2016-04-06,38.3,45.8,5.4,36.625,51.6,
2016-04-12,43.9,40.6,,,,
2016-04-19,50.8,83.5,,,,
2016-04-26,13.5,36.5,,,,
2016-05-04,55.5,82.8,,54.15,77.725,Neste dia a coleta foi realizada no P6
2016-05-10,53.0,78.8,,,,Neste dia a coleta foi realizada no P6
2016-05-17,46.0,68.2,,,,Neste dia a coleta foi realizada no P6
2016-05-24,62.1,81.1,,,,Neste dia a coleta foi realizada no P6
2016-06-01,45.8,95.0,,61.166666666666664,80.33999999999999,Início partida CBR
2016-06-07,63.3,88.5,,,,
2016-06-14,70.2,86.2,,,,Dia 11/07 quebrou correia do CBR
2016-07-21,38.1,58.4,,,,
2016-06-28,74.4,73.6,,,,
2016-07-06,21.8,49.7,48.3,16.6,22.0,
2016-07-12,16.1,21.0,,,,
2016-07-19,14.0,10.6,,,,
2016-07-26,14.5,6.7,,,,
2016-08-03,44.2,10.3,,37.53333333333333,32.13333333333333,
2016-08-09,20.6,23.7,,,,
2016-08-16,42.1,46.7,,,,
2016-08-23,25.8,65.6,,,,
2016-08-30,37.3,32.7,,,,
2016-09-08,55.2,13.8,,50.400000000000006,36.775,
2016-09-13,45.6,51.0,,,,
2016-09-22,41.7,21.3,,,,
2016-09-27,59.8,61.0,,,,
2016-10-05,39.9,80.2,7.9,26.85,40.34,
2016-10-11,27.4,42.8,,,,
2016-10-18,10.2,15.9,,,,
2016-10-25,29.9,40.5,,,,
2016-11-03,31.0,22.3,,35.239999999999995,33.220000000000006,
2016-11-08,34.1,32.4,,,,
2016-11-17,31.7,29.2,,,,
2016-11-22,39.4,44.7,,,,
2016-11-29,40.0,37.5,,,,
2016-12-07,31.9,23.6,,35.4,20.633333333333336,
2016-12-13,48.5,21.5,,,,
2016-12-20,25.8,16.8,,,,
