DATA DA COLETA,P1 - Entrada ETE,P2/P6- Saída da ETE ,P7 - Rede Pluvial (trimestral),P1 - Média mês,P2/P6 - Média mês,Ponto de coleta Saída (P2 ou P6),OBSERVAÇÕES
2017-01-04,14.8,11.2,0.6,11.100000000000001,8.95,,
2017-01-10,7.4,9.8,,,,,
2017-01-17,20.3,6.5,,,,,
2017-01-24,42.6,8.3,,,,,
2017-02-01,8.5,19.2,,24.924999999999997,11.3,,
2017-02-07,15.2,5.8,,,,,
2017-02-14,32.4,6.8,,,,,
2017-02-21,43.6,13.4,,,,,
2017-03-01,68.2,51.5,,64.28,47.94,P6,CBR estava em conserto
2017-03-07,101.4,60.2,,,,P6,CBR estava em conserto
2017-03-14,46.9,33.8,,,,,
2017-03-21,51.9,48.1,,,,,
2017-03-28,53.0,46.1,,,,,
2017-04-05,40.1,29.8,9.1,57.425000000000004,31.974999999999998,,
2017-04-11,42.8,34.8,,,,,
2017-04-14,84.2,30.0,,,,,
2016-04-25,62.6,33.3,,,,,
2017-05-03,88.6,27.0,,59.05,45.099999999999994,P6,CBR estava em conserto
2017-05-09,43.3,64.3,,,,P6,CBR estava em conserto
2017-05-16,64.0,36.8,,,,P6,CBR estava em conserto
2017-05-23,40.3,52.3,,,,,
2017-05-30,59.6,73.3,,,,,
2017-06-07,83.5,28.0,,30.2,28.525,,
2017-06-13,65.3,20.8,,,,,
2017-06-20,37.8,30.9,,,,,
2017-06-27,41.8,34.4,,,,,
2017-07-07,22.4,27.8,6.7,34.175,24.3,,
2017-07-11,21.6,12.4,,,,,
2017-07-18,42.4,17.4,,,,,
2017-07-25,50.3,39.6,,,,P6,CBR estava em conserto
2017-08-02,24.2,45.6,,43.13333333333333,56.81666666666666,P6,CBR estava em conserto
2017-08-08,36.9,46.5,,,,P6,CBR estava em conserto
2017-08-15,54.7,52.3,,,,P6,CBR estava em conserto
2017-08-22,45.0,49.4,,,,P6,CBR estava em conserto
2017-08-29,33.9,71.9,,,,P6,CBR estava em conserto
2017-09-06,64.1,75.2,,55.949999999999996,54.3,,
2017-09-12,47.8,44.3,,,,,
2017-09-19,48.7,40.5,,,,,
2017-09-26,67.6,57.2,,,,,
2017-10-04,47.2,58.3,0.5,39.75,41.62,,
2017-10-10,38.3,37.9,,,,,
2017-10-17,29.0,39.8,,,,,
2017-10-24,44.5,24.6,,,,,
2017-11-01,19.7,47.5,,36.9,44.94,,
2017-11-07,30.3,43.6,,,,,
2017-11-14,24.4,29.5,,,,,
2017-11-21,66.0,59.1,,,,,
2017-11-28,44.1,45.0,,,,,
2017-12-06,34.6,57.7,,21.400000000000002,49.13333333333333,,
2017-12-12,18.8,46.1,,,,,
2017-12-19,10.8,43.6,,,,,
