DATA DA COLETA,P1 - Entrada ETE,P2/P6- Saída da ETE ,P7 - Rede Pluvial (trimestral),P1 - Média mês,P2/P6 - Média mês,OBSERVAÇÕES
2019-01-02,10.7,28.1,6.6,18.119999999999997,29.060000000000002,
2019-01-08,17.0,30.4,,,,
2019-01-15,22.9,38.6,,,,
2019-01-22,14.4,20.9,,,,
2019-01-29,25.6,27.3,,,,
2019-02-06,10.6,28.4,,24.2,32.5,
2019-02-12,11.0,19.1,,,,
2019-02-19,16.2,24.2,,,,
2019-02-26,59.0,58.3,,,,
2019-03-08,15.1,58.5,,37.875,59.375,
2019-03-12,20.1,62.9,,,,
2019-03-19,61.1,48.6,,,,
2019-03-26,55.2,67.5,,,,
2019-04-03,39.9,104.9,22.9,36.95,72.025,
2019-04-09,32.1,84.9,,,,
2019-04-16,34.5,41.5,,,,
2019-04-23,41.3,56.8,,,,
2019-05-03,26.4,62.9,,23.2,44.62,
2019-05-07,21.2,55.8,,,,
2019-05-14,31.0,43.3,,,,
2019-05-21,22.7,43.4,,,,
2019-05-28,14.7,17.7,,,,
2019-06-05,15.2,41.6,,26.925,44.825,
2019-06-11,18.3,44.9,,,,
2019-06-18,35.0,47.8,,,,
2019-06-25,39.2,45.0,,,,
2019-07-03,15.4,42.3,0.9,22.5,34.239999999999995,
2019-07-09,17.1,34.9,,,,
2019-07-16,53.5,44.9,,,,
2019-07-23,17.4,32.3,,,,
2019-07-30,9.1,16.8,,,,
2019-08-07,17.6,69.0,,23.674999999999997,56.625,
2019-08-13,14.7,34.0,,,,
2019-08-20,21.4,65.1,,,,
2019-08-27,41.0,58.4,,,,
2019-09-04,28.1,79.1,,35.025,76.725,
2019-09-10,39.4,85.6,,,,
2019-09-17,24.0,67.6,,,,
2019-09-24,48.6,74.6,,,,
2019-10-02,50.4,81.7,17.8,27.76,45.660000000000004,
2019-10-08,5.4,14.2,,,,
2019-10-16,34.3,43.2,,,,
2019-10-22,24.7,42.2,,,,
2019-10-29,24.0,47.0,,,,
2019-11-06,14.3,31.3,,28.25,42.825,
2019-11-12,26.3,28.3,,,,
2019-11-19,36.3,54.6,,,,
2019-11-26,36.1,57.1,,,,
2019-12-04,26.3,42.5,,29.8,29.8,
2019-12-10,32.1,44.3,,,,
2019-12-17,31.0,35.5,,,,
