DATAS DAS COLETAS ,P1 - Entrada ETE,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2 - Saída da ETE,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,LAB. ANÁLISES AMBIENTAIS,OBSERVAÇÕES DO LAUDO
2013-01-09,6.1,6.5,6.7,6.8,6.9,6.9,6.4,6.8,x,
2013-02-14,7.1,6.8,6.2,6.6,6.7,7.1,7.0,7.4,x,
2013-03-06,7.4,7.8,7.7,7.9,7.9,8.1,8.8,9.0,x,
2013-04-03,7.2,7.4,6.4,7.4,7.2,7.4,7.4,8.5,x,
2013-05-08,6.9,7.2,6.8,7.0,7.1,7.3,7.0,7.6,x,
2013-06-05,7.1,7.2,6.9,7.2,7.3,7.3,7.0,7.3,x,
2013-07-03,6.9,7.1,7.5,7.5,7.4,7.3,7.2,7.5,x,
2013-08-07,7.1,7.2,7.5,7.5,7.5,7.3,7.3,7.4,x,
2013-09-04,7.0,7.3,7.6,7.6,7.6,7.3,7.0,7.3,x,
2013-10-02,6.9,7.4,7.7,7.8,7.8,7.1,7.0,7.7,x,
2013-11-06,,,,,,,,,x,"À pedido do responsável da empresa Ecovisual, não foram realizadas coletas pelo Lab. Análises Ambientais no mês de novembro devido aos equipamentos da ETE terem sido submetidos para manutenção, pois estavam estragados."
2013-12-04,6.8,7.5,7.6,7.7,7.7,7.0,7.0,8.7,,
