DATAS DAS COLETAS ,P1 - Entrada ETE,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2/P6 - Saída da ETE,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,P7 - Rede Pluvial (Trimestral),LAB. ANÁLISES AMBIENTAIS
2015-01-07,6.7,7.1,7.2,7.3,7.4,6.5,6.7,8.9,7.9,x
2015-02-04,7.1,7.4,7.4,7.5,7.5,7.1,7.0,9.0,­,x
2015-03-06,6.9,,,,7.0,6.7,6.9,7.4,,x
2015-04-01,6.7,,,,7.1,7.3,7.1,7.5,7.1,x
2015-05-06,7.1,7.4,7.3,7.5,7.6,7.2,7.3,7.8,,x
2015-06-03,6.9,,,,7.1,7.2,7.1,7.6,,x
2015-07-01,7.0,,,,6.9,7.2,7.2,7.6,7.5,x
2015-08-05,7.0,7.4,8.1,7.9,7.8,7.1,6.8,7.1,,x
2015-09-03,6.7,7.3,7.6,7.6,7.7,7.1,7.1,7.2,,x
2015-10-08,6.7,,,,6.9,7.0,7.0,7.1,7.6,x
2015-11-04,6.6,7.4,7.8,7.8,7.8,6.9,7.1,6.8,,x
2015-12-02,7.0,7.2,6.0,7.4,7.3,7.0,7.0,6.7,,x
