DATAS DAS COLETAS ,P1 - Entrada ETE,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2 /P6 - Saída da ETE ,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,P7 - Rede Pluvial Acesso 1 (Trimestral),OBSERVAÇÕES
2017-01-04,6.7,7.1,6.9,7.2,7.2,6.9,7.2,9.8,7.7,
2017-02-01,6.6,7.1,6.0,7.4,7.4,7.1,7.7,7.7,,
2017-03-01,7.4,7.2,7.3,7.5,7.5,7.4,7.4,9.6,,
2017-04-05,6.6,7.3,7.6,7.3,7.2,7.4,7.8,7.6,4.9,
2017-05-03,6.6,,,,6.8,7.0,7.3,7.8,,
2017-06-07,6.7,7.2,7.6,7.7,7.7,7.3,7.2,7.0,,
2017-07-07,6.8,7.0,5.7,7.6,7.6,7.3,7.5,7.7,8.4,
2017-08-02,6.7,,,,6.8,7.1,7.5,8.1,,
2017-09-06,7.0,7.3,7.9,7.9,7.9,7.3,7.4,7.5,,
2017-10-04,7.2,7.4,7.9,7.9,7.9,7.2,7.7,9.7,8.1,
2017-11-01,6.5,7.1,7.4,7.5,7.5,6.9,6.7,7.7,,
2017-12-06,6.6,,,,6.6,6.9,7.0,8.1,,
