DATAS DAS COLETAS ,P1 - Entrada ETE,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2/P6 - Saída da ETE,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,P7 - Rede Pluvial (Trimestral),OBSERVAÇÕES
2018-01-24,6.6,6.9,6.3,6.4,6.6,6.9,6.7,7.2,,
2018-02-15,6.6,7.1,6.6,6.7,6.6,6.8,7.3,7.4,6.3,
2018-03-07,6.9,,,,7.3,7.4,7.8,7.7,,
2018-04-04,7.0,,,,7.4,7.4,7.6,8.7,6.0,
2018-05-02,7.4,,,,7.2,7.5,7.6,9.6,,
2018-06-06,7.4,,,,7.9,7.9,7.6,8.0,,
2018-07-04,6.8,6.9,8.0,7.9,7.9,7.2,7.1,7.4,6.3,
2018-08-01,6.6,,,,6.7,7.0,7.0,7.6,,
2018-09-05,6.7,7.1,8.3,7.7,7.7,7.2,6.8,7.5,,
2018-10-03,6.7,7.0,7.2,7.4,7.4,7.2,6.8,7.2,6.5,
2018-11-07,7.1,7.4,8.11,8.0,8.1,7.5,7.7,8.3,,
2018-12-05,5.7,6.3,6.3,6.9,6.6,6.1,4.4,7.2,,
