DATA DA COLETA,P1 - Entrada ETE,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2 / P6 - Saída da ETE ,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,ANAL. AMB.,OBSERVAÇÕES
2013-01-22,,,,,,,,,x,"As análises de DBO, SS e OG não foram realizadas em janeiro devido as férias da técnica do Lab. de Análise Ambiental"
2013-02-05,21.9,49.9,23.1,11.2,13.3,10.1,11.5,26.1,x,
2013-03-12,42.5,30.5,19.7,14.8,16.7,11.4,35.1,7.2,x,
2013-04-09,,,,,,,,,x,"Neste mês foi solicitado pela Prof. Luciana Gomes (CO) análises extras para Nitrogênio Amoniacal, pH e Alcalinidade Total então devido a grande demanda de análises que a laboratorista realiza não houve análise para este parâmetro."
2013-05-14,133.3,19.3,31.6,11.4,2.4,12.6,69.8,37.5,x,Coleta feita em 15/05/13
2013-06-11,231.5,48.9,24.8,10.8,11.7,15.5,95.8,19.6,x,
2013-07-09,85.5,23.7,27.2,20.5,16.5,8.5,70.0,50.2,x,
2013-08-13,60.5,21.9,9.3,11.7,14.1,15.7,27.9,3.0,x,
2013-09-10,48.5,15.5,4.3,4.5,7.7,8.5,51.3,2.9,x,
2013-10-08,89.3,24.4,15.8,13.4,11.5,15.1,49.0,28.5,x,
2013-11-12,,,,,,,,,x,"À pedido do responsável da empresa Ecovisual, não foram realizadas coletas pelo Lab. Análises Ambientais no mês de novembro devido aos equipamentos da ETE terem sido submetidos para manutenção, pois estavam estragados."
2013-12-10,114.3,8.2,3.3,1.0,2.9,25.8,57.4,12.7,x,
