DATA DA COLETA,P1 - Entrada ETE,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2 / P6 - Saída da ETE ,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,P7 - Rede Pluvial (trimestral),ANAL. AMB.,OBSERVAÇÕES
2015-01-13,42.4,7.0,7.3,4.8,4.8,2.2,17.5,2.9,10.9,x,
2015-02-10,83.5,8.3,5.3,4.4,6.6,6.7,79.0,2.3,,x,
2015-03-10,108.5,,,,23.0,10.9,36.3,7.6,,x,CBR estava paralizado neste dia. Amostragem do ponto de saída realizada no P6.
2015-04-07,89.5,,,,5.9,5.0,24.5,10.4,4.2,x,"CBR estava paralizado, coleta no P6"
2015-05-12,157.0,16.6,20.2,2.2,1.9,7.0,41.9,11.0,,x,
2015-06-10,101.0,,,,7.9,10.0,35.4,20.3,,x,"CBR estava paralizado, coleta no P6"
2015-07-08,949.0,,,,10.3,64.9,53.9,32.9,112.2,x,"CBR estava paralizado, coleta no P6"
2015-08-12,61.7,8.1,7.3,3.8,6.0,10.5,26.5,9.5,,x,
2015-09-09,191.0,8.7,5.2,5.4,10.5,8.4,107.5,7.2,,x,
2015-10-07,51.7,,,,9.4,8.3,28.6,7.0,11.5,x,"CBR estava paralizado, coleta no P6"
2015-11-11,184.7,11.8,4.3,3.8,14.0,7.9,134.5,7.1,,x,
2015-12-09,99.5,9.3,4.3,5.4,6.0,3.2,104.0,14.4,,x,
