DATA DA COLETA,P1 - Entrada ETE,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2 / P6 - Saída da ETE ,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,P7 - Rede Pluvial Acesso 1 (trimestral),OBSERVAÇÕES
2016-01-12,130.2,1.6,3.9,3.9,2.1,2.7,19.0,25.9,10.3,
2016-02-11,47.5,2.9,4.3,4.3,7.8,7.0,24.8,15.7,,
2016-03-08,69.8,8.6,1.9,0.6,5.8,9.8,55.5,15.5,,
2016-04-12,80.3,9.9,6.3,5.6,12.9,12.5,35.3,13.4,40.7,
2016-05-10,247.5,,,,10.1,6.3,71.0,2.7,,
2016-06-07,140.0,16.4,8.8,11.4,16.6,8.4,236.0,14.1,,
2016-07-12,69.5,41.2,19.7,14.4,12.1,18.4,20.5,17.1,7.7,
2016-08-09,54.5,21.0,20.8,5.5,10.5,4.4,54.0,11.4,,
2016-09-13,185.5,6.6,34.0,14.6,10.7,7.5,77.5,5.2,,
2016-10-11,93.3,29.5,55.8,4.5,18.0,6.4,123.0,74.5,12.8,
2016-11-08,107.5,22.0,46.8,10.8,42.1,2.3,121.5,4.0,,
2016-12-13,72.3,17.7,22.1,8.1,2.2,3.6,92.5,2.7,,
