DATA DA COLETA,P1 - Entrada ETE,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2 / P6 - Saída da ETE ,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,P7 - Rede Pluvial (trimestral),OBSERVAÇÕES
2019-01-08,36.0,,,,6.84,5.3,108.5,9.5,1.4,
2019-02-12,12.6,,,,8.8,12.3,119.1,14.3,,
2019-03-12,19.7,,,,7.2,3.6,135.3,7.6,,
2013-04-09,44.1,,,,17.0,6.5,107.0,8.1,11.8,
2019-05-07,25.6,,,,18.5,6.7,14.4,6.8,,
2019-06-11,26.5,,,,65.8,1.4,48.5,3.0,,
2019-07-09,26.7,,,,21.1,22.7,195.5,14.2,11.5,
2019-08-13,34.2,,,,13.6,10.6,53.5,13.7,,
2019-09-10,42.9,,,,16.6,2.6,214.5,8.7,,
2019-10-08,16.5,,,,11.4,5.1,66.5,2.8,2.3,
2019-11-12,29.1,"79,9*",11.8,8.4,11.4,4.6,38.0,3.9,,
2019-12-10,146.5,15.4,10.7,6.7,9.8,4.2,89.5,3.3,,
