DATA DA COLETA,P1 - Entrada ETE Unisinos,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2 / P6  - Saída da ETE Unisinos,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,ANAL. AMB.,OBSERVAÇÕES
2014-01-14,23.4,14.6,28.1,22.1,18.0,23.8,10.1,10,x,
2014-02-05,19.9,19.1,19.3,17.4,10.0,18.3,27.3,14.9,x,
2014-03-12,35.4,11.8,21.3,18.7,10.0,15.7,22.1,10,x,
2014-04-09,73.6,13.7,10,11.3,10.0,15.4,30.3,10.9,x,
2014-05-14,66.8,10.0,11.3,14.0,15.5,17.8,27.1,12.9,x,
2014-06-11,42.9,12.8,10.5,10.0,10.0,16.8,19.1,10,x,
2014-07-09,,,,,,,,,x,No mês de julho o Lab. de Análises Ambientais não realizou coleta. justificativa consta no laudo emitido. 
2014-08-13,23.7,21.8,10,12.8,10.0,15.0,15.7,13.4,x,
2014-09-10,27.1,10.0,10,10.0,10.0,30.1,10.6,10,x,Coleta realizada em 23/09/14
2014-10-08,46.8,10.0,10,10.0,10.0,17.4,10.0,10,x,
2014-11-12,16.4,10.0,10,10.0,10.0,10.0,10.0,10,x,
2014-12-10,28.7,11.0,<10,21.6,13.3,13.1,14.9,<10,,
