DATA DA COLETA,P1 - Entrada ETE Unisinos,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2 / P6  - Saída da ETE Unisinos,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,P7 - Rede Pluvial (trimestral),ANAL. AMB.,OBSERVAÇÕES
2015-01-13,11.8,12.8,10.7,22.5,10,51.6,<10,<10,24.3,x,
2015-02-10,27.3,<10,<10,<10,10,10.2,29.2,<10,,x,
2015-03-10,36.3,,,,11.4,7.5,19.1,8.3,,x,CBR estava paralizado neste dia. Amostragem do ponto de saída realizada no P6.
2015-04-07,35.0,,,,10.2,"<10,0",12.4,"<10,0","<10,0",x,CBR estava paralizado neste dia. Amostragem do ponto de saída realizada no P6.
2015-05-12,45.2,<10,11.7,10.8,10,<10,13.6,<10,,x,
2015-06-09,25.5,,,,10,"<10,0",18.9,13.1,,x,CBR estava paralizado neste dia. Amostragem do ponto de saída realizada no P6.
2015-07-07,311.9,,,,11.5,16.2,21.3,14.9,13,x,CBR estava paralizado neste dia. Amostragem do ponto de saída realizada no P6.
2015-08-13,27.6,<10,<10,14.3,14.5,12.3,13,10.1,,x,
2015-09-10,57.5,12.6,13,15.4,13.4,<10,54.2,10.4,,x,
2015-10-08,19.1,,,,6.3,8.3,28.6,7,11.5,x,CBR estava paralizado neste dia. Amostragem do ponto de saída realizada no P6.
2015-11-12,52.9,<10,<10,17,10,<10,36.5,<10,,x,
2015-12-10,18.6,0,0,0,<10,<10,19.8,<10,,x,
