DATA DA COLETA,P1 - Entrada ETE Unisinos,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2 / P6  - Saída da ETE Unisinos,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,P7 - Rede Pluvial (trimestral),OBSERVAÇÕES
2016-01-12,106.2,10.6,10.9,12.8,"<10,0",21.2,"<10,0","<10,0","<10,0",Obs do SGA.: entrada neste período do material dissolvido pelo produto Bio Cubo utilizado pelos serviços de alimentação.
2016-02-11,12.4,"<10,0","<10,0","<10,0",10.4,13.7,"<10,0","<10,0",,
2016-03-08,20.6,"<10,0","<10,0","<10,0","<10,0",10.6,21.6,13.9,,
2016-04-12,28.8,"<10,0","<10,0","<10,0",10.2,11.5,12.9,"<10,0","<10,0",
2016-05-10,73.2,,,,12.8,"<10,0",25.9,"<10,0",,
2016-06-07,31.8,10.2,<10,<10,<10,12.6,77.3,11.7,,
2016-07-12,17,10.2,"<10,0","<10,0","<10,0","<10,0",10.8,"<10,0",19.7,
2016-08-09,<10,<10,<10,<10,<10,<10,<10,<10,,
2016-09-13,52.9,19.4,10.3,16.8,18.2,20,23.5,12.8,,
2016-10-11,59.9,17.2,20.5,10,33,14.4,23.9,26.2,19.4,Obs do SGA.: entrada neste período do material dissolvido pelo produto Bio Cubo utilizado pelos serviços de alimentação.
2016-11-08,37.5,22.4,11.2,13.4,30.4,18.7,31.1,12.7,,
2016-12-13,11.2,19.5,15.6,21.4,19.1,17.2,15.7,15.6,,
