DATA DA COLETA,P1 - Entrada ETE Unisinos,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2 / P6  - Saída da ETE Unisinos,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,P7 - Rede Pluvial (trimestral),OBSERVAÇÕES
2019-01-08,24.3,,,,13.6,23.8,27.8,18.9,14.8,
2019-02-12,<10,,,,<10,<10,11.9,18.4,,
2019-03-12,<10,,,,<10,<10,19.5,11.9,,
2019-04-09,13.2,,,,<10,14,17.0,12.3,24.5,
2019-05-07,16,,,,16,13.2,14.8,15.9,,
2019-06-11,29.3,,,,17,16,25.1,15,,
2019-07-09,11,,,,14.2,10.3,20.6,11.3,15.5,
2019-08-13,10.4,,,,<10,<10,20.6,<10,,
2019-09-10,12.1,,,,<10,10.7,74.8,11.4,,
2019-10-08,<10,,,,<10,<10,23.0,<10,<10,
2019-11-12,14.1,12.5,<10,11.8,14.8,16.3,14.4,<10,,
2019-12-04,34.3,12.9,11.4,10.0,10,11.8,31.4,10.7,,
