ENTIDADE,DATA,SURFACTANTES,PH,FÓSFORO,ALUMÍNIO,ARSÊNIO,BÁRIO,BORO,CÁDMIO,CHUMBO,CIANETO,COBALTO,COBRE,CROMO,CROMO_HEXAVALENTE,DBO,DQO,ESTANHO,FERRO,FLUORETO,LÍTIO,MANGANÊS,MERCÚRIO,MOLIBDÊNIO,NÍQUEL,NITROGÊNIO_AMONIACAL,NITROGÊNIO_KJELDAHL,COLIFORMES_TERMOTOLERANTES,PRATA,ÍNDICE_DE_FENÓIS,NITROGÊNIO,FENOL,ALCALINIDADE,UMIDADE,PORCENTAGEM_SÓLIDOS,COMPOSTOS,COR_VERDADEIRA,SÓLIDOS,ÓLEOS,ACIDEZ
P1,2013-01-22,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2013-01-22,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2013-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-02-05,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2013-02-05,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2013-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-03-12,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2013-03-12,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2013-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2013-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2013-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-05-14,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2013-05-14,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2013-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-06-11,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2013-06-11,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2013-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-07-09,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2013-07-09,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2013-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-08-13,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2013-08-13,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2013-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-09-10,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2013-09-10,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2013-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-10-08,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2013-10-08,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2013-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2013-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2013-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-12-10,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2013-12-10,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2013-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-01-14,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2014-01-14,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2014-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-02-05,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2014-02-05,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2014-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-03-11,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2014-03-11,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2014-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-04-08,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
