ENTIDADE,DATA,SURFACTANTES,PH,FÓSFORO,ALUMÍNIO,ARSÊNIO,BÁRIO,BORO,CÁDMIO,CHUMBO,CIANETO,COBALTO,COBRE,CROMO,CROMO_HEXAVALENTE,DBO,DQO,ESTANHO,FERRO,FLUORETO,LÍTIO,MANGANÊS,MERCÚRIO,MOLIBDÊNIO,NÍQUEL,NITROGÊNIO_AMONIACAL,NITROGÊNIO_KJELDAHL,COLIFORMES_TERMOTOLERANTES,PRATA,ÍNDICE_DE_FENÓIS,NITROGÊNIO,FENOL,ALCALINIDADE,UMIDADE,PORCENTAGEM_SÓLIDOS,COMPOSTOS,COR_VERDADEIRA,SÓLIDOS,ÓLEOS,ACIDEZ
P1,2013-01-22,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-02-05,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-03-12,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-05-14,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-06-11,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-07-09,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-08-13,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-09-10,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-10-08,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-12-10,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-01-14,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-02-05,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-03-11,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-04-08,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-05-13,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-07-08,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-08-12,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-09-09,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-10-07,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-11-11,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-12-09,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-01-13,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-02-10,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-03-10,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-04-07,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-05-12,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-06-09,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-07-07,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-08-11,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-09-09,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-10-01,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-11-05,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-12-04,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-01-12,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-02-11,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-03-08,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-04-12,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-05-10,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-06-07,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-07-12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-08-09,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-09-13,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-10-11,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
