ENTIDADE,DATA,SURFACTANTES,PH,FÓSFORO,ALUMÍNIO,ARSÊNIO,BÁRIO,BORO,CÁDMIO,CHUMBO,CIANETO,COBALTO,COBRE,CROMO,CROMO_HEXAVALENTE,DBO,DQO,ESTANHO,FERRO,FLUORETO,LÍTIO,MANGANÊS,MERCÚRIO,MOLIBDÊNIO,NÍQUEL,NITROGÊNIO_AMONIACAL,NITROGÊNIO_KJELDAHL,COLIFORMES_TERMOTOLERANTES,PRATA,ÍNDICE_DE_FENÓIS,NITROGÊNIO,FENOL,ALCALINIDADE,UMIDADE,PORCENTAGEM_SÓLIDOS,COMPOSTOS,COR_VERDADEIRA,SÓLIDOS,ÓLEOS,ACIDEZ
Reator,2013-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.7,,,,,,,
Reator,2013-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.7,,,,,,,
Reator,2013-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.7,,,,,,,
Reator,2013-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.5,,,,,,,
Reator,2013-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461.9,,,,,,,
Reator,2013-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reator,2013-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.1,,,,,,,
Reator,2013-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1364.9,,,,,,,
Reator,2013-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.6,,,,,,,
Reator,2013-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898.8,,,,,,,
Reator,2013-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reator,2013-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1251.2,,,,,,,
Reator,2014-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1147.0,,,,,,,
Reator,2014-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.2,,,,,,,
Reator,2013-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.8,,,,,,,
Reator,2014-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883.3,,,,,,,
Reator,2014-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.1,,,,,,,
Reator,2014-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.9,,,,,,,
Reator,2014-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reator,2014-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690.3,,,,,,,
Reator,2014-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1673.5,,,,,,,
Reator,2014-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754.0,,,,,,,
Reator,2014-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1451.4,,,,,,,
Reator,2014-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.9,,,,,,,
Reator,2015-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.5,,,,,,,
Reator,2015-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.5,,,,,,,
Reator,2015-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.9,,,,,,,
Reator,2015-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.8,,,,,,,
Reator,2015-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.4,,,,,,,
Reator,2015-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040.6,,,,,,,
Reator,2015-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.0,,,,,,,
Reator,2015-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.1,,,,,,,
Reator,2015-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848.6,,,,,,,
