DATAS DAS COLETAS ,P1 - Entrada ETE Unisinos,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores,P2 / P6 - Saída ETE Unisinos,Resultado de P1/P2,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,LAB. ANÁLISES AMBIENTAIS,OBSERVAÇÕES,P7 - Rede Pluvial (trimestral)
2013-01-22,40.3,38.2,17.8,16.5,9.3,0.7692307692307692,18.0,78.4,14.2,x,,
2013-02-14,100.7,39.9,89.5,19.5,116.2,-0.15392254220456802,20.8,40.3,18.9,x,,
2013-03-06,242.8,99.6,46.1,40.0,4.1,0.9831136738056012,26.3,333.7,18.6,x,,
2013-04-03,359.5,89.9,51.8,38.1,41.1,0.8856745479833101,20.3,230.1,23.3,x,,
2013-05-08,356.2,134.8,100.4,64.1,42.6,0.8804042672655812,55.3,470.4,23.5,x,,
2013-06-05,249.3,120.9,99.5,50.9,83.9,0.663457681508223,32.1,312.4,21.4,x,,
2013-07-03,343.5,40.7,26.8,49.2,306.4,0.10800582241630284,11.1,168.5,22.5,x,,
2013-08-07,371.2,88.1,77.8,77.8,12.8,0.9655172413793104,26.1,185.6,41.0,x,,
2013-09-04,406.4,71.1,41.7,32.5,96.5,0.7625492125984252,31.0,82.5,11.2,x,,
2013-10-02,188.0,29.0,39.0,26.0,24.0,0.8723404255319149,15.2,96.0,6.4,,,
2013-11-06,,,,,,,,,,x,"À pedido do responsável da empresa Ecovisual, não foram realizadas coletas pelo Lab. Análises Ambientais no mês de novembro devido aos equipamentos da ETE terem sido submetidos para manutenção, pois estavam estragados.",
2013-12-04,207.4,53.1,28.4,26.5,34.1,0.8355834136933462,31.5,248.4,13.7,x,,
2014-01-08,360.7,42.1,30.2,29.3,20.2,0.9439977820903798,16.9,205.2,16.9,x,,
2014-02-05,371.9,81.7,55.9,56.8,74.6,0.7994084431298736,32.9,163.4,32.4,x,,
2014-03-06,129.6,31.1,32.0,19.0,20.7,0.8402777777777778,19.9,190.1,12.1,x,,
2014-04-02,260.4,52.1,27.8,21.7,20.8,0.9201228878648232,33.4,206.6,14.8,x,,
2014-05-07,339.7,75.7,31.0,39.6,27.5,0.9190462172505152,21.1,141.9,19.4,x,,
2014-06-04,468.7,86.0,49.0,55.0,53.3,0.8862812033283549,26.7,223.6,5.0,x,,
2014-07-02,,,,,,,,,,,No mês de julho o Lab. de Análises Ambientais não realizou coleta. justificativa consta no laudo emitido. ,
2014-08-06,128.1,59.9,44.3,49.2,360.8,-1.8165495706479315,23.4,59.0,18.5,x,,
2014-09-03,342.0,55.2,30.5,59.3,46.1,0.8652046783625731,40.4,179.2,25.5,x,Coleta realizada em 10/09/14,
2014-10-01,495.0,93.2,57.4,34.9,61.6,0.8755555555555555,28.3,83.2,34.1,x,,
2014-11-05,222.5,66.3,32.7,34.5,48.1,0.7838202247191011,21.3,31.8,12.3,x,,
2014-12-04,197.1,60.5,56.6,69.8,37.2,0.8112633181126332,98.6,287.1,36.9,x,,
2014-01-08,360.7,42.1,30.2,29.3,20.2,0.9439977820903798,16.9,205.2,16.9,x,,
2014-02-05,371.9,81.7,55.9,56.8,74.6,0.7994084431298736,32.9,163.4,32.4,x,,
2014-03-06,129.6,31.1,32.0,19.0,20.7,0.8402777777777778,19.9,190.1,12.1,x,,
2014-04-02,260.4,52.1,27.8,21.7,20.8,0.9201228878648232,33.4,206.6,14.8,x,,
2014-05-07,339.7,75.7,31.0,39.6,27.5,0.9190462172505152,21.1,141.9,19.4,x,,
2014-06-04,468.7,86.0,49.0,55.0,53.3,0.8862812033283549,26.7,223.6,5.0,x,,
2014-07-02,,,,,,,,,,,No mês de julho o Lab. de Análises Ambientais não realizou coleta. justificativa consta no laudo emitido. ,
2014-08-06,128.1,59.9,44.3,49.2,360.8,-1.8165495706479315,23.4,59.0,18.5,x,,
2014-09-03,342.0,55.2,30.5,59.3,46.1,0.8652046783625731,40.4,179.2,25.5,x,Coleta realizada em 10/09/14,
2014-10-01,495.0,93.2,57.4,34.9,61.6,0.8755555555555555,28.3,83.2,34.1,x,,
2014-11-05,222.5,66.3,32.7,34.5,48.1,0.7838202247191011,21.3,31.8,12.3,x,,
2014-12-04,197.1,60.5,56.6,69.8,37.2,0.8112633181126332,98.6,287.1,36.9,x,,
2015-01-07,357.2,32.8,29.6,21.8,35.9,0.8994960806270996,18.3,81.9,12.1,x,,204.8
2015-02-04,274.5,38.8,28.5,17.6,19.8,0.9278688524590164,13.9,175.7,11.3,x,,
2015-03-06,339.4,,,,82.3,0.7575132586918091,16.8,94.5,21.5,x,,
2015-04-01,374.4,43.2,,,43.2,0.8846153846153846,5.3,211.2,5.3,x,,48.5
2015-05-06,470.6,88.0,48.6,52.6,50.6,0.8924776880577986,29.3,222.6,21.3,x,,
2015-06-03,425.9,85.2,,,85.2,0.7999530406198638,32.9,213.0,25.1,x,,
2015-07-01,321.0,28.3,,,28.3,0.9118380062305296,24.3,44.8,16.0,x,,70.8
2015-08-05,156.8,36.8,35.3,14.7,44.1,0.71875,21.6,44.1,8.3,x,,
2015-09-03,311.4,45.8,59.5,33.0,69.6,0.7764932562620424,17.4,68.7,31.1,x,,
2015-10-08,105.3,,,,46.0,0.5631528964862298,23.4,22.0,9.6,x,,12.8
2015-11-04,196.9,39.4,29.3,35.7,20.2,0.8974098527171153,14.2,141.1,33.0,x,,
2015-12-02,290.4,49.5,21.9,11.4,13.3,0.9542011019283748,18.1,199.9,79.0,x,,
