DATA DA COLETA,LODO_REATOR_UASB,ANAL. AMB.,OBSERVAÇÕES
2013-01-09,77.0,x,
2013-02-14,84.2,x,
2013-03-06,51.9,x,
2013-04-03,72.0,x,
2013-05-08,66.5,x,
2013-06-05,,x,Não havia lodo neste dia
2013-07-03,75.6,x,
2013-08-07,184.2,x,
2013-09-04,92.1,x,
2013-10-02,140.9,x,
2013-11-06,,x,"À pedido do responsável da empresa Ecovisual, não foram realizadas coletas pelo Lab. Análises Ambientais no mês de novembro devido aos equipamentos da ETE terem sido submetidos para manutenção, pois estavam estragados."
2013-12-04,303.9,x,
2014-01-08,194.0,x,
2014-02-05,75.6,x,
2013-03-06,95.2,x,
2014-04-02,157.7,x,
2014-05-07,63.5,x,
2014-06-04,52.8,x,
2014-07-02,,x,No mês de julho o Lab. de Análises Ambientais não realizou coleta. justificativa consta no laudo emitido. 
2014-08-06,95.8,x,
2014-09-03,244.9,x,Coleta realizada em 10/09/2014
2014-10-01,238.0,x,
2014-11-05,330.0,x,
2014-12-04,66.4,x,
2014-01-08,194.0,x,
2014-02-05,75.6,x,
2013-03-06,95.2,x,
2014-04-02,157.7,x,
2014-05-07,63.5,x,
2014-06-04,52.8,x,
2014-07-02,,x,No mês de julho o Lab. de Análises Ambientais não realizou coleta. justificativa consta no laudo emitido. 
2014-08-06,95.8,x,
2014-09-03,244.9,x,Coleta realizada em 10/09/2014
2014-10-01,238.0,x,
2014-11-05,330.0,x,
2014-12-04,66.4,x,
2015-01-07,182.6,x,
2015-02-05,16.9,x,
2015-03-06,116.7,x,
2015-04-01,31.5,x,
2015-05-06,28.1,x,
2015-06-03,81.0,x,
2015-07-01,29.3,x,
2015-08-06,32.6,x,
2015-09-03,41.6,x,
2015-10-01,14.6,x,
2015-11-05,19.1,x,
2015-12-04,18.0,x,
2015-01-07,182.6,x,
2015-02-05,16.9,x,
2015-03-06,116.7,x,
2015-04-01,31.5,x,
2015-05-06,28.1,x,
2015-06-03,81.0,x,
2015-07-01,29.3,x,
2015-08-06,32.6,x,
2015-09-03,41.6,x,
2015-10-01,14.6,x,
2015-11-05,19.1,x,
2015-12-04,18.0,x,
2016-01-06,52.9,,
2016-02-05,,,"O lodo não veio em fevereiro pois a bomba helicoidal está fora de serviço, a GSMI já está arrumando."
2016-03-02,,,"O lodo não veio em março pois a bomba helicoidal ainda está fora de serviço, a bomba para substituição foi liberada com atraso."
2016-04-06,16.9,,
2016-05-04,83.3,,
2016-06-01,34.9,,
2016-07-12,97.3,,
2016-08-03,75.9,,
2016-09-08,231.7,,
2016-10-05,31.5,,
2016-11-03,10.1,,
2016-12-07,57.6,,
2016-01-06,52.9,,
2016-02-05,,,"O lodo não veio em fevereiro pois a bomba helicoidal está fora de serviço, a GSMI já está arrumando."
2016-03-02,,,"O lodo não veio em março pois a bomba helicoidal ainda está fora de serviço, a bomba para substituição foi liberada com atraso."
2016-04-06,16.9,,
2016-05-04,83.3,,
2016-06-01,34.9,,
2016-07-12,97.3,,
2016-08-03,75.9,,
2016-09-08,231.7,,
2016-10-05,31.5,,
2016-11-03,10.1,,
2016-12-07,57.6,,
2017-01-04,10.8,,
2017-02-01,15.0,,
2017-03-01,25.7,,
2017-04-05,17.3,,
2017-05-03,50.5,,
2017-06-07,15.9,,
2017-07-07,14.0,,
2017-08-02,24.3,,
2017-09-06,29.5,,
2017-10-04,27.1,,
2017-11-01,207.3,,
2017-12-06,66.0,,
2017-01-04,10.8,,
2017-02-01,15.0,,
2017-03-01,25.7,,
2017-04-05,17.3,,
2017-05-03,50.5,,
2017-06-07,15.9,,
2017-07-07,14.0,,
2017-08-02,24.3,,
2017-09-06,29.5,,
2017-10-04,27.1,,
2017-11-01,207.3,,
2017-12-06,66.0,,
2018-01-24,18.3,,
2018-02-09,22.9,,
2018-03-07,27.1,,
2018-04-04,82.8,,
2018-05-02,39.8,,
2018-06-06,33.2,,
2018-07-04,134.3,,
2018-08-01,18.3,,
2018-09-05,98.3,,
2018-10-03,54.3,,
2018-11-07,30.4,,
2018-12-05,45.8,,
2018-01-24,18.3,,
2018-02-09,22.9,,
2018-03-07,27.1,,
2018-04-04,82.8,,
2018-05-02,39.8,,
2018-06-06,33.2,,
2018-07-04,134.3,,
2018-08-01,18.3,,
2018-09-05,98.3,,
2018-10-03,54.3,,
2018-11-07,30.4,,
2018-12-05,45.8,,
2019-01-02,39.8,,
2019-02-06,24.3,,
2019-03-08,,,
2019-04-03,,,
2019-05-03,,,
2019-06-05,,,
2019-07-03,,,
2019-08-07,,,
2019-09-04,,,
2019-10-02,,,
2019-11-06,32.8,,
2019-12-04,,,
