DATA DA COLETA,LODO_REATOR_UASB,ANAL. AMB.,OBSERVAÇÕES
2013-01-09,436.7,x,
2013-02-14,257.7,x,
2013-03-06,338.7,x,
2013-04-03,286.5,x,
2013-05-08,461.9,x,
2013-06-05,,x,Não havia lodo neste dia
2013-07-03,337.1,x,
2013-08-07,1364.9,x,
2013-09-04,696.6,x,
2013-10-02,898.8,x,
2013-11-06,,x,"À pedido do responsável da empresa Ecovisual, não foram realizadas coletas pelo Lab. Análises Ambientais no mês de novembro devido aos equipamentos da ETE terem sido submetidos para manutenção, pois estavam estragados."
2013-12-04,1251.2,x,
2014-01-08,1147.0,x,
2014-02-05,297.2,x,
2013-03-06,277.8,x,
2014-04-02,883.3,x,
2014-05-07,465.1,x,
2014-06-04,337.9,x,
2014-07-02,,x,No mês de julho o Lab. de Análises Ambientais não realizou coleta. justificativa consta no laudo emitido. 
2014-08-06,690.3,x,
2014-09-03,1673.5,x,Coleta realizada em 10/09/2014
2014-10-01,754.0,x,
2014-11-05,1451.4,x,
2014-12-04,361.9,x,
2014-01-08,1147.0,x,
2014-02-05,297.2,x,
2013-03-06,277.8,x,
2014-04-02,883.3,x,
2014-05-07,465.1,x,
2014-06-04,337.9,x,
2014-07-02,,x,No mês de julho o Lab. de Análises Ambientais não realizou coleta. justificativa consta no laudo emitido. 
2014-08-06,690.3,x,
2014-09-03,1673.5,x,Coleta realizada em 10/09/2014
2014-10-01,754.0,x,
2014-11-05,1451.4,x,
2014-12-04,361.9,x,
2015-01-07,434.5,x,
2015-02-05,94.5,x,
2015-03-06,253.9,x,
2015-04-01,194.8,x,
2015-05-06,204.4,x,
2015-06-04,1040.6,x,
2015-07-02,598.0,x,
2015-08-06,575.1,x,
2015-09-03,848.6,x,
2015-10-01,296.4,x,
2015-11-05,567.0,x,
2015-12-04,360.0,x,
2015-01-07,434.5,x,
2015-02-05,94.5,x,
2015-03-06,253.9,x,
2015-04-01,194.8,x,
2015-05-06,204.4,x,
2015-06-04,1040.6,x,
2015-07-02,598.0,x,
2015-08-06,575.1,x,
2015-09-03,848.6,x,
2015-10-01,296.4,x,
2015-11-05,567.0,x,
2015-12-04,360.0,x,
2016-01-06,1301.6,,
2016-02-05,,,"O lodo não veio em fevereiro pois a bomba helicoidal está fora de serviço, a GSMI está providenciando."
2016-03-02,,,"O lodo não veio em março pois a bomba helicoidal ainda está fora de serviço, a bomba para substituição foi liberada com atrazo."
2016-04-06,450.0,,
2016-05-04,1970.4,,
2016-06-01,429.6,,
2016-07-06,384.0,,
2016-08-03,309.6,,
2016-09-08,454.8,,
2016-10-05,561.4,,
2016-11-03,158.6,,
2016-12-07,312.0,,
2016-01-06,1301.6,,
2016-02-05,,,"O lodo não veio em fevereiro pois a bomba helicoidal está fora de serviço, a GSMI está providenciando."
2016-03-02,,,"O lodo não veio em março pois a bomba helicoidal ainda está fora de serviço, a bomba para substituição foi liberada com atrazo."
2016-04-06,450.0,,
2016-05-04,1970.4,,
2016-06-01,429.6,,
2016-07-06,384.0,,
2016-08-03,309.6,,
2016-09-08,454.8,,
2016-10-05,561.4,,
2016-11-03,158.6,,
2016-12-07,312.0,,
2017-01-04,144.0,,
2017-02-01,159.4,,
2017-03-01,270.7,,
2017-04-05,224.8,,
2017-05-03,449.2,,
2017-06-07,259.4,,
2017-07-07,192.1,,
2017-08-02,226.2,,
2017-09-06,351.0,,
2017-10-04,142.2,,
2017-11-01,399.3,,
2017-12-06,821.3,,
2017-01-04,144.0,,
2017-02-01,159.4,,
2017-03-01,270.7,,
2017-04-05,224.8,,
2017-05-03,449.2,,
2017-06-07,259.4,,
2017-07-07,192.1,,
2017-08-02,226.2,,
2017-09-06,351.0,,
2017-10-04,142.2,,
2017-11-01,399.3,,
2017-12-06,821.3,,
2018-01-24,207.2,,
2018-02-09,247.4,,
2018-03-07,286.4,,
2018-04-04,313.6,,
2018-05-02,1308.5,,
2018-06-06,412.3,,
2018-07-04,34.4,,
2018-08-01,81.4,,
2018-09-05,257.8,,
2018-10-03,219.5,,
2018-11-07,209.9,,
2018-12-05,172.9,,
2018-01-24,207.2,,
2018-02-09,247.4,,
2018-03-07,286.4,,
2018-04-04,313.6,,
2018-05-02,1308.5,,
2018-06-06,412.3,,
2018-07-04,34.4,,
2018-08-01,81.4,,
2018-09-05,257.8,,
2018-10-03,219.5,,
2018-11-07,209.9,,
2018-12-05,172.9,,
2019-01-02,382.2,,
2019-02-06,151.7,,
2019-03-08,,,
2019-04-03,,,
2019-05-03,,,
2019-06-05,,,
2019-07-03,,,
2019-08-07,,,
2019-09-04,,,
2019-10-02,,,
2019-11-06,99.4,,
2019-12-04,,,
