DATA DA COLETA,P1 - Entrada ETE,P2 / P6 - Saída da ETE,ANAL. AMB.,OBSERVAÇÕES,P7 - Rede Pluvial (trimestral)
2013-01-22,1.0,3.1,X,,
2013-02-05,1.7,2.6,X,,
2013-03-12,2.4,5.9,x,,
2013-05-14,7.1,7.3,x,Coleta realizada em 15/05,
2013-06-11,5.9,6.1,x,,
2013-07-09,3.4,1.4,x,,
2013-08-13,1.7,3.0,x,,
2013-09-10,2.7,3.2,x,,
2013-10-08,3.1,5.1,x,,
2013-11-12,,,x,"À pedido do responsável da empresa Ecovisual, não foram realizadas coletas pelo Lab. Análises Ambientais no mês de novembro devido aos equipamentos da ETE terem sido submetidos para manutenção, pois estavam estragados.",
2013-12-10,3.7,2.9,x,,
2014-01-14,2.2,2.5,x,,
2014-02-05,0.66,1.06,x,,
2014-03-11,2.14,0.94,x,,
2014-04-08,2.9,2.4,x,,
2014-05-13,3.4,2.8,x,,
2014-06-10,2.5,1.2,x,,
2014-07-08,,,x,No mês de julho o Lab. de Análises Ambientais não realizou coleta. justificativa consta no laudo emitido. ,
2014-08-12,2.2,7.8,x,,
2014-09-09,3.5,4.9,x,Coleta realizada em 23/09/14,
2014-10-07,4.7,4.6,x,,
2014-11-11,2.6,4.65,x,,
2014-12-09,6.2,6.64,x,,
2014-01-14,2.2,2.5,x,,
2014-02-05,0.66,1.06,x,,
2014-03-11,2.14,0.94,x,,
2014-04-08,2.9,2.4,x,,
2014-05-13,3.4,2.8,x,,
2014-06-10,2.5,1.2,x,,
2014-07-08,,,x,No mês de julho o Lab. de Análises Ambientais não realizou coleta. justificativa consta no laudo emitido. ,
2014-08-12,2.2,7.8,x,,
2014-09-09,3.5,4.9,x,Coleta realizada em 23/09/14,
2014-10-07,4.7,4.6,x,,
2014-11-11,2.6,4.65,x,,
2014-12-09,6.2,6.64,x,,
2015-01-13,2.8,0.4,x,,6.6
2015-02-10,3.3,4.1,x,,
2015-03-10,10.6,7.6,x,Neste dia a coleta foi realizada no P6,
2015-04-07,4.0,3.7,x,,1.2
2015-05-12,6.9,6.0,x,,
