DATA DA COLETA,P1 - Entrada ETE Unisinos,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2 / P6  - Saída da ETE Unisinos,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,ANAL. AMB.,OBSERVAÇÕES,P7 - Rede Pluvial (trimestral)
2013-01-22,,,,,,,,,x,"As análises de DBO, SS e OG não foram realizadas em janeiro devido as férias da técnica do Lab. de Análise Ambiental",
2013-02-05,10.0,10.0,10.0,10.0,10.0,14.0,10.0,10.4,X,,
2013-03-12,19.4,10.0,10.0,10.0,15.6,12.2,14.8,10.0,X,,
2013-04-09,,,,,,,,,X,"Neste mês foi solicitado pela Prof. Luciana Gomes (CO) análises extras para Nitrogênio Amoniacal, pH e Alcalinidade Total então devido a grande demanda de análises que a laboratorista realiza não houve análise para este parâmetro.",
2013-05-14,19.1,27.1,14.7,15.9,10.0,18.2,34.5,20.8,X,,
2013-06-11,46.3,12.7,10.0,10.0,10.0,10.0,22.8,10.0,X,,
2013-07-09,21.1,12.5,14.5,13.1,10.0,10.0,30.1,10.0,X,,
2013-08-13,26.6,19.5,20.9,19.8,11.4,12.8,21.3,18.9,X,,
2013-09-10,28.4,14.9,22.8,15.9,13.1,13.9,21.9,10.0,X,,
2013-10-08,28.3,21.0,13.5,11.1,12.2,19.9,31.7,12.6,X,,
2013-11-12,,,,,,,,,X,"À pedido do responsável da empresa Ecovisual, não foram realizadas coletas pelo Lab. Análises Ambientais no mês de novembro devido aos equipamentos da ETE terem sido submetidos para manutenção, pois estavam estragados.",
2013-12-10,27.2,16.8,21.3,17.5,10.0,18.2,43.7,17.4,X,,
2014-01-14,23.4,14.6,28.1,22.1,18.0,23.8,10.1,10,x,,
2014-02-05,19.9,19.1,19.3,17.4,10.0,18.3,27.3,14.9,x,,
2014-03-12,35.4,11.8,21.3,18.7,10.0,15.7,22.1,10,x,,
2014-04-09,73.6,13.7,10,11.3,10.0,15.4,30.3,10.9,x,,
2014-05-14,66.8,10.0,11.3,14.0,15.5,17.8,27.1,12.9,x,,
2014-06-11,42.9,12.8,10.5,10.0,10.0,16.8,19.1,10,x,,
2014-07-09,,,,,,,,,x,No mês de julho o Lab. de Análises Ambientais não realizou coleta. justificativa consta no laudo emitido. ,
2014-08-13,23.7,21.8,10,12.8,10.0,15.0,15.7,13.4,x,,
2014-09-10,27.1,10.0,10,10.0,10.0,30.1,10.6,10,x,Coleta realizada em 23/09/14,
2014-10-08,46.8,10.0,10,10.0,10.0,17.4,10.0,10,x,,
2014-11-12,16.4,10.0,10,10.0,10.0,10.0,10.0,10,x,,
2014-12-10,28.7,11.0,<10,21.6,13.3,13.1,14.9,<10,,,
2014-01-14,23.4,14.6,28.1,22.1,18.0,23.8,10.1,10,x,,
2014-02-05,19.9,19.1,19.3,17.4,10.0,18.3,27.3,14.9,x,,
2014-03-12,35.4,11.8,21.3,18.7,10.0,15.7,22.1,10,x,,
2014-04-09,73.6,13.7,10,11.3,10.0,15.4,30.3,10.9,x,,
2014-05-14,66.8,10.0,11.3,14.0,15.5,17.8,27.1,12.9,x,,
2014-06-11,42.9,12.8,10.5,10.0,10.0,16.8,19.1,10,x,,
2014-07-09,,,,,,,,,x,No mês de julho o Lab. de Análises Ambientais não realizou coleta. justificativa consta no laudo emitido. ,
2014-08-13,23.7,21.8,10,12.8,10.0,15.0,15.7,13.4,x,,
2014-09-10,27.1,10.0,10,10.0,10.0,30.1,10.6,10,x,Coleta realizada em 23/09/14,
2014-10-08,46.8,10.0,10,10.0,10.0,17.4,10.0,10,x,,
2014-11-12,16.4,10.0,10,10.0,10.0,10.0,10.0,10,x,,
2014-12-10,28.7,11.0,<10,21.6,13.3,13.1,14.9,<10,,,
2015-01-13,11.8,12.8,10.7,22.5,10,51.6,<10,<10,x,,24.3
2015-02-10,27.3,<10,<10,<10,10,10.2,29.2,<10,x,,
2015-03-10,36.3,,,,11.4,7.5,19.1,8.3,x,CBR estava paralizado neste dia. Amostragem do ponto de saída realizada no P6.,
2015-04-07,35.0,,,,10.2,"<10,0",12.4,"<10,0",x,CBR estava paralizado neste dia. Amostragem do ponto de saída realizada no P6.,"<10,0"
2015-05-12,45.2,<10,11.7,10.8,10,<10,13.6,<10,x,,
2015-06-09,25.5,,,,10,"<10,0",18.9,13.1,x,CBR estava paralizado neste dia. Amostragem do ponto de saída realizada no P6.,
2015-07-07,311.9,,,,11.5,16.2,21.3,14.9,x,CBR estava paralizado neste dia. Amostragem do ponto de saída realizada no P6.,13
2015-08-13,27.6,<10,<10,14.3,14.5,12.3,13,10.1,x,,
2015-09-10,57.5,12.6,13,15.4,13.4,<10,54.2,10.4,x,,
2015-10-08,19.1,,,,6.3,8.3,28.6,7,x,CBR estava paralizado neste dia. Amostragem do ponto de saída realizada no P6.,11.5
2015-11-12,52.9,<10,<10,17,10,<10,36.5,<10,x,,
2015-12-10,18.6,0,0,0,<10,<10,19.8,<10,x,,
2015-01-13,11.8,12.8,10.7,22.5,10,51.6,<10,<10,x,,24.3
2015-02-10,27.3,<10,<10,<10,10,10.2,29.2,<10,x,,
2015-03-10,36.3,,,,11.4,7.5,19.1,8.3,x,CBR estava paralizado neste dia. Amostragem do ponto de saída realizada no P6.,
2015-04-07,35.0,,,,10.2,"<10,0",12.4,"<10,0",x,CBR estava paralizado neste dia. Amostragem do ponto de saída realizada no P6.,"<10,0"
2015-05-12,45.2,<10,11.7,10.8,10,<10,13.6,<10,x,,
2015-06-09,25.5,,,,10,"<10,0",18.9,13.1,x,CBR estava paralizado neste dia. Amostragem do ponto de saída realizada no P6.,
2015-07-07,311.9,,,,11.5,16.2,21.3,14.9,x,CBR estava paralizado neste dia. Amostragem do ponto de saída realizada no P6.,13
2015-08-13,27.6,<10,<10,14.3,14.5,12.3,13,10.1,x,,
2015-09-10,57.5,12.6,13,15.4,13.4,<10,54.2,10.4,x,,
2015-10-08,19.1,,,,6.3,8.3,28.6,7,x,CBR estava paralizado neste dia. Amostragem do ponto de saída realizada no P6.,11.5
2015-11-12,52.9,<10,<10,17,10,<10,36.5,<10,x,,
2015-12-10,18.6,0,0,0,<10,<10,19.8,<10,x,,
2016-01-12,106.2,10.6,10.9,12.8,"<10,0",21.2,"<10,0","<10,0",,Obs do SGA.: entrada neste período do material dissolvido pelo produto Bio Cubo utilizado pelos serviços de alimentação.,"<10,0"
2016-02-11,12.4,"<10,0","<10,0","<10,0",10.4,13.7,"<10,0","<10,0",,,
2016-03-08,20.6,"<10,0","<10,0","<10,0","<10,0",10.6,21.6,13.9,,,
2016-04-12,28.8,"<10,0","<10,0","<10,0",10.2,11.5,12.9,"<10,0",,,"<10,0"
2016-05-10,73.2,,,,12.8,"<10,0",25.9,"<10,0",,,
2016-06-07,31.8,10.2,<10,<10,<10,12.6,77.3,11.7,,,
2016-07-12,17,10.2,"<10,0","<10,0","<10,0","<10,0",10.8,"<10,0",,,19.7
2016-08-09,<10,<10,<10,<10,<10,<10,<10,<10,,,
2016-09-13,52.9,19.4,10.3,16.8,18.2,20,23.5,12.8,,,
2016-10-11,59.9,17.2,20.5,10,33,14.4,23.9,26.2,,Obs do SGA.: entrada neste período do material dissolvido pelo produto Bio Cubo utilizado pelos serviços de alimentação.,19.4
2016-11-08,37.5,22.4,11.2,13.4,30.4,18.7,31.1,12.7,,,
2016-12-13,11.2,19.5,15.6,21.4,19.1,17.2,15.7,15.6,,,
