ENTIDADE,DATA,COR_VERDADEIRA
P1,2013-01-07,330.0
P2,2013-01-07,88.0
P3,2013-01-07,56.0
P1,2013-02-05,140.0
P2,2013-02-05,74.0
P3,2013-02-05,
P1,2013-03-05,
P2,2013-03-05,
P3,2013-03-05,
P1,2013-04-02,1750.0
P2,2013-04-02,290.0
P3,2013-04-02,104.0
P1,2013-05-07,10540.0
P2,2013-05-07,182.0
P3,2013-05-07,189.0
P1,2013-06-04,119.0
P2,2013-06-04,606.0
P3,2013-06-04,188.0
P1,2013-07-02,775.0
P2,2013-07-02,109.0
P3,2013-07-02,78.0
P1,2013-08-06,299.1
P2,2013-08-06,65.94
P3,2013-08-06,76.86
P1,2013-09-03,316.9
P2,2013-09-03,144.25
P3,2013-09-03,146.95
P1,2013-10-01,176.0
P2,2013-10-01,170.45
P3,2013-10-01,80.02
P1,2013-11-05,860.0
P2,2013-11-05,
P3,2013-11-05,48.26
P1,2013-12-03,241.95
P2,2013-12-03,3154.4
P3,2013-12-03,187.05
P1,2014-01-07,140.0
P2,2014-01-07,74.0
P3,2014-01-07,60.0
P1,2014-02-05,120.0
P2,2014-02-05,30.0
P3,2014-02-05,20.0
P1,2014-03-06,677.0
P2,2014-03-06,25.0
P3,2014-03-06,20.0
P1,2014-04-02,100.0
P2,2014-04-02,40.0
P3,2014-04-02,30.0
P1,2014-05-07,100.0
P2,2014-05-07,70.0
P3,2014-05-07,50.0
P1,2013-06-04,242.0
P2,2013-06-04,100.0
P3,2013-06-04,10.0
P1,2013-07-07,40.0
P2,2013-07-07,
P3,2013-07-07,5.0
P1,2013-08-06,80.0
P2,2013-08-06,40.0
P3,2013-08-06,10.0
P1,2013-09-03,45.0
P2,2013-09-03,50.0
P3,2013-09-03,30.0
P1,2013-10-01,150.0
P2,2013-10-01,30.0
P3,2013-10-01,15.0
P1,2013-11-05,15.0
P2,2013-11-05,20.0
P3,2013-11-05,25.0
P1,2013-12-03,350.0
P2,2013-12-03,40.0
P3,2013-12-03,20.0
P1,2014-01-07,140.0
P2,2014-01-07,74.0
P3,2014-01-07,60.0
P1,2014-02-05,120.0
P2,2014-02-05,30.0
P3,2014-02-05,20.0
P1,2014-03-06,677.0
P2,2014-03-06,25.0
P3,2014-03-06,20.0
P1,2014-04-02,100.0
P2,2014-04-02,40.0
P3,2014-04-02,30.0
P1,2014-05-07,100.0
P2,2014-05-07,70.0
P3,2014-05-07,50.0
P1,2013-06-04,242.0
P2,2013-06-04,100.0
P3,2013-06-04,10.0
P1,2013-07-07,40.0
P2,2013-07-07,
P3,2013-07-07,5.0
P1,2013-08-06,80.0
P2,2013-08-06,40.0
P3,2013-08-06,10.0
P1,2013-09-03,45.0
P2,2013-09-03,50.0
P3,2013-09-03,30.0
P1,2013-10-01,150.0
P2,2013-10-01,30.0
P3,2013-10-01,15.0
P1,2013-11-05,15.0
P2,2013-11-05,20.0
P3,2013-11-05,25.0
P1,2013-12-03,350.0
P2,2013-12-03,40.0
P3,2013-12-03,20.0
P1,2015-01-12,150.0
P2,2015-01-12,20.0
P3,2015-01-12,30.0
P1,2015-02-09,150.0
P2,2015-02-09,30.0
P3,2015-02-09,30.0
P1,2015-03-10,35.0
P2,2015-03-10,35.0
P3,2015-03-10,30.0
P1,2015-04-08,150.0
P2,2015-04-08,50.0
P3,2015-04-08,40.0
P1,2015-05-12,150.0
P2,2015-05-12,50.0
P3,2015-05-12,40.0
P1,2015-06-09,100.0
P2,2015-06-09,50.0
P3,2015-06-09,45.0
