ENTIDADE,DATA,DBO
P1,2013-01-15,
Pb,2013-01-15,
Pc,2013-01-15,
Pd,2013-01-15,
P2,2013-01-15,
P3,2013-01-15,
P4,2013-01-15,
P5,2013-01-15,
P7,2013-01-15,
P1,2013-02-14,30.0
Pb,2013-02-14,19.0
Pc,2013-02-14,15.0
Pd,2013-02-14,10.0
P2,2013-02-14,34.0
P3,2013-02-14,3.6
P4,2013-02-14,16.0
P5,2013-02-14,2.8
P7,2013-02-14,
P1,2013-03-06,116.0
Pb,2013-03-06,59.0
Pc,2013-03-06,45.0
Pd,2013-03-06,22.0
P2,2013-03-06,16.0
P3,2013-03-06,11.2
P4,2013-03-06,236.0
P5,2013-03-06,1.2
P7,2013-03-06,
P1,2013-04-03,168.0
Pb,2013-04-03,39.0
Pc,2013-04-03,32.0
Pd,2013-04-03,9.0
P2,2013-04-03,19.0
P3,2013-04-03,5.2
P4,2013-04-03,160.0
P5,2013-04-03,6.8
P7,2013-04-03,
P1,2013-05-08,248.0
Pb,2013-05-08,82.0
Pc,2013-05-08,54.0
Pd,2013-05-08,22.0
P2,2013-05-08,24.0
P3,2013-05-08,13.2
P4,2013-05-08,136.0
P5,2013-05-08,21.2
P7,2013-05-08,
P1,2013-06-05,132.0
Pb,2013-06-05,57.0
Pc,2013-06-05,24.0
Pd,2013-06-05,17.0
P2,2013-06-05,20.0
P3,2013-06-05,5.6
P4,2013-06-05,216.0
P5,2013-06-05,4.4
P7,2013-06-05,
P1,2013-07-03,200.0
Pb,2013-07-03,43.0
Pc,2013-07-03,31.0
Pd,2013-07-03,24.0
P2,2013-07-03,50.0
P3,2013-07-03,7.6
P4,2013-07-03,172.0
P5,2013-07-03,6.0
P7,2013-07-03,
P1,2013-08-07,156.0
Pb,2013-08-07,75.0
Pc,2013-08-07,74.0
Pd,2013-08-07,63.0
P2,2013-08-07,86.0
P3,2013-08-07,7.2
P4,2013-08-07,164.0
P5,2013-08-07,19.2
P7,2013-08-07,
P1,2013-09-04,260.0
Pb,2013-09-04,42.0
Pc,2013-09-04,41.0
Pd,2013-09-04,31.0
P2,2013-09-04,28.0
P3,2013-09-04,14.0
P4,2013-09-04,76.0
P5,2013-09-04,3.2
P7,2013-09-04,
P1,2013-10-24,444.5
Pb,2013-10-24,75.2
