ENTIDADE,DATA,DQO
P1,2013-01-22,40.3
Pb,2013-01-22,38.2
Pc,2013-01-22,17.8
Pd,2013-01-22,16.5
P2,2013-01-22,9.3
P3,2013-01-22,18.0
P4,2013-01-22,78.4
P5,2013-01-22,14.2
P7,2013-01-22,
P1,2013-02-14,100.7
Pb,2013-02-14,39.9
Pc,2013-02-14,89.5
Pd,2013-02-14,19.5
P2,2013-02-14,116.2
P3,2013-02-14,20.8
P4,2013-02-14,40.3
P5,2013-02-14,18.9
P7,2013-02-14,
P1,2013-03-06,242.8
Pb,2013-03-06,99.6
Pc,2013-03-06,46.1
Pd,2013-03-06,40.0
P2,2013-03-06,4.1
P3,2013-03-06,26.3
P4,2013-03-06,333.7
P5,2013-03-06,18.6
P7,2013-03-06,
P1,2013-04-03,359.5
Pb,2013-04-03,89.9
Pc,2013-04-03,51.8
Pd,2013-04-03,38.1
P2,2013-04-03,41.1
P3,2013-04-03,20.3
P4,2013-04-03,230.1
P5,2013-04-03,23.3
P7,2013-04-03,
P1,2013-05-08,356.2
Pb,2013-05-08,134.8
Pc,2013-05-08,100.4
Pd,2013-05-08,64.1
P2,2013-05-08,42.6
P3,2013-05-08,55.3
P4,2013-05-08,470.4
P5,2013-05-08,23.5
P7,2013-05-08,
P1,2013-06-05,249.3
Pb,2013-06-05,120.9
Pc,2013-06-05,99.5
Pd,2013-06-05,50.9
P2,2013-06-05,83.9
P3,2013-06-05,32.1
P4,2013-06-05,312.4
P5,2013-06-05,21.4
P7,2013-06-05,
P1,2013-07-03,343.5
Pb,2013-07-03,40.7
Pc,2013-07-03,26.8
Pd,2013-07-03,49.2
P2,2013-07-03,306.4
P3,2013-07-03,11.1
P4,2013-07-03,168.5
P5,2013-07-03,22.5
P7,2013-07-03,
P1,2013-08-07,371.2
Pb,2013-08-07,88.1
Pc,2013-08-07,77.8
Pd,2013-08-07,77.8
P2,2013-08-07,12.8
P3,2013-08-07,26.1
P4,2013-08-07,185.6
P5,2013-08-07,41.0
P7,2013-08-07,
P1,2013-09-04,406.4
Pb,2013-09-04,71.1
Pc,2013-09-04,41.7
Pd,2013-09-04,32.5
P2,2013-09-04,96.5
P3,2013-09-04,31.0
P4,2013-09-04,82.5
P5,2013-09-04,11.2
P7,2013-09-04,
P1,2013-10-02,188.0
Pb,2013-10-02,29.0
Pc,2013-10-02,39.0
Pd,2013-10-02,26.0
P2,2013-10-02,24.0
P3,2013-10-02,15.2
P4,2013-10-02,96.0
P5,2013-10-02,6.4
P7,2013-10-02,
P1,2013-11-06,
Pb,2013-11-06,
Pc,2013-11-06,
Pd,2013-11-06,
P2,2013-11-06,
P3,2013-11-06,
P4,2013-11-06,
P5,2013-11-06,
P7,2013-11-06,
P1,2013-12-04,207.4
Pb,2013-12-04,53.1
Pc,2013-12-04,28.4
Pd,2013-12-04,26.5
P2,2013-12-04,34.1
P3,2013-12-04,31.5
P4,2013-12-04,248.4
P5,2013-12-04,13.7
P7,2013-12-04,
P1,2014-01-08,360.7
Pb,2014-01-08,42.1
Pc,2014-01-08,30.2
Pd,2014-01-08,29.3
P2,2014-01-08,20.2
P3,2014-01-08,16.9
P4,2014-01-08,205.2
P5,2014-01-08,16.9
P7,2014-01-08,
P1,2014-02-05,371.9
Pb,2014-02-05,81.7
Pc,2014-02-05,55.9
Pd,2014-02-05,56.8
P2,2014-02-05,74.6
P3,2014-02-05,32.9
P4,2014-02-05,163.4
P5,2014-02-05,32.4
P7,2014-02-05,
P1,2014-03-06,129.6
Pb,2014-03-06,31.1
Pc,2014-03-06,32.0
Pd,2014-03-06,19.0
P2,2014-03-06,20.7
P3,2014-03-06,19.9
P4,2014-03-06,190.1
P5,2014-03-06,12.1
P7,2014-03-06,
P1,2014-04-02,260.4
Pb,2014-04-02,52.1
Pc,2014-04-02,27.8
