ENTIDADE,DATA,coliformes
P1,2013-01-07,241960.0
P2,2013-01-07,29090.0
P3,2013-01-07,23590.0
P4,2013-01-07,198630.0
P5,2013-01-07,100.0
P1,2013-02-05,613100.0
P2,2013-02-05,25900.0
P3,2013-02-05,6200.0
P4,2013-02-05,214300.0
P5,2013-02-05,4100.0
P1,2013-03-05,2419600.0
P2,2013-03-05,36400.0
P3,2013-03-05,2650.0
P4,2013-03-05,241960.0
P5,2013-03-05,2780.0
P1,2013-04-02,241960.0
P2,2013-04-02,92080.0
P3,2013-04-02,2160.0
P4,2013-04-02,241960.0
P5,2013-04-02,250.0
P1,2013-05-07,1299700.0
P2,2013-05-07,104620.0
P3,2013-05-07,141360.0
P4,2013-05-07,241960.0
P5,2013-05-07,3840.0
P1,2013-06-04,2419600.0
P2,2013-06-04,98500.0
P3,2013-06-04,13400.0
P4,2013-06-04,2419600.0
P5,2013-06-04,4100.0
P1,2013-07-02,2419600.0
P2,2013-07-02,92080.0
P3,2013-07-02,129970.0
P4,2013-07-02,648800.0
P5,2013-07-02,41600.0
P1,2013-08-06,2419600.0
P2,2013-08-06,119800.0
P3,2013-08-06,9800.0
P4,2013-08-06,3100.0
P5,2013-08-06,1119900.0
P1,2013-09-03,2419600.0
P2,2013-09-03,261300.0
P3,2013-09-03,141360.0
P4,2013-09-03,1553100.0
P5,2013-09-03,9870.0
P1,2013-10-01,2419600.0
P2,2013-10-01,261300.0
P3,2013-10-01,141360.0
P4,2013-10-01,1553100.0
P5,2013-10-01,9870.0
P1,2013-11-05,241960.0
P2,2013-11-05,
P3,2013-11-05,57940.0
P4,2013-11-05,241960.0
P5,2013-11-05,34480.0
P1,2013-12-03,24196000.0
P2,2013-12-03,67000.0
P3,2013-12-03,118700.0
P4,2013-12-03,4352000.0
P5,2013-12-03,14800.0
P1,2014-01-07,24196000.0
P2,2014-01-07,67000.0
P3,2014-01-07,118700.0
P4,2014-01-07,4352000.0
P5,2014-01-07,14800.0
P1,2014-02-05,613100.0
P2,2014-02-05,77010.0
P3,2014-02-05,648800.0
P4,2014-02-05,241960.0
P5,2014-02-05,100.0
P1,2014-03-05,1553100.0
P2,2014-03-05,198630.0
P3,2014-03-05,870400.0
P4,2014-03-05,177000.0
P5,2014-03-05,40400.0
P1,2014-04-02,24196000.0
P2,2014-04-02,4100.0
P3,2014-04-02,2000.0
P4,2014-04-02,4106000.0
P5,2014-04-02,2000.0
P1,2014-05-07,198630.0
P2,2014-05-07,241960.0
P3,2014-05-07,41060.0
P4,2014-05-07,2419600.0
P5,2014-05-07,1890.0
P1,2014-06-04,2419600.0
P2,2014-06-04,86700.0
P3,2014-06-04,3310.0
P4,2014-06-04,2419600.0
P5,2014-06-04,4260.0
P1,2014-07-07,14136000.0
P2,2014-07-07,
P3,2014-07-07,7701000.0
P4,2014-07-07,2489000.0
P5,2014-07-07,189000.0
P1,2014-08-06,
P2,2014-08-06,
P3,2014-08-06,5200.0
P4,2014-08-06,14136000.0
P5,2014-08-06,5200.0
P1,2014-09-03,2419600.0
P2,2014-09-03,24810.0
P3,2014-09-03,3050.0
P4,2014-09-03,2419600.0
P5,2014-09-03,2280.0
P1,2014-10-01,24196000.0
P2,2014-10-01,73000.0
P3,2014-10-01,12200.0
P4,2014-10-01,1203300.0
P5,2014-10-01,16900.0
P1,2014-11-05,19863000.0
P2,2014-11-05,663000.0
P3,2014-11-05,105000.0
P4,2014-11-05,762000.0
P5,2014-11-05,8600.0
P1,2014-12-03,15531000.0
P2,2014-12-03,41000.0
P3,2014-12-03,5200.0
P4,2014-12-03,3654000.0
P5,2014-12-03,1000.0
P1,2014-01-07,24196000.0
P2,2014-01-07,67000.0
P3,2014-01-07,118700.0
P4,2014-01-07,4352000.0
P5,2014-01-07,14800.0
P1,2014-02-05,613100.0
P2,2014-02-05,77010.0
P3,2014-02-05,648800.0
P4,2014-02-05,241960.0
P5,2014-02-05,100.0
P1,2014-03-05,1553100.0
P2,2014-03-05,198630.0
P3,2014-03-05,870400.0
P4,2014-03-05,177000.0
P5,2014-03-05,40400.0
P1,2014-04-02,24196000.0
P2,2014-04-02,4100.0
P3,2014-04-02,2000.0
P4,2014-04-02,4106000.0
P5,2014-04-02,2000.0
P1,2014-05-07,198630.0
P2,2014-05-07,241960.0
P3,2014-05-07,41060.0
P4,2014-05-07,2419600.0
P5,2014-05-07,1890.0
P1,2014-06-04,2419600.0
P2,2014-06-04,86700.0
P3,2014-06-04,3310.0
P4,2014-06-04,2419600.0
P5,2014-06-04,4260.0
P1,2014-07-07,14136000.0
P2,2014-07-07,
P3,2014-07-07,7701000.0
P4,2014-07-07,2489000.0
P5,2014-07-07,189000.0
P1,2014-08-06,
P2,2014-08-06,
P3,2014-08-06,5200.0
P4,2014-08-06,14136000.0
P5,2014-08-06,5200.0
P1,2014-09-03,2419600.0
P2,2014-09-03,24810.0
P3,2014-09-03,3050.0
P4,2014-09-03,2419600.0
P5,2014-09-03,2280.0
P1,2014-10-01,24196000.0
P2,2014-10-01,73000.0
P3,2014-10-01,12200.0
P4,2014-10-01,1203300.0
P5,2014-10-01,16900.0
P1,2014-11-05,19863000.0
P2,2014-11-05,663000.0
P3,2014-11-05,105000.0
P4,2014-11-05,762000.0
P5,2014-11-05,8600.0
P1,2014-12-03,15531000.0
P2,2014-12-03,41000.0
P3,2014-12-03,5200.0
P4,2014-12-03,3654000.0
P5,2014-12-03,1000.0
P1,2015-01-12,24196000.0
P2,2015-01-12,624000.0
P3,2015-01-12,63000.0
P4,2015-01-12,3654000.0
P5,2015-01-12,1162000.0
P1,2015-02-09,111990.0
P2,2015-02-09,12100.0
P3,2015-02-09,1220.0
P4,2015-02-09,111990.0
P5,2015-02-09,20460.0
P1,2015-03-10,12997000.0
P2,2015-03-10,624000.0
P3,2015-03-10,42500.0
P4,2015-03-10,1119900.0
P5,2015-03-10,93300.0
P1,2015-04-08,1986300.0
P2,2015-04-08,111990.0
P3,2015-04-08,81600.0
P4,2015-04-08,1119900.0
P5,2015-04-08,77100.0
P1,2015-05-12,111990.0
P2,2015-05-12,11870.0
P3,2015-05-12,11620.0
P4,2015-05-12,198630.0
P5,2015-05-12,16070.0
P1,2015-06-09,12997000.0
P2,2015-06-09,111990.0
P3,2015-06-09,30900.0
P4,2015-06-09,1106000.0
P5,2015-06-09,9800.0
P1,2015-07-07,920800.0
P2,2015-07-07,461100.0
P3,2015-07-07,272300.0
P4,2015-07-07,547500.0
P5,2015-07-07,2000.0
P1,2015-08-11,3255000.0
P2,2015-08-11,11870.0
P3,2015-08-11,133300.0
P4,2015-08-11,307600.0
P5,2015-08-11,214300.0
P1,2015-09-03,6488000.0
P2,2015-09-03,24300.0
P3,2015-09-03,77600.0
P4,2015-09-03,435200.0
P5,2015-09-03,27500.0
P1,2015-10-01,12033000.0
P2,2015-10-01,1236000.0
P3,2015-10-01,47300.0
P4,2015-10-01,11000.0
P5,2015-10-01,18900.0
P1,2015-11-05,10462000.0
P2,2015-11-05,12740.0
P3,2015-11-05,261300.0
P4,2015-11-05,60200.0
P5,2015-11-05,275500.0
P1,2015-12-03,241900000.0
P2,2015-12-03,48800000.0
P3,2015-12-03,16200000.0
P4,2015-12-03,14200000.0
P5,2015-12-03,3700000.0
P1,2015-01-12,24196000.0
P2,2015-01-12,624000.0
P3,2015-01-12,63000.0
P4,2015-01-12,3654000.0
P5,2015-01-12,1162000.0
P1,2015-02-09,111990.0
P2,2015-02-09,12100.0
P3,2015-02-09,1220.0
P4,2015-02-09,111990.0
P5,2015-02-09,20460.0
P1,2015-03-10,12997000.0
P2,2015-03-10,624000.0
P3,2015-03-10,42500.0
P4,2015-03-10,1119900.0
P5,2015-03-10,93300.0
P1,2015-04-08,1986300.0
P2,2015-04-08,111990.0
P3,2015-04-08,81600.0
P4,2015-04-08,1119900.0
P5,2015-04-08,77100.0
P1,2015-05-12,111990.0
P2,2015-05-12,11870.0
P3,2015-05-12,11620.0
P4,2015-05-12,198630.0
P5,2015-05-12,16070.0
P1,2015-06-09,12997000.0
P2,2015-06-09,111990.0
P3,2015-06-09,30900.0
P4,2015-06-09,1106000.0
P5,2015-06-09,9800.0
P1,2015-07-07,920800.0
P2,2015-07-07,461100.0
P3,2015-07-07,272300.0
P4,2015-07-07,547500.0
P5,2015-07-07,2000.0
P1,2015-08-11,3255000.0
P2,2015-08-11,11870.0
P3,2015-08-11,133300.0
P4,2015-08-11,307600.0
P5,2015-08-11,214300.0
P1,2015-09-03,6488000.0
P2,2015-09-03,24300.0
P3,2015-09-03,77600.0
P4,2015-09-03,435200.0
P5,2015-09-03,27500.0
P1,2015-10-01,12033000.0
P2,2015-10-01,1236000.0
P3,2015-10-01,47300.0
P4,2015-10-01,11000.0
P5,2015-10-01,18900.0
P1,2015-11-05,10462000.0
P2,2015-11-05,12740.0
P3,2015-11-05,261300.0
P4,2015-11-05,60200.0
P5,2015-11-05,275500.0
P1,2015-12-03,241900000.0
P2,2015-12-03,48800000.0
P3,2015-12-03,16200000.0
P4,2015-12-03,14200000.0
P5,2015-12-03,3700000.0
P1,2016-01-07,130000.0
P2,2016-01-07,33000.0
P3,2016-01-07,230.0
P4,2016-01-07,49000.0
P5,2016-01-07,2000.0
P1,2016-02-04,170000.0
P2,2016-02-04,79000.0
P3,2016-02-04,130.0
P4,2016-02-04,33000.0
P5,2016-02-04,1100.0
P1,2016-03-03,230000.0
P2,2016-03-03,1.8
P3,2016-03-03,78.0
P4,2016-03-03,350000.0
P5,2016-03-03,330.0
P1,2016-04-07,340000.0
P2,2016-04-07,1.8
P3,2016-04-07,1.8
P4,2016-04-07,130000.0
P5,2016-04-07,220.0
P1,2016-05-05,220000.0
P2,2016-05-05,1.08
P3,2016-05-05,68.0
P4,2016-05-05,49000.0
P5,2016-05-05,170.0
P1,2016-06-02,41000.0
P2,2016-06-02,3500.0
P3,2016-06-02,3500.0
P4,2016-06-02,33000.0
P5,2016-06-02,3500.0
P1,2016-07-07,27000.0
P2,2016-07-07,490.0
P3,2016-07-07,130.0
P4,2016-07-07,23000.0
P5,2016-07-07,1300.0
P1,2016-08-04,13000.0
P2,2016-08-04,230.0
P3,2016-08-04,170.0
P4,2016-08-04,34000.0
P5,2016-08-04,790.0
P1,2016-09-01,7900.0
P2,2016-09-01,270.0
P3,2016-09-01,130.0
P4,2016-09-01,13000.0
P5,2016-09-01,330.0
P1,2016-10-06,9400.0
P2,2016-10-06,220.0
P3,2016-10-06,790.0
P4,2016-10-06,1700.0
P5,2016-10-06,490.0
P1,2016-11-03,4900.0
P2,2016-11-03,170.0
P3,2016-11-03,270.0
P4,2016-11-03,1300.0
P5,2016-11-03,460.0
P1,2016-12-01,3300.0
P2,2016-12-01,1100.0
P3,2016-12-01,340.0
P4,2016-12-01,1100.0
P5,2016-12-01,320.0
P1,2016-01-07,130000.0
P2,2016-01-07,33000.0
P3,2016-01-07,230.0
P4,2016-01-07,49000.0
P5,2016-01-07,2000.0
P1,2016-02-04,170000.0
P2,2016-02-04,79000.0
P3,2016-02-04,130.0
P4,2016-02-04,33000.0
P5,2016-02-04,1100.0
P1,2016-03-03,230000.0
P2,2016-03-03,1.8
P3,2016-03-03,78.0
P4,2016-03-03,350000.0
P5,2016-03-03,330.0
P1,2016-04-07,340000.0
P2,2016-04-07,1.8
P3,2016-04-07,1.8
P4,2016-04-07,130000.0
P5,2016-04-07,220.0
P1,2016-05-05,220000.0
P2,2016-05-05,1.08
P3,2016-05-05,68.0
P4,2016-05-05,49000.0
P5,2016-05-05,170.0
P1,2016-06-02,41000.0
P2,2016-06-02,3500.0
P3,2016-06-02,3500.0
P4,2016-06-02,33000.0
P5,2016-06-02,3500.0
P1,2016-07-07,27000.0
P2,2016-07-07,490.0
P3,2016-07-07,130.0
P4,2016-07-07,23000.0
P5,2016-07-07,1300.0
P1,2016-08-04,13000.0
P2,2016-08-04,230.0
P3,2016-08-04,170.0
P4,2016-08-04,34000.0
P5,2016-08-04,790.0
