ENTIDADE,DATA,fosforo
P1,2013-01-22,1.0
P2,2013-01-22,3.1
P7,2013-01-22,
P1,2013-02-05,1.7
P2,2013-02-05,2.6
P7,2013-02-05,
P1,2013-03-12,2.4
P2,2013-03-12,5.9
P7,2013-03-12,
P1,2013-05-14,7.1
P2,2013-05-14,7.3
P7,2013-05-14,
P1,2013-06-11,5.9
P2,2013-06-11,6.1
P7,2013-06-11,
P1,2013-07-09,3.4
P2,2013-07-09,1.4
P7,2013-07-09,
P1,2013-08-13,1.7
P2,2013-08-13,3.0
P7,2013-08-13,
P1,2013-09-10,2.7
P2,2013-09-10,3.2
P7,2013-09-10,
P1,2013-10-08,3.1
P2,2013-10-08,5.1
P7,2013-10-08,
P1,2013-11-12,
P2,2013-11-12,
P7,2013-11-12,
P1,2013-12-10,3.7
P2,2013-12-10,2.9
P7,2013-12-10,
P1,2014-01-14,2.2
P2,2014-01-14,2.5
P7,2014-01-14,
P1,2014-02-05,0.66
P2,2014-02-05,1.06
P7,2014-02-05,
P1,2014-03-11,2.14
P2,2014-03-11,0.94
P7,2014-03-11,
P1,2014-04-08,2.9
P2,2014-04-08,2.4
P7,2014-04-08,
P1,2014-05-13,3.4
P2,2014-05-13,2.8
P7,2014-05-13,
P1,2014-06-10,2.5
P2,2014-06-10,1.2
P7,2014-06-10,
P1,2014-07-08,
P2,2014-07-08,
P7,2014-07-08,
P1,2014-08-12,2.2
P2,2014-08-12,7.8
P7,2014-08-12,
P1,2014-09-09,3.5
P2,2014-09-09,4.9
P7,2014-09-09,
P1,2014-10-07,4.7
P2,2014-10-07,4.6
P7,2014-10-07,
P1,2014-11-11,2.6
P2,2014-11-11,4.65
P7,2014-11-11,
P1,2014-12-09,6.2
P2,2014-12-09,6.64
P7,2014-12-09,
P1,2014-01-14,2.2
P2,2014-01-14,2.5
P7,2014-01-14,
P1,2014-02-05,0.66
P2,2014-02-05,1.06
P7,2014-02-05,
P1,2014-03-11,2.14
P2,2014-03-11,0.94
P7,2014-03-11,
P1,2014-04-08,2.9
P2,2014-04-08,2.4
P7,2014-04-08,
P1,2014-05-13,3.4
P2,2014-05-13,2.8
P7,2014-05-13,
P1,2014-06-10,2.5
P2,2014-06-10,1.2
P7,2014-06-10,
P1,2014-07-08,
P2,2014-07-08,
P7,2014-07-08,
P1,2014-08-12,2.2
P2,2014-08-12,7.8
P7,2014-08-12,
P1,2014-09-09,3.5
P2,2014-09-09,4.9
P7,2014-09-09,
P1,2014-10-07,4.7
P2,2014-10-07,4.6
P7,2014-10-07,
P1,2014-11-11,2.6
P2,2014-11-11,4.65
P7,2014-11-11,
P1,2014-12-09,6.2
P2,2014-12-09,6.64
P7,2014-12-09,
P1,2015-01-13,2.8
P2,2015-01-13,0.4
P7,2015-01-13,6.6
P1,2015-02-10,3.3
P2,2015-02-10,4.1
P7,2015-02-10,
P1,2015-03-10,10.6
P2,2015-03-10,7.6
P7,2015-03-10,
P1,2015-04-07,4.0
P2,2015-04-07,3.7
P7,2015-04-07,1.2
P1,2015-05-12,6.9
P2,2015-05-12,6.0
P7,2015-05-12,
P1,2015-06-10,4.7
P2,2015-06-10,3.0
P7,2015-06-10,
P1,2015-07-07,9.2
P2,2015-07-07,3.1
P7,2015-07-07,5.4
P1,2015-08-12,6.5
P2,2015-08-12,4.4
P7,2015-08-12,
P1,2015-09-09,7.3
P2,2015-09-09,5.3
P7,2015-09-09,
P1,2015-10-07,0.63
P2,2015-10-07,2.06
P7,2015-10-07,0.42
P1,2015-11-11,5.7
P2,2015-11-11,4.2
P7,2015-11-11,
P1,2015-12-09,7.4
P2,2015-12-09,5.1
P7,2015-12-09,
P1,2015-01-13,2.8
P2,2015-01-13,0.4
P7,2015-01-13,6.6
P1,2015-02-10,3.3
P2,2015-02-10,4.1
P7,2015-02-10,
P1,2015-03-10,10.6
P2,2015-03-10,7.6
P7,2015-03-10,
P1,2015-04-07,4.0
P2,2015-04-07,3.7
P7,2015-04-07,1.2
P1,2015-05-12,6.9
P2,2015-05-12,6.0
P7,2015-05-12,
P1,2015-06-10,4.7
P2,2015-06-10,3.0
P7,2015-06-10,
P1,2015-07-07,9.2
P2,2015-07-07,3.1
P7,2015-07-07,5.4
P1,2015-08-12,6.5
P2,2015-08-12,4.4
P7,2015-08-12,
P1,2015-09-09,7.3
P2,2015-09-09,5.3
P7,2015-09-09,
P1,2015-10-07,0.63
