ENTIDADE,DATA,pH
P1,2013-01-09,6.1
Pb,2013-01-09,6.5
Pc,2013-01-09,6.7
Pd,2013-01-09,6.8
P2,2013-01-09,6.9
P3,2013-01-09,6.9
P4,2013-01-09,6.4
P5,2013-01-09,6.8
P7,2013-01-09,
P1,2013-02-14,7.1
Pb,2013-02-14,6.8
Pc,2013-02-14,6.2
Pd,2013-02-14,6.6
P2,2013-02-14,6.7
P3,2013-02-14,7.1
P4,2013-02-14,7.0
P5,2013-02-14,7.4
P7,2013-02-14,
P1,2013-03-06,7.4
Pb,2013-03-06,7.8
Pc,2013-03-06,7.7
Pd,2013-03-06,7.9
P2,2013-03-06,7.9
P3,2013-03-06,8.1
P4,2013-03-06,8.8
P5,2013-03-06,9.0
P7,2013-03-06,
P1,2013-04-03,7.2
Pb,2013-04-03,7.4
Pc,2013-04-03,6.4
Pd,2013-04-03,7.4
P2,2013-04-03,7.2
P3,2013-04-03,7.4
P4,2013-04-03,7.4
P5,2013-04-03,8.5
P7,2013-04-03,
P1,2013-05-08,6.9
Pb,2013-05-08,7.2
Pc,2013-05-08,6.8
Pd,2013-05-08,7.0
P2,2013-05-08,7.1
P3,2013-05-08,7.3
P4,2013-05-08,7.0
P5,2013-05-08,7.6
P7,2013-05-08,
P1,2013-06-05,7.1
Pb,2013-06-05,7.2
Pc,2013-06-05,6.9
Pd,2013-06-05,7.2
P2,2013-06-05,7.3
P3,2013-06-05,7.3
P4,2013-06-05,7.0
P5,2013-06-05,7.3
P7,2013-06-05,
P1,2013-07-03,6.9
Pb,2013-07-03,7.1
Pc,2013-07-03,7.5
Pd,2013-07-03,7.5
P2,2013-07-03,7.4
P3,2013-07-03,7.3
P4,2013-07-03,7.2
P5,2013-07-03,7.5
P7,2013-07-03,
P1,2013-08-07,7.1
Pb,2013-08-07,7.2
Pc,2013-08-07,7.5
Pd,2013-08-07,7.5
P2,2013-08-07,7.5
P3,2013-08-07,7.3
P4,2013-08-07,7.3
P5,2013-08-07,7.4
P7,2013-08-07,
P1,2013-09-04,7.0
Pb,2013-09-04,7.3
Pc,2013-09-04,7.6
Pd,2013-09-04,7.6
P2,2013-09-04,7.6
P3,2013-09-04,7.3
P4,2013-09-04,7.0
P5,2013-09-04,7.3
P7,2013-09-04,
P1,2013-10-02,6.9
Pb,2013-10-02,7.4
Pc,2013-10-02,7.7
Pd,2013-10-02,7.8
P2,2013-10-02,7.8
P3,2013-10-02,7.1
P4,2013-10-02,7.0
P5,2013-10-02,7.7
P7,2013-10-02,
P1,2013-11-06,
Pb,2013-11-06,
Pc,2013-11-06,
Pd,2013-11-06,
P2,2013-11-06,
P3,2013-11-06,
P4,2013-11-06,
P5,2013-11-06,
P7,2013-11-06,
P1,2013-12-04,6.8
Pb,2013-12-04,7.5
Pc,2013-12-04,7.6
Pd,2013-12-04,7.7
P2,2013-12-04,7.7
P3,2013-12-04,7.0
P4,2013-12-04,7.0
P5,2013-12-04,8.7
P7,2013-12-04,
P1,2014-01-08,6.8
Pb,2014-01-08,7.3
Pc,2014-01-08,7.5
Pd,2014-01-08,7.6
P2,2014-01-08,7.6
P3,2014-01-08,7.0
P4,2014-01-08,7.2
P5,2014-01-08,9.9
P7,2014-01-08,
P1,2014-02-05,6.9
Pb,2014-02-05,7.3
Pc,2014-02-05,7.3
Pd,2014-02-05,7.4
P2,2014-02-05,7.5
