ENTIDADE,DATA,SÓLIDOS
P1,2013-01-22,
Pb,2013-01-22,
Pc,2013-01-22,
Pd,2013-01-22,
P2,2013-01-22,
P3,2013-01-22,
P4,2013-01-22,
P5,2013-01-22,
P7,2013-01-22,
P1,2013-02-05,21.9
Pb,2013-02-05,49.9
Pc,2013-02-05,23.1
Pd,2013-02-05,11.2
P2,2013-02-05,13.3
P3,2013-02-05,10.1
P4,2013-02-05,11.5
P5,2013-02-05,26.1
P7,2013-02-05,
P1,2013-03-12,42.5
Pb,2013-03-12,30.5
Pc,2013-03-12,19.7
Pd,2013-03-12,14.8
P2,2013-03-12,16.7
P3,2013-03-12,11.4
P4,2013-03-12,35.1
P5,2013-03-12,7.2
P7,2013-03-12,
P1,2013-04-09,
Pb,2013-04-09,
Pc,2013-04-09,
Pd,2013-04-09,
P2,2013-04-09,
P3,2013-04-09,
P4,2013-04-09,
P5,2013-04-09,
P7,2013-04-09,
P1,2013-05-14,133.3
Pb,2013-05-14,19.3
Pc,2013-05-14,31.6
Pd,2013-05-14,11.4
P2,2013-05-14,2.4
P3,2013-05-14,12.6
P4,2013-05-14,69.8
P5,2013-05-14,37.5
P7,2013-05-14,
P1,2013-06-11,231.5
Pb,2013-06-11,48.9
Pc,2013-06-11,24.8
Pd,2013-06-11,10.8
P2,2013-06-11,11.7
P3,2013-06-11,15.5
P4,2013-06-11,95.8
P5,2013-06-11,19.6
P7,2013-06-11,
P1,2013-07-09,85.5
Pb,2013-07-09,23.7
Pc,2013-07-09,27.2
Pd,2013-07-09,20.5
P2,2013-07-09,16.5
P3,2013-07-09,8.5
P4,2013-07-09,70.0
P5,2013-07-09,50.2
P7,2013-07-09,
P1,2013-08-13,60.5
Pb,2013-08-13,21.9
Pc,2013-08-13,9.3
Pd,2013-08-13,11.7
P2,2013-08-13,14.1
P3,2013-08-13,15.7
P4,2013-08-13,27.9
P5,2013-08-13,3.0
P7,2013-08-13,
P1,2013-09-10,48.5
Pb,2013-09-10,15.5
Pc,2013-09-10,4.3
Pd,2013-09-10,4.5
P2,2013-09-10,7.7
P3,2013-09-10,8.5
P4,2013-09-10,51.3
P5,2013-09-10,2.9
P7,2013-09-10,
P1,2013-10-08,89.3
Pb,2013-10-08,24.4
Pc,2013-10-08,15.8
Pd,2013-10-08,13.4
P2,2013-10-08,11.5
P3,2013-10-08,15.1
P4,2013-10-08,49.0
P5,2013-10-08,28.5
P7,2013-10-08,
P1,2013-11-12,
Pb,2013-11-12,
Pc,2013-11-12,
Pd,2013-11-12,
P2,2013-11-12,
P3,2013-11-12,
P4,2013-11-12,
P5,2013-11-12,
P7,2013-11-12,
P1,2013-12-10,114.3
Pb,2013-12-10,8.2
Pc,2013-12-10,3.3
Pd,2013-12-10,1.0
P2,2013-12-10,2.9
P3,2013-12-10,25.8
P4,2013-12-10,57.4
P5,2013-12-10,12.7
P7,2013-12-10,
P1,2014-01-14,34.0
Pb,2014-01-14,10.3
Pc,2014-01-14,12.7
Pd,2014-01-14,11.5
P2,2014-01-14,10.0
P3,2014-01-14,36.4
P4,2014-01-14,14.4
P5,2014-01-14,13.4
P7,2014-01-14,
P1,2014-02-11,37.2
Pb,2014-02-11,30.5
Pc,2014-02-11,16.2
Pd,2014-02-11,9.3
P2,2014-02-11,19.2
P3,2014-02-11,7.4
P4,2014-02-11,35.2
P5,2014-02-11,4.0
P7,2014-02-11,
P1,2014-03-11,121.5
Pb,2014-03-11,26.5
Pc,2014-03-11,12.9
Pd,2014-03-11,6.5
P2,2014-03-11,9.3
P3,2014-03-11,9.8
P4,2014-03-11,38.0
P5,2014-03-11,4.8
P7,2014-03-11,
P1,2014-04-08,210.3
Pb,2014-04-08,13.4
Pc,2014-04-08,5.7
Pd,2014-04-08,2.6
P2,2014-04-08,4.0
P3,2014-04-08,6.7
P4,2014-04-08,89.0
P5,2014-04-08,2.7
P7,2014-04-08,
P1,2014-05-13,202.5
Pb,2014-05-13,18.9
Pc,2014-05-13,8.1
Pd,2014-05-13,4.9
P2,2014-05-13,3.5
P3,2014-05-13,9.4
P4,2014-05-13,110.8
P5,2014-05-13,3.2
P7,2014-05-13,
P1,2014-06-10,166.3
Pb,2014-06-10,12.9
Pc,2014-06-10,8.0
Pd,2014-06-10,6.0
P2,2014-06-10,5.7
P3,2014-06-10,14.6
P4,2014-06-10,49.7
P5,2014-06-10,6.2
P7,2014-06-10,
P1,2014-07-08,
Pb,2014-07-08,
Pc,2014-07-08,
Pd,2014-07-08,
P2,2014-07-08,
P3,2014-07-08,
P4,2014-07-08,
P5,2014-07-08,
P7,2014-07-08,
P1,2014-08-12,74.5
Pb,2014-08-12,12.0
Pc,2014-08-12,20.6
Pd,2014-08-12,11.9
