ENTIDADE,DATA,óleos
P1,2013-01-22,
Pb,2013-01-22,
Pc,2013-01-22,
Pd,2013-01-22,
P2,2013-01-22,
P3,2013-01-22,
P4,2013-01-22,
P5,2013-01-22,
P7,2013-01-22,
P1,2013-02-05,10.0
Pb,2013-02-05,10.0
Pc,2013-02-05,10.0
Pd,2013-02-05,10.0
P2,2013-02-05,10.0
P3,2013-02-05,14.0
P4,2013-02-05,10.0
P5,2013-02-05,10.4
P7,2013-02-05,
P1,2013-03-12,19.4
Pb,2013-03-12,10.0
Pc,2013-03-12,10.0
Pd,2013-03-12,10.0
P2,2013-03-12,15.6
P3,2013-03-12,12.2
P4,2013-03-12,14.8
P5,2013-03-12,10.0
P7,2013-03-12,
P1,2013-04-09,
Pb,2013-04-09,
Pc,2013-04-09,
Pd,2013-04-09,
P2,2013-04-09,
P3,2013-04-09,
P4,2013-04-09,
P5,2013-04-09,
P7,2013-04-09,
P1,2013-05-14,19.1
Pb,2013-05-14,27.1
Pc,2013-05-14,14.7
Pd,2013-05-14,15.9
P2,2013-05-14,10.0
P3,2013-05-14,18.2
P4,2013-05-14,34.5
P5,2013-05-14,20.8
P7,2013-05-14,
P1,2013-06-11,46.3
Pb,2013-06-11,12.7
Pc,2013-06-11,10.0
Pd,2013-06-11,10.0
P2,2013-06-11,10.0
P3,2013-06-11,10.0
P4,2013-06-11,22.8
P5,2013-06-11,10.0
P7,2013-06-11,
P1,2013-07-09,21.1
Pb,2013-07-09,12.5
Pc,2013-07-09,14.5
Pd,2013-07-09,13.1
P2,2013-07-09,10.0
P3,2013-07-09,10.0
P4,2013-07-09,30.1
P5,2013-07-09,10.0
P7,2013-07-09,
P1,2013-08-13,26.6
Pb,2013-08-13,19.5
Pc,2013-08-13,20.9
Pd,2013-08-13,19.8
P2,2013-08-13,11.4
P3,2013-08-13,12.8
P4,2013-08-13,21.3
P5,2013-08-13,18.9
P7,2013-08-13,
P1,2013-09-10,28.4
Pb,2013-09-10,14.9
Pc,2013-09-10,22.8
Pd,2013-09-10,15.9
P2,2013-09-10,13.1
P3,2013-09-10,13.9
P4,2013-09-10,21.9
P5,2013-09-10,10.0
P7,2013-09-10,
P1,2013-10-08,28.3
Pb,2013-10-08,21.0
Pc,2013-10-08,13.5
Pd,2013-10-08,11.1
P2,2013-10-08,12.2
P3,2013-10-08,19.9
P4,2013-10-08,31.7
P5,2013-10-08,12.6
P7,2013-10-08,
P1,2013-11-12,
Pb,2013-11-12,
Pc,2013-11-12,
Pd,2013-11-12,
P2,2013-11-12,
P3,2013-11-12,
P4,2013-11-12,
P5,2013-11-12,
P7,2013-11-12,
P1,2013-12-10,27.2
Pb,2013-12-10,16.8
Pc,2013-12-10,21.3
Pd,2013-12-10,17.5
P2,2013-12-10,10.0
P3,2013-12-10,18.2
P4,2013-12-10,43.7
P5,2013-12-10,17.4
P7,2013-12-10,
P1,2014-01-14,23.4
Pb,2014-01-14,14.6
Pc,2014-01-14,28.1
Pd,2014-01-14,22.1
P2,2014-01-14,18.0
P3,2014-01-14,23.8
P4,2014-01-14,10.1
P5,2014-01-14,10.0
P7,2014-01-14,
P1,2014-02-05,19.9
Pb,2014-02-05,19.1
Pc,2014-02-05,19.3
Pd,2014-02-05,17.4
P2,2014-02-05,10.0
P3,2014-02-05,18.3
P4,2014-02-05,27.3
P5,2014-02-05,14.9
P7,2014-02-05,
P1,2014-03-12,35.4
Pb,2014-03-12,11.8
Pc,2014-03-12,21.3
Pd,2014-03-12,18.7
P2,2014-03-12,10.0
P3,2014-03-12,15.7
P4,2014-03-12,22.1
P5,2014-03-12,10.0
P7,2014-03-12,
P1,2014-04-09,73.6
Pb,2014-04-09,13.7
Pc,2014-04-09,10.0
Pd,2014-04-09,11.3
P2,2014-04-09,10.0
P3,2014-04-09,15.4
P4,2014-04-09,30.3
P5,2014-04-09,10.9
P7,2014-04-09,
P1,2014-05-14,66.8
Pb,2014-05-14,10.0
Pc,2014-05-14,11.3
Pd,2014-05-14,14.0
P2,2014-05-14,15.5
P3,2014-05-14,17.8
P4,2014-05-14,27.1
P5,2014-05-14,12.9
P7,2014-05-14,
P1,2014-06-11,42.9
Pb,2014-06-11,12.8
Pc,2014-06-11,10.5
Pd,2014-06-11,10.0
P2,2014-06-11,10.0
P3,2014-06-11,16.8
P4,2014-06-11,19.1
P5,2014-06-11,10.0
P7,2014-06-11,
P1,2014-07-09,
Pb,2014-07-09,
Pc,2014-07-09,
Pd,2014-07-09,
P2,2014-07-09,
P3,2014-07-09,
P4,2014-07-09,
P5,2014-07-09,
P7,2014-07-09,
P1,2014-08-13,23.7
Pb,2014-08-13,21.8
Pc,2014-08-13,10.0
Pd,2014-08-13,12.8
P2,2014-08-13,10.0
