DATA DA COLETA,UMIDADE % p/p,ALUMÍNIO (mg/kg),COBRE (mg/kg),CROMO (mg/kg),MANGANÊS (mg/kg),NÍQUEL (mg/kg),LABORATÓRIO ALAC,OBSERVAÇÕES,PORCENTAGEM DE SÓLIDOS % p/p,SÓLIDOS VOLÁTEIS % p/p,LABORATÓRIO BIOAGRI,COMPOSTOS ORGÂNICOS VOLÁTEIS  (µg/kg)
2013-02-05,22.7,16994.0,249.0,0.1,44.2,17.2,x,nan,nan,nan,nan,nan
2013-05-07,71.2,2109.0,39.4,9.44,62.1,7.42,x,nan,nan,nan,nan,nan
2013-08-06,74.8,8759.0,230.0,35.8,138.0,75.7,x,nan,nan,nan,nan,nan
2013-11-05,76.3,1176.0,5104.0,3.04,4.91,22.4,x,nan,nan,nan,nan,nan
2014-02-05,63.8,1945.0,32.1,11.7,16.0,5.04,x,nan,nan,nan,nan,nan
2014-05-05,86.4,889.0,25.5,5.74,39.5,6.52,x,nan,nan,nan,nan,nan
2014-08-06,64.8,224.0,2.18,1.55,1.45,0.989,x,nan,nan,nan,nan,nan
2014-11-05,66.9,1236.0,82.6,8.68,30.6,6.39,x,nan,nan,nan,nan,nan
2014-02-05,63.8,1945.0,32.1,11.7,16.0,5.04,x,nan,nan,nan,nan,nan
2014-05-05,86.4,889.0,25.5,5.74,39.5,6.52,x,nan,nan,nan,nan,nan
2014-08-06,64.8,224.0,2.18,1.55,1.45,0.989,x,nan,nan,nan,nan,nan
2014-11-05,66.9,1236.0,82.6,8.68,30.6,6.39,x,nan,nan,nan,nan,nan
2015-01-16,94.5,6270.0,191.0,16.0,234.0,23.0,nan,nan,5.0,3.0,x,nan
2015-04-08,60.5,5100.0,82.9,18.8,81.0,12.1,nan,nan,39.5,20.6,x,nan
2015-07-09,59.2,4250.0,87.5,17.5,17.0,3.5,nan,nan,40.8,18.8,x,nan
2015-10-09,43.8,5340.0,102.0,31.7,46.7,6.84,nan,nan,56.2,30.8,nan,nan
2015-01-16,94.5,6270.0,191.0,16.0,234.0,23.0,nan,nan,5.0,3.0,x,nan
2015-04-08,60.5,5100.0,82.9,18.8,81.0,12.1,nan,nan,39.5,20.6,x,nan
2015-07-09,59.2,4250.0,87.5,17.5,17.0,3.5,nan,nan,40.8,18.8,x,nan
2015-10-09,43.8,5340.0,102.0,31.7,46.7,6.84,nan,nan,56.2,30.8,nan,nan
2016-01-07,67.0,14068.0,221.4,19.1,165.8,27.1,nan,nan,nan,nan,nan,2.0
2016-04-07,37.8,10555.3,184.5,30.0,44.1,15.0,nan,nan,nan,nan,nan,2.0
2016-07-07,50.2,22094.8,155.3,26.0,167.9,21.2,nan,nan,nan,nan,nan,2.0
2016-10-06,71.0,3534.7,10.81,9.88,37.4,8.5,nan,nan,nan,nan,nan,2.0
2016-01-07,67.0,14068.0,221.4,19.1,165.8,27.1,nan,nan,nan,nan,nan,2.0
2016-04-07,37.8,10555.3,184.5,30.0,44.1,15.0,nan,nan,nan,nan,nan,2.0
2016-07-07,50.2,22094.8,155.3,26.0,167.9,21.2,nan,nan,nan,nan,nan,2.0
2016-10-06,71.0,3534.7,10.81,9.88,37.4,8.5,nan,nan,nan,nan,nan,2.0
2017-01-12,59.7,12533.4,182.1,21.8,48.7,13.2,nan,nan,nan,nan,nan,2.0
2017-04-06,62.6,77.9,170.3,28.6,209.5,27.1,nan,nan,nan,nan,nan,2.0
2017-07-13,84.0,26438.0,160.0,37.9,77.8,16.4,nan,nan,nan,nan,nan,99.04
2017-10-05,78.2,16927.0,166.0,33.7,39.1,16.6,nan,nan,nan,nan,nan,2.0
2017-01-12,59.7,12533.4,182.1,21.8,48.7,13.2,nan,nan,nan,nan,nan,2.0
2017-04-06,62.6,77.9,170.3,28.6,209.5,27.1,nan,nan,nan,nan,nan,2.0
2017-07-13,84.0,26438.0,160.0,37.9,77.8,16.4,nan,nan,nan,nan,nan,99.04
2017-10-05,78.2,16927.0,166.0,33.7,39.1,16.6,nan,nan,nan,nan,nan,2.0
2018-01-11,55.61,12458.167,227.092,23.108,212.151,28.685,nan,nan,nan,nan,nan,40.8
2018-04-19,73.55,16513.395,244.902,31.387,116.553,19.792,nan,nan,nan,nan,nan,2
2018-07-12,62.12,11547.431,193.478,25.099,258.103,26.285,nan,nan,nan,nan,nan,2
2018-10-11,37.64,9870.55,349.691,36.321,546.754,41.731,nan,nan,nan,nan,nan,2
2018-01-11,55.61,12458.167,227.092,23.108,212.151,28.685,nan,nan,nan,nan,nan,40.8
2018-04-19,73.55,16513.395,244.902,31.387,116.553,19.792,nan,nan,nan,nan,nan,2
2018-07-12,62.12,11547.431,193.478,25.099,258.103,26.285,nan,nan,nan,nan,nan,2
2018-10-11,37.64,9870.55,349.691,36.321,546.754,41.731,nan,nan,nan,nan,nan,2
2019-01-10,24.74,13544.629,136.058,22.907,109.795,14.021,nan,nan,nan,nan,nan,40.2
2019-04-11,nan,nan,nan,nan,nan,nan,nan,*Não houve coleta de amostra - Leito de secagem em manutenção,nan,nan,nan,nan
2019-07-11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
