DATA DA COLETA,P1 - Entrada ETE,P2/P6- Saída da ETE ,P1 - Média mês,P2/P6 - Média mês,ANAL. AMB.,OBSERVAÇÕES,P7 - Rede Pluvial (trimestral),Ponto de coleta Saída (P2 ou P6)
2013-01-08,4.5,8.6,6.7,10.7,x,Coletas no mês de janeiro. foram adiantadas para estes dias. devido as datas do cronograma estarem agendadas nas férias da laboratorista.,nan,nan
2013-01-09,8.9,12.8,nan,nan,x,nan,nan,nan
2013-02-05,12.4,17.3,24.425,14.425,x,nan,nan,nan
2013-02-14,15.6,4.7,nan,nan,x,nan,nan,nan
2013-02-19,17.5,6.4,nan,nan,x,nan,nan,nan
2013-02-26,52.2,29.3,nan,nan,x,nan,nan,nan
2013-03-05,24.8,42.0,44.925,42.675,x,nan,nan,nan
2013-03-12,20.8,38.6,nan,nan,x,nan,nan,nan
2013-03-19,64.1,53.4,nan,nan,x,nan,nan,nan
2013-03-26,70.0,36.7,nan,nan,x,nan,nan,nan
2013-04-02,41.0,29.2,30.399999999999995,33.9,x,nan,nan,nan
2013-04-09,nan,nan,nan,nan,x,Coleta não realizada.,nan,nan
2013-04-16,25.3,39.0,nan,nan,x,nan,nan,nan
2013-04-23,24.9,33.5,nan,nan,x,Coleta realizada em 26/04.,nan,nan
2013-05-08,29.4,45.9,53.65,57.875,x,nan,nan,nan
2013-05-15,52.6,47.0,nan,nan,x,nan,nan,nan
2013-05-21,63.5,62.1,nan,nan,x,nan,nan,nan
2013-05-28,69.1,76.5,nan,nan,x,nan,nan,nan
2013-06-05,40.8,47.0,52.725,42.5,x,nan,nan,nan
2013-06-11,43.5,35.0,nan,nan,x,nan,nan,nan
2013-06-18,nan,nan,nan,nan,x,A correia do CBR estragou. não tendo como coletar amostra neste dia.,nan,nan
2013-06-25,49.4,23.5,nan,nan,x,nan,nan,nan
