DATA DA COLETA,P1 - Entrada ETE,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2 / P6 - Saída da ETE ,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,ANAL. AMB.,OBSERVAÇÕES,P7 - Rede Pluvial (trimestral)
2013-01-22,nan,nan,nan,nan,nan,nan,nan,nan,x,As análises de DBO. SS e OG não foram realizadas em janeiro devido as férias da técnica do Lab. de Análise Ambiental,nan
2013-02-05,21.9,49.9,23.1,11.2,13.3,10.1,11.5,26.1,x,nan,nan
2013-03-12,42.5,30.5,19.7,14.8,16.7,11.4,35.1,7.2,x,nan,nan
2013-04-09,nan,nan,nan,nan,nan,nan,nan,nan,x,Neste mês foi solicitado pela Prof. Luciana Gomes (CO) análises extras para Nitrogênio Amoniacal. pH e Alcalinidade Total então devido a grande demanda de análises que a laboratorista realiza não houve análise para este parâmetro.,nan
2013-05-14,133.3,19.3,31.6,11.4,2.4,12.6,69.8,37.5,x,Coleta feita em 15/05/13,nan
2013-06-11,231.5,48.9,24.8,10.8,11.7,15.5,95.8,19.6,x,nan,nan
2013-07-09,85.5,23.7,27.2,20.5,16.5,8.5,70.0,50.2,x,nan,nan
2013-08-13,60.5,21.9,9.3,11.7,14.1,15.7,27.9,3.0,x,nan,nan
2013-09-10,48.5,15.5,4.3,4.5,7.7,8.5,51.3,2.9,x,nan,nan
2013-10-08,89.3,24.4,15.8,13.4,11.5,15.1,49.0,28.5,x,nan,nan
2013-11-12,nan,nan,nan,nan,nan,nan,nan,nan,x,À pedido do responsável da empresa Ecovisual. não foram realizadas coletas pelo Lab. Análises Ambientais no mês de novembro devido aos equipamentos da ETE terem sido submetidos para manutenção. pois estavam estragados.,nan
2013-12-10,114.3,8.2,3.3,1.0,2.9,25.8,57.4,12.7,x,nan,nan
2014-01-14,34.0,10.3,12.7,11.5,10.0,36.4,14.4,13.4,x,nan,nan
2014-02-11,37.2,30.5,16.2,9.3,19.2,7.4,35.2,4.0,x,nan,nan
2014-03-11,121.5,26.5,12.9,6.5,9.3,9.8,38.0,4.8,x,nan,nan
2014-04-08,210.3,13.4,5.7,2.6,4.0,6.7,89.0,2.7,x,nan,nan
2014-05-13,202.5,18.9,8.1,4.9,3.5,9.4,110.8,3.2,x,nan,nan
2014-06-10,166.3,12.9,8.0,6.0,5.7,14.6,49.7,6.2,x,nan,nan
2014-07-08,nan,nan,nan,nan,nan,nan,nan,nan,x,No mês de julho o Lab. de Análises Ambientais não realizou coleta. justificativa consta no laudo emitido.,nan
2014-08-12,74.5,12.0,20.6,11.9,12.5,5.9,19.8,6.8,x,nan,nan
2014-09-09,123.3,11.7,6.1,2.9,4.2,6.9,27.0,4.9,x,Coleta realizada em 23/09/14,nan
2014-10-07,131.5,12.5,8.0,3.9,4.8,9.4,17.7,11.1,x,nan,nan
2014-11-11,70.7,17.8,6.9,10.6,4.5,8.7,21.9,14.6,x,nan,nan
2014-12-09,101.0,10.5,7.6,5.3,3.2,11.7,35.2,9.9,x,nan,nan
2014-01-14,34.0,10.3,12.7,11.5,10.0,36.4,14.4,13.4,x,nan,nan
2014-02-11,37.2,30.5,16.2,9.3,19.2,7.4,35.2,4.0,x,nan,nan
2014-03-11,121.5,26.5,12.9,6.5,9.3,9.8,38.0,4.8,x,nan,nan
2014-04-08,210.3,13.4,5.7,2.6,4.0,6.7,89.0,2.7,x,nan,nan
2014-05-13,202.5,18.9,8.1,4.9,3.5,9.4,110.8,3.2,x,nan,nan
2014-06-10,166.3,12.9,8.0,6.0,5.7,14.6,49.7,6.2,x,nan,nan
2014-07-08,nan,nan,nan,nan,nan,nan,nan,nan,x,No mês de julho o Lab. de Análises Ambientais não realizou coleta. justificativa consta no laudo emitido.,nan
2014-08-12,74.5,12.0,20.6,11.9,12.5,5.9,19.8,6.8,x,nan,nan
2014-09-09,123.3,11.7,6.1,2.9,4.2,6.9,27.0,4.9,x,Coleta realizada em 23/09/14,nan
2014-10-07,131.5,12.5,8.0,3.9,4.8,9.4,17.7,11.1,x,nan,nan
2014-11-11,70.7,17.8,6.9,10.6,4.5,8.7,21.9,14.6,x,nan,nan
2014-12-09,101.0,10.5,7.6,5.3,3.2,11.7,35.2,9.9,x,nan,nan
2015-01-13,42.4,7.0,7.3,4.8,4.8,2.2,17.5,2.9,x,nan,10.9
2015-02-10,83.5,8.3,5.3,4.4,6.6,6.7,79.0,2.3,x,nan,nan
2015-03-10,108.5,nan,nan,nan,23.0,10.9,36.3,7.6,x,CBR estava paralizado neste dia. Amostragem do ponto de saída realizada no P6.,nan
2015-04-07,89.5,nan,nan,nan,5.9,5.0,24.5,10.4,x,CBR estava paralizado. coleta no P6,4.2
2015-05-12,157.0,16.6,20.2,2.2,1.9,7.0,41.9,11.0,x,nan,nan
2015-06-10,101.0,nan,nan,nan,7.9,10.0,35.4,20.3,x,CBR estava paralizado. coleta no P6,nan
2015-07-08,949.0,nan,nan,nan,10.3,64.9,53.9,32.9,x,CBR estava paralizado. coleta no P6,112.2
2015-08-12,61.7,8.1,7.3,3.8,6.0,10.5,26.5,9.5,x,nan,nan
2015-09-09,191.0,8.7,5.2,5.4,10.5,8.4,107.5,7.2,x,nan,nan
2015-10-07,51.7,nan,nan,nan,9.4,8.3,28.6,7.0,x,CBR estava paralizado. coleta no P6,11.5
2015-11-11,184.7,11.8,4.3,3.8,14.0,7.9,134.5,7.1,x,nan,nan
2015-12-09,99.5,9.3,4.3,5.4,6.0,3.2,104.0,14.4,x,nan,nan
2015-01-13,42.4,7.0,7.3,4.8,4.8,2.2,17.5,2.9,x,nan,10.9
2015-02-10,83.5,8.3,5.3,4.4,6.6,6.7,79.0,2.3,x,nan,nan
2015-03-10,108.5,nan,nan,nan,23.0,10.9,36.3,7.6,x,CBR estava paralizado neste dia. Amostragem do ponto de saída realizada no P6.,nan
2015-04-07,89.5,nan,nan,nan,5.9,5.0,24.5,10.4,x,CBR estava paralizado. coleta no P6,4.2
2015-05-12,157.0,16.6,20.2,2.2,1.9,7.0,41.9,11.0,x,nan,nan
2015-06-10,101.0,nan,nan,nan,7.9,10.0,35.4,20.3,x,CBR estava paralizado. coleta no P6,nan
2015-07-08,949.0,nan,nan,nan,10.3,64.9,53.9,32.9,x,CBR estava paralizado. coleta no P6,112.2
2015-08-12,61.7,8.1,7.3,3.8,6.0,10.5,26.5,9.5,x,nan,nan
2015-09-09,191.0,8.7,5.2,5.4,10.5,8.4,107.5,7.2,x,nan,nan
2015-10-07,51.7,nan,nan,nan,9.4,8.3,28.6,7.0,x,CBR estava paralizado. coleta no P6,11.5
2015-11-11,184.7,11.8,4.3,3.8,14.0,7.9,134.5,7.1,x,nan,nan
2015-12-09,99.5,9.3,4.3,5.4,6.0,3.2,104.0,14.4,x,nan,nan
2016-01-12,130.2,1.6,3.9,3.9,2.1,2.7,19.0,25.9,nan,nan,10.3
2016-02-11,47.5,2.9,4.3,4.3,7.8,7.0,24.8,15.7,nan,nan,nan
2016-03-08,69.8,8.6,1.9,0.6,5.8,9.8,55.5,15.5,nan,nan,nan
2016-04-12,80.3,9.9,6.3,5.6,12.9,12.5,35.3,13.4,nan,nan,40.7
2016-05-10,247.5,nan,nan,nan,10.1,6.3,71.0,2.7,nan,nan,nan
2016-06-07,140.0,16.4,8.8,11.4,16.6,8.4,236.0,14.1,nan,nan,nan
2016-07-12,69.5,41.2,19.7,14.4,12.1,18.4,20.5,17.1,nan,nan,7.7
2016-08-09,54.5,21.0,20.8,5.5,10.5,4.4,54.0,11.4,nan,nan,nan
2016-09-13,185.5,6.6,34.0,14.6,10.7,7.5,77.5,5.2,nan,nan,nan
