PARÂMETROS,Data,Alumínio Total,Arsênio Total,Bário Total,Boro Total,Cádmio Total,Chumbo Total,Cianeto Total,Cobalto Total,Cobre Total,Cromo Total,Cromo Hexavalente,DBO,DQO,Estanho Total,Fenóis Total,Ferro Total,Fósforo Total,Fluoreto,Lítio Total,Manganês Total,Mercúrio,Molibdênio Total,Níquel Total,Nitrogênio Amoniacal,Nitrogênio Total Kjeldahl,Coliformes Termotolerantes,Prata Total,Mercúrio Total,Cianeto,Índice de Fenóis,Nitrogênio Total,Fenol
P1,2012-03-23,0.531,nan,0.034,nan,nan,nan,nan,nan,0.024,1050.0,0.001,nan,280.0,734.0,nan,0.019,2.11,0.040999999999999995,0.003,0.125,0.043,0.006,0.003,73.0,nan,1011200.0,nan,nan,nan,nan,nan,nan
P2/P6,2012-03-23,1.84,nan,0.012,59.0,0.009000000000000001,nan,nan,0.019,4.04,200.0,0.017,nan,32.0,95.1,nan,0.034,0.17,0.581,0.042,4.4,0.909,7.2,nan,69.5,nan,435200.0,nan,nan,nan,nan,nan,nan
P1,2012-11-05,0.23,nan,0.028,0.09300000000000001,nan,nan,nan,0.001,0.022000000000000002,295.0,0.004,nan,290.0,750.0,nan,0.032,2.22,nan,nan,0.181,nan,nan,0.003,82.1,nan,111990.0,nan,nan,nan,nan,nan,nan
P2/P6,2012-11-05,1.04,0.023,nan,nan,nan,nan,nan,nan,nan,140.0,0.01,nan,92.0,261.0,nan,0.021,7.03,0.068,nan,0.07,nan,nan,0.005,83.8,nan,98040.0,nan,nan,nan,nan,nan,nan
P1,2012-09-24,2.03,nan,0.07400000000000001,1.2,nan,nan,nan,0.002,0.017,49.0,0.004,nan,86.0,237.0,nan,nan,7.31,nan,0.002,0.28600000000000003,nan,0.002,nan,22.6,nan,292400.0,nan,nan,nan,nan,nan,nan
P2/P6,2012-09-24,0.151,nan,0.032,0.631,nan,nan,nan,nan,nan,37.0,0.005,nan,14.0,42.0,nan,nan,1.67,0.317,0.001,0.123,nan,0.002,nan,6.4,nan,520.0,nan,nan,nan,nan,nan,nan
P1,2012-01-11,0.267,0.006999999999999999,0.034,nan,nan,nan,nan,nan,nan,185.0,nan,nan,170.0,480.0,nan,nan,2.43,nan,0.001,0.154,nan,0.002,0.03,70.2,nan,1986300.0,nan,nan,nan,nan,nan,nan
P2/P6,2012-01-11,0.131,nan,0.017,nan,nan,nan,0.005,nan,nan,108.0,nan,nan,15.0,46.0,nan,nan,2.21,0.126,0.002,0.255,nan,0.002,nan,51.9,nan,64880.0,nan,nan,nan,nan,nan,nan
P1,2013-05-02,0.213,nan,0.035,0.063,nan,nan,0.011,nan,0.017,0.004,nan,51.0,127.0,nan,0.018000000000000002,2.37,4.3,0.264,0.002,0.1,nan,nan,nan,52.7,71.7,2419600.0,nan,nan,nan,nan,nan,nan
P2/P6,2013-05-02,0.145,nan,0.022,nan,nan,nan,0.011,nan,0.005,0.004,nan,12.5,31.0,nan,0.022,0.979,2.4,0.24100000000000002,0.001,0.11,nan,nan,nan,17.8,20.0,16100.0,nan,nan,nan,nan,nan,nan
P1,2013-07-05,1.62,0.002,0.116,nan,nan,0.012,nan,0.002,0.049,0.009000000000000001,nan,190.0,543.0,nan,nan,7.13,2.78,nan,0.001,0.233,nan,0.002,0.012,40.9,62.2,2419600.0,nan,nan,nan,nan,nan,nan
P2/P6,2013-07-05,0.218,0.002,0.036000000000000004,nan,nan,0.003,nan,nan,0.009000000000000001,0.004,nan,22.0,65.1,nan,nan,0.973,3.02,1.27,0.001,0.201,nan,0.002,0.004,47.3,47.6,155310.0,nan,nan,nan,nan,nan,nan
P1,2013-05-08,0.481,0.002,0.049,nan,nan,nan,nan,0.002,nan,nan,nan,82.0,231.0,nan,0.006999999999999999,3.09,2.3,nan,0.002,0.175,nan,nan,0.006,10.1,21.0,721500.0,nan,nan,nan,nan,nan,nan
P2/P6,2013-05-08,0.065,nan,0.061,0.037000000000000005,nan,nan,nan,0.001,nan,nan,nan,17.0,50.0,nan,0.006,1.29,2.78,nan,0.002,0.404,nan,nan,0.035,7.33,14.7,65860.0,nan,nan,nan,nan,nan,nan
P1,2013-04-11,0.309,nan,0.478,0.309,0.01,nan,nan,nan,0.183,0.005,nan,128.0,294.0,nan,0.002,2.71,nan,6.2,0.002,0.15,nan,nan,0.45,35.5,57.1,241960.0,nan,nan,nan,nan,nan,nan
P2/P6,2013-04-11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
P1,2014-06-03,0.063,nan,0.024,nan,nan,nan,0.018000000000000002,0.002,0.006999999999999999,nan,nan,79.2,237.0,nan,0.047,1.88,6.0,nan,nan,0.111,nan,0.004,nan,47.3,56.3,601500.0,nan,nan,nan,nan,nan,nan
P2/P6,2014-06-03,0.039,nan,0.019,nan,nan,nan,0.011,nan,0.003,nan,nan,13.3,40.0,nan,nan,0.753,2.54,nan,nan,0.026,nan,nan,nan,22.0,23.2,1986300.0,nan,nan,nan,nan,nan,nan
