PARÂMETROS,Data,Alumínio Total,Arsênio Total,Bário Total,Boro Total,Cádmio Total,Cianeto,Cobalto Total,Cobre Total,Cromo Hexavalente,Cromo Total,Chumbo Total,Estanho Total,Índice de Fenóis,Ferro Total,Fluoreto,Lítio Total,Manganês Total,Mercúrio Total,Molibdênio Total,Níquel Total,Prata Total,Fenol
P7,2015-01-01,4.98,10,104.0,37.2,1,50,10,50,0.01,10,10,10,0.02,223.0,1.47,10,67.6,0.075,10,10,10,nan
P7,2015-04-01,0.87,10,55.0,92.0,1,50,10,45,0.01,10,10,10,0.02,896.0,3.71,10,83.9,0.075,10,10,10,nan
P7,2015-07-01,5.76,10,61.0,77.3,1,50,10,39.5,0.01,10,10,10,0.02,2430.0,8.69,10,76.5,0.08,10,10,10,nan
P7,2015-10-01,0.405,0.01,0.0194,0.0142,0.001,0.05,0.01,0.005,0.01,0.01,0.01,0.01,0.02,0.417,0.15,0.01,0.0173,0.00008,0.01,0.01,0.01,nan
P7,2016-01-01,0.624,0.010,0.036,0.050,0.004,0.005,0.010,0.04,0.0005,0.009,0.006,0.050,nan,0.856,0.92,0.090,0.03,0.0001,0.010,0.016,0.010,0.003
P7,2016-04-01,1.51,0.010,0.010,0.050,0.004,0.005,0.010,0.077,0.0005,0.009,0.006,0.050,nan,0.5710000000000001,0.738,0.090,0.019,0.0001,0.010,0.010,0.010,0.01
P7,2016-07-01,0.211,0.010,0.032,0.050,0.004,0.005,0.010,0.0050,0.0005,0.009,0.006,0.050,nan,1.22,0.394,0.090,0.134,0.0001,0.010,0.010,0.010,0.003
P7,2016-10-01,1.33,0.010,0.019,0.050,0.004,0.005,0.010,0.0050,0.0005,0.009,0.006,0.050,nan,1.45,0.05,0.090,0.021,0.1,0.010,0.010,0.010,0.1
P7,2016-01-01,0.624,0.010,0.036,0.050,0.004,0.005,0.010,0.04,0.0005,0.009,0.006,0.050,nan,0.856,0.92,0.090,0.03,0.0001,0.010,0.016,0.010,0.003
P7,2016-04-01,1.51,0.010,0.010,0.050,0.004,0.005,0.010,0.077,0.0005,0.009,0.006,0.050,nan,0.5710000000000001,0.738,0.090,0.019,0.0001,0.010,0.010,0.010,0.01
P7,2016-07-01,0.211,0.010,0.032,0.050,0.004,0.005,0.010,0.0050,0.0005,0.009,0.006,0.050,nan,1.22,0.394,0.090,0.134,0.0001,0.010,0.010,0.010,0.003
P7,2016-10-01,1.33,0.010,0.019,0.050,0.004,0.005,0.010,0.0050,0.0005,0.009,0.006,0.050,nan,1.45,0.05,0.090,0.021,0.1,0.010,0.010,0.010,0.1
P7,2017-01-01,0.947,0.010,0.010,0.050,0.004,0.005,0.010,0.042,0.0005,0.009,0.006,0.050,nan,0.6609999999999999,0.321,0.090,0.010,1.0,0.010,0.010,0.010,0.04
P7,2017-04-01,1.429,0.010,0.083,0.050,0.004,0.005,0.010,0.025,0.0005,0.009,0.006,0.050,nan,0.398,1.2329999999999999,0.090,0.029,1.0,0.010,0.010,0.010,0.04
P7,2017-07-01,3.4160000000000004,0.010,0.099,0.227,0.227,0.005,0.010,0.022000000000000002,0.0005,0.009,0.006,0.050,nan,0.213,1.712,0.090,0.010,1.0,0.010,0.010,0.010,0.04
P7,2017-10-01,0.6940000000000001,0.010,0.073,0.075,0.004,0.005,0.010,0.105,0.0005,0.009,0.006,0.050,nan,0.312,0.733,0.090,0.056,1.0,0.010,0.010,0.010,0.04
P7,2017-01-01,0.947,0.010,0.010,0.050,0.004,0.005,0.010,0.042,0.0005,0.009,0.006,0.050,nan,0.6609999999999999,0.321,0.090,0.010,1.0,0.010,0.010,0.010,0.04
P7,2017-04-01,1.429,0.010,0.083,0.050,0.004,0.005,0.010,0.025,0.0005,0.009,0.006,0.050,nan,0.398,1.2329999999999999,0.090,0.029,1.0,0.010,0.010,0.010,0.04
P7,2017-07-01,3.4160000000000004,0.010,0.099,0.227,0.227,0.005,0.010,0.022000000000000002,0.0005,0.009,0.006,0.050,nan,0.213,1.712,0.090,0.010,1.0,0.010,0.010,0.010,0.04
P7,2017-10-01,0.6940000000000001,0.010,0.073,0.075,0.004,0.005,0.010,0.105,0.0005,0.009,0.006,0.050,nan,0.312,0.733,0.090,0.056,1.0,0.010,0.010,0.010,0.04
