DATE,ALUMÍNIO,COBRE,CROMO,ENTIDADE,MANGANÊS,PRATA
2013-02,2.04,0.107,3.38,ANAMBI,0.179,0.064
2013-04,0.71,0.027000000000000003,0.077,ANAMBI,1.06,0.004
2013-05,3.93,0.078,4.03,ANAMBI,14.6,0.055
2013-07,5.59,0.138,0.234,ANAMBI,5.7,0.042
2014-07,0.045,0.055999999999999994,0.097,ANAMBI,0.96,0.094
2015-06,60.0,40.0,30.0,ANAMBI,12200.0,10.0
2015-10,3080.0,280.0,20.0,ANAMBI,1270.0,30.0
2015-11,2210.0,,26.8,ANAMBI,760.0,
2016-02,3.286,0.132,0.009000000000000001,ANAMBI,0.23,0.01
2016-05,2.13,0.16699999999999998,0.036000000000000004,ANAMBI,0.092,0.05
2016-11,1.15,0.38,0.009000000000000001,ANAMBI,1.965,0.01
2017-05,9.83,0.285,0.81,ANAMBI,0.93,0.01
2017-07,0.72,0.179,0.009000000000000001,ANAMBI,0.32299999999999995,0.01
2019-03,3.0589999999999997,0.134,0.292,ANAMBI,11.27,0.01
2019-07,2.673,0.077,0.099,ANAMBI,0.036000000000000004,
