DATE,ALUMÍNIO,COBRE,COMPOSTOS,CROMO,ENTIDADE,MANGANÊS,NÍQUEL,PORCENTAGEM_SÓLIDOS,SÓLIDOS,UMIDADE
2013-02,,,,,COMPOSTAGEM,,,,,
2013-05,2606.0,56.5,,16.4,COMPOSTAGEM,63.4,8.18,,,64.7
2013-08,,,,,COMPOSTAGEM,,,,,
2013-11,2249.0,207.0,,,COMPOSTAGEM,41.3,17.4,,,70.4
2014-02,2606.0,56.5,,17.4,COMPOSTAGEM,43.4,8.18,,,54.8
2014-05,2245.0,60.4,,11.8,COMPOSTAGEM,12.5,2.82,,,46.8
2014-08,1599.0,23.8,,6.2,COMPOSTAGEM,123.0,10.0,,,45.0
2014-11,2249.0,36.0,,7.8,COMPOSTAGEM,41.3,17.4,,,50.8
2015-01,2800.0,122.0,,10.5,COMPOSTAGEM,14.0,5.5,54.0,26.5,46.0
2015-04,3790.0,18.3,,12.0,COMPOSTAGEM,169.0,4.58,80.5,11.0,18.5
2015-07,3510.0,15.8,,11.9,COMPOSTAGEM,257.0,5.0,54.0,13.8,45.5
2015-10,2730.0,19.5,,8.51,COMPOSTAGEM,150.0,3.27,72.5,11.0,27.5
2016-01,5128.0,26.2,2.0,8.3,COMPOSTAGEM,147.8,8.5,,,25.8
2016-04,6352.0,22.5,2.0,12.3,COMPOSTAGEM,180.0,8.5,,,10.6
2016-07,9975.6,26.2,2.0,14.8,COMPOSTAGEM,178.3,8.5,,,23.2
2016-10,9246.2,10.8,2.0,11.2,COMPOSTAGEM,161.8,8.5,,,20.0
2017-01,14740.2,211.6,2.0,25.6,COMPOSTAGEM,70.0,18.5,,,43.7
2017-04,12764.0,14.03,2.0,25.16,COMPOSTAGEM,179.9,8.5,,,12.1
2017-07,13862.0,182.0,2.0,36.4,COMPOSTAGEM,64.8,18.7,,,72.1
2017-10,13285.0,46.3,2.0,21.0,COMPOSTAGEM,176.0,8.5,,,62.3
2018-01,4387.876,24.96,263.795,8.0,COMPOSTAGEM,225.832,8.5,,,51.58
2018-04,7466.135,11.554,2.0,13.347,COMPOSTAGEM,184.861,8.5,,,23.77
2018-07,4692.582,17.057000000000002,2.0,8.0,COMPOSTAGEM,173.146,8.5,,,24.78
2018-10,4278.903,27.811,2.0,10.131,COMPOSTAGEM,200.238,8.5,,,31.05
2019-01,3875.636,15.252,2.0,8.0,COMPOSTAGEM,243.449,8.5,,,35.85
2019-04,8114.786,202.918,2.0,28.794,COMPOSTAGEM,58.755,8.56,,,24.05
2019-07,9582.837,37.346,,19.865,COMPOSTAGEM,242.352,8.5,,,11.07
2019-10,9743.689,29.515,69.45,15.728,COMPOSTAGEM,225.437,,,,10.69
