DATE,ALUMÍNIO,COBRE,COMPOSTOS,CROMO,ENTIDADE,MANGANÊS,NÍQUEL,PORCENTAGEM_SÓLIDOS,SÓLIDOS,UMIDADE
2013-02,16994.0,249.0,,0.1,LEITO_DE_SECAGEM,44.2,17.2,,,22.7
2013-05,2109.0,39.4,,9.44,LEITO_DE_SECAGEM,62.1,7.42,,,71.2
2013-08,8759.0,230.0,,35.8,LEITO_DE_SECAGEM,138.0,75.7,,,74.8
2013-11,1176.0,5104.0,,3.04,LEITO_DE_SECAGEM,4.91,22.4,,,76.3
2014-02,1945.0,32.1,,11.7,LEITO_DE_SECAGEM,16.0,5.04,,,63.8
2014-05,889.0,25.5,,5.74,LEITO_DE_SECAGEM,39.5,6.52,,,86.4
2014-08,224.0,2.18,,1.55,LEITO_DE_SECAGEM,1.45,0.9890000000000001,,,64.8
2014-11,1236.0,82.6,,8.68,LEITO_DE_SECAGEM,30.6,6.39,,,66.9
2015-01,6270.0,191.0,,16.0,LEITO_DE_SECAGEM,234.0,23.0,5.0,3.0,94.5
2015-04,5100.0,82.9,,18.8,LEITO_DE_SECAGEM,81.0,12.1,39.5,20.6,60.5
2015-07,4250.0,87.5,,17.5,LEITO_DE_SECAGEM,17.0,3.5,40.8,18.8,59.2
2015-10,5340.0,102.0,,31.7,LEITO_DE_SECAGEM,46.7,6.84,56.2,30.8,43.8
2016-01,14068.0,221.4,2.0,19.1,LEITO_DE_SECAGEM,165.8,27.1,,,67.0
2016-04,10555.3,184.5,2.0,30.0,LEITO_DE_SECAGEM,44.1,15.0,,,37.8
2016-07,22094.8,155.3,2.0,26.0,LEITO_DE_SECAGEM,167.9,21.2,,,50.2
2016-10,3534.7,10.81,2.0,9.88,LEITO_DE_SECAGEM,37.4,8.5,,,71.0
2017-01,12533.4,182.1,2.0,21.8,LEITO_DE_SECAGEM,48.7,13.2,,,59.7
2017-04,77.9,170.3,2.0,28.6,LEITO_DE_SECAGEM,209.5,27.1,,,62.6
2017-07,26438.0,160.0,99.04,37.9,LEITO_DE_SECAGEM,77.8,16.4,,,84.0
2017-10,16927.0,166.0,2.0,33.7,LEITO_DE_SECAGEM,39.1,16.6,,,78.2
2018-01,12458.167,227.092,40.8,23.108,LEITO_DE_SECAGEM,212.15099999999998,28.685,,,55.61
2018-04,16513.395,244.90200000000002,2.0,31.386999999999997,LEITO_DE_SECAGEM,116.553,19.792,,,73.55
2018-07,11547.431,193.47799999999998,2.0,25.099,LEITO_DE_SECAGEM,258.103,26.285,,,62.12
2018-10,9870.55,349.691,2.0,36.321,LEITO_DE_SECAGEM,546.754,41.731,,,37.64
2019-01,13544.628999999999,136.058,40.2,22.906999999999996,LEITO_DE_SECAGEM,109.795,14.020999999999999,,,24.74
2019-04,,,,,LEITO_DE_SECAGEM,,,,,
2019-07,,,,,LEITO_DE_SECAGEM,,,,,
2019-10,,,,,LEITO_DE_SECAGEM,,,,,
