DATE,ALUMÍNIO,ARSÊNIO,BORO,BÁRIO,CHUMBO,CIANETO,COBALTO,COBRE,COLIFORMES_TERMOTOLERANTES,COR_VERDADEIRA,CROMO,CROMO_HEXAVALENTE,CÁDMIO,DBO,DQO,ENTIDADE,ESTANHO,FENOL,FERRO,FLUORETO,FÓSFORO,LÍTIO,MANGANÊS,MERCÚRIO,MOLIBDÊNIO,NITROGÊNIO,NITROGÊNIO_AMONIACAL,NITROGÊNIO_KJELDAHL,NÍQUEL,PH,PRATA,SURFACTANTES,SÓLIDOS,ÍNDICE_DE_FENÓIS,ÓLEOS
2012-01,0.267,0.006999999999999999,,0.034,,,,,1986300.0,,185.0,,,,170.0,P1,480.0,,,,2.43,0.001,0.154,,0.002,,70.2,,0.03,,,,,,
2012-03,0.531,,,0.034,,,,0.024,1011200.0,,1050.0,0.001,,,280.0,P1,734.0,,0.019,0.041,2.11,0.003,0.125,0.043,0.006,,73.0,,0.003,,,,,,
2012-09,2.03,,1.2,0.07400000000000001,,,0.002,0.017,292400.0,,49.0,0.004,,,86.0,P1,237.0,,,,7.31,0.002,0.28600000000000003,,0.002,,22.6,,,,,,,,
2012-11,0.23,,0.093,0.027999999999999997,,,0.001,0.022,111990.0,,295.0,0.004,,,290.0,P1,750.0,,0.032,,2.22,,0.18100000000000002,,,,82.1,,0.003,,,,,,
2013-01,,,,,,,,,241960.0,330.0,,,,,40.3,P1,,,,,1.0,,,,,6.7,,,,6.1,,1.21,,,
2013-02,,,,,,,,,613100.0,140.0,,,,30.0,100.7,P1,,,,,1.7,,,,,24.425,,,,7.1,,0.7,21.9,,10.0
2013-03,,,,,,,,,2419600.0,,,,,116.0,242.8,P1,,,,,2.4,,,,,44.925,,,,7.4,,1.17,42.5,,19.4
2013-04,0.309,,0.309,0.478,,,,0.183,241960.0,1750.0,0.005,,0.01,148.0,326.75,P1,,0.002,2.71,6.2,,0.002,0.15,,,30.399999999999995,35.5,57.1,0.45,7.2,,,44.1,,
2013-05,0.347,0.002,0.063,0.042,,0.011,0.002,0.017,1516380.0,10540.0,0.004,,,102.8,214.44,P1,,0.0125,2.73,0.264,4.0600000000000005,0.002,0.1375,,,53.65,31.4,46.35,0.006,6.9,,1.8,133.3,,19.1
2013-06,,,,,,,,,2419600.0,180.5,,,,132.0,249.3,P1,,,,,5.9,,,,,52.724999999999994,,,,7.1,,4.1,231.5,,46.3
2013-07,1.62,0.002,,0.11599999999999999,0.012,,0.002,0.049,2419600.0,407.5,0.009000000000000001,,,195.0,443.25,P1,,,7.13,,3.09,0.001,0.233,,0.002,36.925000000000004,40.9,62.2,0.012,6.9,,2.1,85.5,,21.1
2013-08,,,,,,,,,2419600.0,189.55,,,,156.0,371.2,P1,,,,,1.7,,,,,20.575,,,,7.1,,1.2,60.5,,26.6
2013-09,,,,,,,,,2419600.0,180.95,,,,260.0,406.4,P1,,,,,2.7,,,,,25.725,,,,7.0,,1.3,48.5,,28.4
2013-10,,,,,,,,,2419600.0,163.0,,,,444.5,188.0,P1,,,,,3.1,,,,,40.0,,,,6.9,,1.9,89.3,,28.3
2013-11,,,,,,,,,241960.0,437.5,,,,,,P1,,,,,,,,,,,,,,,,,,,
2013-12,,,,,,,,,24196000.0,295.975,,,,172.0,207.4,P1,,,,,3.7,,,,,31.2,,,,6.8,,0.95,114.3,,27.2
2014-01,,,,,,,,,24196000.0,140.0,,,,168.0,360.7,P1,,,,,2.2,,,,,25.0,,,,6.8,,1.32,34.0,,23.4
2014-02,,,,,,,,,613100.0,120.0,,,,78.0,371.9,P1,,,,,0.66,,,,,25.299999999999997,,,,6.9,,0.8,37.2,,19.9
2014-03,1.09,0.003,,0.085,0.0026,,0.001,0.028,1553100.0,677.0,0.002,,0.0002,164.0,400.8,P1,,0.483,4.58,0.396,6.04,0.002,0.226,0.0002,0.003,38.025000000000006,52.6,78.3,0.005,6.8,,1.1,121.5,,35.4
2014-04,,,,,,,,,24196000.0,100.0,,,,156.0,260.4,P1,,,,,2.9,,,,,40.6,,,,7.2,,0.65,210.3,,73.6
2014-05,1.36,0.031,0.058,0.053,,,0.001,0.014,227516.66666666666,100.0,,,,292.0,312.56666666666666,P1,,0.022,4.74,0.404,4.04,0.003,0.3,,,51.825,18.6,32.1,0.003,6.9,,0.98,202.5,,66.8
2014-06,0.25766666666666665,0.002,0.187,0.043333333333333335,0.002,0.008666666666666668,0.002,0.125,2931275.0,,0.014,,,109.55,280.925,P1,,0.08433333333333333,2.986666666666667,0.7879999999999999,4.285,0.018000000000000002,0.16100000000000003,,0.011333333333333334,36.675,53.36666666666667,58.76666666666667,0.017,7.2,0.003,,166.3,,42.9
2014-07,,,,,,,,,14136000.0,,,,,,,P1,,,,,,,,,,,,,,,,1.27,,,
2014-08,,,,,,,,,,,,,,102.0,128.1,P1,,,,,2.2,,,,,42.625,,,,6.8,,0.73,74.5,,23.7
2014-09,,,,,,,,,2419600.0,,,,,160.0,342.0,P1,,,,,3.5,,,,,26.4,,,,7.0,,0.21,123.3,,27.1
2014-10,,,,,,,,,24196000.0,,,,,290.0,495.0,P1,,,,,4.7,,,,,49.300000000000004,,,,6.4,,1.29,131.5,,46.8
2014-11,,,,,,,,,19863000.0,,,,,104.0,222.5,P1,,,,,2.6,,,,,31.166666666666668,,,,7.0,,1.48,70.7,,16.4
2014-12,,,,,,,,,15531000.0,,,,,110.0,197.1,P1,,,,,6.2,,,,,15.566666666666668,,,,7.3,,1.22,101.0,,28.7
2015-01,0.36,0.01,0.06,0.08,0.01,0.05,0.01,0.005,24196000.0,150.0,0.01,0.01,0.001,66.0,181.1,P1,0.01,,5.8,0.4,1.9,0.01,0.35000000000000003,0.05,0.01,10.98,7.7,13.0,0.01,6.7,10.0,0.91,42.4,0.045,11.8
2015-02,,,,,,,,,111990.0,150.0,,,,48.0,274.5,P1,,,,,3.3,,,,,11.95,,,,7.1,,1.04,83.5,,27.3
2015-03,,,,,,,,,12997000.0,35.0,,,,147.0,339.4,P1,,,,,10.6,,,,,17.7,,,,6.9,,0.67,108.5,,36.3
2015-04,0.24,0.01,0.02,0.03,0.01,0.05,0.01,0.015,1986300.0,150.0,0.01,0.01,0.001,262.0,354.7,P1,0.01,,2.21,1.28,4.1,0.01,0.12,0.075,0.01,22.150000000000002,25.8,32.0,0.01,6.7,10.0,0.82,89.5,0.02,35.0
2015-05,,,,,,,,,111990.0,150.0,,,,280.0,470.6,P1,,,,,6.9,,,,,18.85,,,,7.1,,1.02,157.0,,45.2
2015-06,,,,,,,,,12997000.0,100.0,,,,331.0,425.9,P1,,,,,4.7,,,,,31.925000000000004,,,,6.9,,1.12,101.0,,25.5
2015-07,0.38,0.01,0.05,0.05,0.01,0.05,0.01,0.005,920800.0,90.0,0.01,0.01,0.001,126.0,260.5,P1,0.01,,4.71,0.27,6.785,0.01,0.23,0.075,0.01,15.299999999999999,24.0,24.3,0.01,7.0,10.0,1.45,949.0,0.02,311.9
2015-08,,,,,,,,,3255000.0,150.0,,,,131.0,156.8,P1,,,,,6.5,,,,,41.7,,,,7.0,,1.3,61.7,,27.6
2015-09,,,,,,,,,6488000.0,120.0,,,,224.0,311.4,P1,,,,,7.3,,,,,35.6,,,,6.7,,0.84,191.0,,57.5
2015-10,2.57,0.01,0.05,0.09,0.01,5e-05,0.01,0.055,12033000.0,150.0,0.01,0.001,0.001,335.5,677.65,P1,0.01,,6.67,0.3,3.725,0.01,0.18,0.075,0.01,27.04,28.9,33.6,0.01,6.7,10.0,0.15,51.7,0.02,19.1
2015-11,,,,,,,,,10462000.0,70.0,,,,151.0,196.9,P1,,,,,5.7,,,,,39.375,,,,6.6,,0.52,184.7,,52.9
2015-12,,,,,,,,,241900000.0,90.0,,,,204.0,290.4,P1,,,,,7.4,,,,,43.76666666666667,,,,7.0,,1.45,99.5,,18.6
2016-01,1.18,0.01,0.05,0.05,0.006,0.005,0.01,0.035,130000.0,100.0,0.009000000000000001,0.0005,0.004,126.5,267.4,P1,0.05,0.003,2.84,0.523,4.855,0.09,0.11800000000000001,0.0001,0.01,36.55,10.0,15.0,0.01,6.4,,0.64,130.2,,106.2
2016-02,,,,,,,,,170000.0,100.0,,,,82.0,64.4,P1,,,,,3.2,,,,,29.35,,,,6.8,,0.38,47.5,,12.4
2016-03,,,,,,,,,230000.0,70.0,,,,270.0,504.9,P1,,,,,9.8,,,,,55.75999999999999,,,,6.9,,0.7,69.8,,20.6
