DATE,COLIFORMES_TERMOTOLERANTES,COR_VERDADEIRA,DBO,DQO,ENTIDADE,PH,SÓLIDOS,ÓLEOS
2013-01,23590.0,56.0,,18.0,P3,6.9,,
2013-02,6200.0,,3.6,20.8,P3,7.1,10.1,14.0
2013-03,2650.0,,11.2,26.3,P3,8.1,11.4,12.2
2013-04,2160.0,104.0,5.2,20.3,P3,7.4,6.5,
2013-05,141360.0,189.0,13.2,55.3,P3,7.3,12.6,18.2
2013-06,13400.0,99.0,5.6,32.1,P3,7.3,15.5,10.0
2013-07,129970.0,41.5,7.6,11.1,P3,7.3,8.5,10.0
2013-08,9800.0,43.43,7.2,26.1,P3,7.3,15.7,12.8
2013-09,141360.0,88.475,14.0,31.0,P3,7.3,8.5,13.9
2013-10,141360.0,47.51,31.0,15.2,P3,7.1,15.1,19.9
2013-11,57940.0,36.629999999999995,,,P3,,,
2013-12,118700.0,103.525,8.4,31.5,P3,7.0,25.8,18.2
2014-01,118700.0,60.0,12.4,16.9,P3,7.0,36.4,23.8
2014-02,648800.0,20.0,6.4,32.9,P3,7.0,7.4,18.3
2014-03,870400.0,20.0,3.6,19.9,P3,7.0,9.8,15.7
2014-04,2000.0,30.0,19.0,33.4,P3,7.3,6.7,15.4
2014-05,41060.0,50.0,10.4,21.1,P3,7.2,9.4,17.8
2014-06,3310.0,,9.2,26.7,P3,7.3,14.6,16.8
2014-07,7701000.0,,,,P3,,,
2014-08,5200.0,,18.8,23.4,P3,7.1,5.9,15.0
2014-09,3050.0,,11.8,40.4,P3,7.1,6.9,30.1
2014-10,12200.0,,16.0,28.3,P3,7.0,9.4,17.4
2014-11,105000.0,,7.0,21.3,P3,6.9,8.7,10.0
2014-12,5200.0,,19.0,98.6,P3,6.8,11.7,13.1
2015-01,63000.0,30.0,6.8,18.3,P3,6.5,2.2,51.6
2015-02,1220.0,30.0,4.6,13.9,P3,7.1,6.7,10.2
2015-03,42500.0,30.0,,16.8,P3,6.7,10.9,7.5
2015-04,81600.0,40.0,4.4,5.3,P3,7.3,5.0,10.0
2015-05,11620.0,40.0,6.8,29.3,P3,7.2,7.0,10.0
2015-06,30900.0,45.0,17.0,32.9,P3,7.2,10.0,10.0
2015-07,272300.0,35.0,8.1,24.3,P3,7.2,64.9,16.2
2015-08,133300.0,15.0,9.0,21.6,P3,7.1,10.5,12.3
2015-09,77600.0,30.0,8.6,17.4,P3,7.1,8.4,10.0
2015-10,47300.0,20.0,7.6,23.4,P3,7.0,8.3,8.3
2015-11,261300.0,50.0,6.6,14.2,P3,6.9,7.9,10.0
2015-12,16200000.0,40.0,12.0,18.1,P3,7.0,3.2,10.0
2016-01,230.0,40.0,5.6,17.4,P3,7.0,2.7,21.2
2016-02,130.0,30.0,5.8,34.2,P3,7.0,7.0,13.7
2016-03,78.0,40.0,9.5,31.3,P3,7.3,9.8,10.6
2016-04,1.8,30.0,9.8,19.7,P3,6.9,12.5,11.5
2016-05,68.0,30.0,10.6,13.2,P3,7.3,6.3,10.0
2016-06,3500.0,50.0,16.4,66.1,P3,7.3,8.4,12.6
2016-07,130.0,50.0,15.6,47.8,P3,7.3,18.4,10.0
2016-08,170.0,70.0,6.8,12.6,P3,7.1,4.4,10.0
2016-09,130.0,50.0,8.0,22.2,P3,7.2,7.5,20.0
2016-10,790.0,150.0,5.2,53.3,P3,7.2,6.4,14.4
2016-11,270.0,50.0,27.2,84.0,P3,7.2,2.3,18.7
2016-12,340.0,70.0,8.0,5.0,P3,7.1,3.6,17.2
2017-01,45.0,20.0,10.0,32.1,P3,6.9,10.9,10.2
2017-02,490.0,20.0,8.0,61.5,P3,7.1,2.5,17.8
2017-03,790.0,30.0,9.2,39.4,P3,7.4,7.8,10.0
2017-04,700.0,40.0,6.4,25.0,P3,7.35,7.3,14.8
2017-05,1300.0,40.0,10.4,27.8,P3,7.0,12.0,12.0
2017-06,9200.0,50.0,5.2,6.5,P3,7.3,9.9,16.1
2017-07,5400.0,30.0,12.0,42.1,P3,7.3,6.2,13.3
2017-08,3500.0,50.0,9.2,31.4,P3,7.1,62.2,10.0
2017-09,2800.0,40.0,31.0,216.1,P3,7.3,36.1,10.0
2017-10,22000.0,20.0,7.6,35.2,P3,7.2,20.6,10.0
2017-11,17000.0,30.0,6.4,74.7,P3,6.9,198.5,19.4
2017-12,2800.0,35.0,7.2,22.2,P3,6.9,7.3,10.0
2018-01,11000.0,20.0,6.4,67.0,P3,6.9,7.9,22.3
2018-02,45.0,5.0,4.2,18.6,P3,6.8,0.9,10.0
2018-03,140000.0,20.0,6.0,20.4,P3,7.4,6.3,17.2
2018-04,330.0,30.0,4.4,15.6,P3,7.4,5.8,10.0
2018-05,490.0,10.0,7.7,19.3,P3,7.5,4.2,10.0
2018-06,9200000.0,50.0,11.2,19.0,P3,7.9,115.7,10.0
2018-07,68.0,20.0,8.0,25.0,P3,7.2,16.5,10.0
2018-08,45.0,20.0,5.4,17.2,P3,7.0,5.5,10.0
2018-09,110.0,5.0,9.4,24.2,P3,7.2,10.3,14.1
2018-10,1.8,20.0,7.6,27.9,P3,7.2,19.5,21.3
2018-11,20.0,20.0,11.6,36.5,P3,7.5,7.2,15.9
2018-12,490.0,30.0,7.6,48.1,P3,6.1,56.5,10.0
2019-01,16000.0,10.0,9.8,24.4,P3,23.8,5.3,23.8
2019-02,7090.0,,8.6,21.7,P3,7.1,12.3,10.0
2019-03,200.0,10.0,4.0,34.2,P3,7.1,3.6,10.0
2019-04,450.0,50.0,8.0,53.3,P3,,,14.0
2019-05,110.0,35.0,1.2,14.8,P3,7.4,6.7,13.2
2019-06,68.0,19.0,23.0,23.2,P3,7.2,1.4,16.0
2019-07,19.0,19.0,11.2,12.4,P3,6.6,22.7,10.3
2019-08,93.0,20.0,7.1,12.1,P3,7.2,10.6,10.0
2019-09,110.0,30.0,6.0,20.9,P3,7.2,2.6,10.7
2019-10,33.0,20.0,10.0,33.6,P3,7.0,5.1,10.0
2019-11,490.0,20.0,6.1,25.1,P3,7.0,4.6,16.3
2019-12,490.0,31.1,1.2,26.7,P3,7.0,4.2,11.8
