DATE,COLIFORMES_TERMOTOLERANTES,DBO,DQO,ENTIDADE,PH,SÓLIDOS,ÓLEOS
2013-01,198630.0,,78.4,P4,6.4,,
2013-02,214300.0,16.0,40.3,P4,7.0,11.5,10.0
2013-03,241960.0,236.0,333.7,P4,8.8,35.1,14.8
2013-04,241960.0,160.0,230.1,P4,7.4,107.0,
2013-05,241960.0,136.0,470.4,P4,7.0,69.8,34.5
2013-06,2419600.0,216.0,312.4,P4,7.0,95.8,22.8
2013-07,648800.0,172.0,168.5,P4,7.2,70.0,30.1
2013-08,3100.0,164.0,185.6,P4,7.3,27.9,21.3
2013-09,1553100.0,76.0,82.5,P4,7.0,51.3,21.9
2013-10,1553100.0,193.0,96.0,P4,7.0,49.0,31.7
2013-11,241960.0,,,P4,,,
2013-12,4352000.0,130.0,248.4,P4,7.0,57.4,43.7
2014-01,4352000.0,160.0,205.2,P4,7.2,14.4,10.1
2014-02,241960.0,42.0,163.4,P4,7.1,35.2,27.3
2014-03,177000.0,92.0,190.1,P4,7.4,38.0,22.1
2014-04,4106000.0,60.0,206.6,P4,7.6,89.0,30.3
2014-05,2419600.0,74.0,141.9,P4,7.3,110.8,27.1
2014-06,2419600.0,132.0,223.6,P4,7.2,49.7,19.1
2014-07,2489000.0,,,P4,,,
2014-08,14136000.0,76.0,59.0,P4,7.4,19.8,15.7
2014-09,2419600.0,76.0,179.2,P4,7.0,27.0,10.6
2014-10,1203300.0,52.0,83.2,P4,6.9,17.7,10.0
2014-11,762000.0,22.0,31.8,P4,6.7,21.9,10.0
2014-12,3654000.0,83.0,287.1,P4,7.1,35.2,14.9
2015-01,3654000.0,15.0,81.9,P4,6.7,17.5,10.0
2015-02,111990.0,48.0,175.7,P4,7.0,79.0,29.2
2015-03,1119900.0,,94.5,P4,6.9,36.3,19.1
2015-04,1119900.0,97.0,211.2,P4,7.1,24.5,12.4
2015-05,198630.0,148.0,222.6,P4,7.3,41.9,13.6
2015-06,1106000.0,128.0,213.0,P4,7.1,35.4,18.9
2015-07,547500.0,83.0,44.8,P4,7.2,53.9,21.3
2015-08,307600.0,50.0,44.1,P4,6.8,26.5,13.0
2015-09,435200.0,104.0,68.7,P4,7.1,107.5,54.2
2015-10,11000.0,11.0,22.0,P4,7.0,28.6,28.6
2015-11,60200.0,70.0,141.1,P4,7.1,134.5,36.5
2015-12,14200000.0,188.0,199.9,P4,7.0,104.0,19.8
2016-01,49000.0,88.0,188.0,P4,6.8,19.0,10.0
2016-02,33000.0,20.0,36.4,P4,6.6,24.8,10.0
2016-03,350000.0,120.0,183.6,P4,7.2,55.5,21.6
2016-04,130000.0,170.0,429.3,P4,6.9,35.3,12.9
2016-05,49000.0,136.0,273.5,P4,7.2,71.0,25.9
2016-06,33000.0,196.0,615.1,P4,7.4,236.0,77.3
2016-07,23000.0,106.0,373.5,P4,7.3,20.5,10.8
2016-08,34000.0,184.0,200.8,P4,7.3,54.0,10.0
2016-09,13000.0,170.0,410.6,P4,7.3,77.5,23.5
2016-10,1700.0,110.0,391.8,P4,7.1,123.0,23.9
2016-11,1300.0,550.0,728.6,P4,7.5,121.5,31.1
2016-12,1100.0,100.0,126.4,P4,7.4,92.5,15.7
2017-01,240000.0,96.0,325.5,P4,7.2,19.8,10.0
2017-02,240000.0,80.0,5.0,P4,7.7,23.5,19.2
2017-03,280000.0,228.0,440.3,P4,7.4,53.6,14.2
2017-04,350000.0,64.0,380.0,P4,7.65,240.0,165.8
2017-05,540000.0,580.0,1720.4,P4,7.3,272.5,272.5
2017-06,7800.0,68.0,310.0,P4,7.2,40.9,20.8
2017-07,14000.0,240.0,544.9,P4,7.5,312.0,145.7
2017-08,1700.0,330.0,669.2,P4,7.5,98.5,49.5
2017-09,1400.0,180.0,506.0,P4,7.4,122.3,59.1
2017-10,1700.0,188.0,545.6,P4,7.7,91.5,10.3
2017-11,1300.0,65.0,184.3,P4,6.7,13.6,28.9
2017-12,1400.0,100.0,234.3,P4,7.0,32.3,19.6
2018-01,920000.0,4.0,50.1,P4,6.7,8.2,19.3
2018-02,1600000.0,13.0,105.0,P4,7.3,15.8,10.0
2018-03,170000.0,277.0,341.1,P4,7.8,106.7,75.8
2018-04,9200000.0,132.0,328.0,P4,7.6,98.9,14.6
2018-05,230000.0,340.0,726.8,P4,7.6,108.3,21.4
2018-06,1300.0,79.0,63.3,P4,7.6,41.8,14.8
2018-07,790000.0,196.0,372.3,P4,7.1,44.6,10.6
2018-08,490000.0,78.0,35.4,P4,7.0,38.5,14.1
2018-09,490000.0,62.0,261.0,P4,6.8,80.0,19.9
2018-10,490000.0,22.0,34.9,P4,6.8,17.4,11.4
2018-11,330000.0,100.0,343.2,P4,7.7,217.0,84.3
2018-12,490000.0,156.0,259.2,P4,4.4,116.0,27.2
2019-01,2300000.0,42.0,138.0,P4,27.8,108.5,27.8
2019-02,50400000.0,45.0,160.8,P4,7.3,119.1,11.9
2019-03,540000.0,200.0,362.6,P4,7.7,135.3,19.5
2019-04,350000.0,300.0,602.0,P4,,,17.0
2019-05,9200000.0,40.0,147.9,P4,7.6,14.4,14.8
2019-06,35.0,64.0,157.7,P4,7.0,48.5,25.1
2019-07,35000000.0,216.0,333.0,P4,7.1,195.5,20.6
2019-08,78000.0,228.0,319.4,P4,7.5,53.5,20.6
2019-09,35000000.0,236.0,337.4,P4,7.5,214.5,74.8
2019-10,3500000.0,420.0,931.8,P4,7.2,66.5,23.0
2019-11,490000.0,75.0,173.3,P4,7.4,38.0,14.4
2019-12,490000.0,184.0,442.8,P4,7.3,89.5,31.4
