DATE,ALUMÍNIO,ARSÊNIO,BORO,BÁRIO,CHUMBO,CIANETO,COBALTO,COBRE,CROMO,CROMO_HEXAVALENTE,CÁDMIO,DBO,DQO,ENTIDADE,ESTANHO,FENOL,FERRO,FLUORETO,FÓSFORO,LÍTIO,MANGANÊS,MERCÚRIO,MOLIBDÊNIO,NITROGÊNIO,NÍQUEL,PRATA,SURFACTANTES,SÓLIDOS,ÍNDICE_DE_FENÓIS,ÓLEOS
2013-01,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2013-02,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2013-03,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2013-04,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,11.8,,
2013-05,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2013-06,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2013-07,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2013-08,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2013-09,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2013-10,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2013-11,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2013-12,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2014-01,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2014-02,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2014-03,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2014-04,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2014-05,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2014-06,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2014-07,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2014-08,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2014-09,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2014-10,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2014-11,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2014-12,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2015-01,4.98,10.0,37.2,104.0,10.0,50.0,10.0,50.0,10.0,0.01,1.0,62.7,204.8,P7,10.0,,223.0,1.47,6.6,10.0,67.6,0.075,10.0,31.9,10.0,10.0,0.47,10.9,0.02,24.3
2015-02,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2015-03,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2015-04,0.87,10.0,92.0,55.0,10.0,50.0,10.0,45.0,10.0,0.01,1.0,13.5,48.5,P7,10.0,,896.0,3.71,1.2,10.0,83.9,0.075,10.0,15.4,10.0,10.0,0.64,4.2,0.02,10.0
2015-05,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2015-06,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2015-07,5.76,10.0,77.3,61.0,10.0,50.0,10.0,39.5,10.0,0.01,1.0,,70.8,P7,10.0,,2430.0,8.69,5.4,10.0,76.5,0.08,10.0,9.1,10.0,10.0,0.2,112.2,0.02,13.0
2015-08,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2015-09,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2015-10,0.405,0.01,0.0142,0.0194,0.01,0.05,0.01,0.005,0.01,0.01,0.001,10.3,12.8,P7,0.01,,0.41700000000000004,0.15,0.42,0.01,0.0173,8e-05,0.01,1.3,0.01,0.01,0.1,11.5,0.02,11.5
2015-11,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2015-12,,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,
2016-01,0.624,0.01,0.05,0.036000000000000004,0.006,0.005,0.01,0.04,0.009000000000000001,0.0005,0.004,2.0,21.2,P7,0.05,0.003,0.856,0.92,4.5,0.09,0.03,0.0001,0.01,1.18,0.016,0.01,0.1,10.3,,10.0
