DATE,DBO,DQO,ENTIDADE,PH,ÓLEOS
2013-01,,38.2,PB,6.5,
2013-02,19.0,39.9,PB,6.8,10.0
2013-03,59.0,99.6,PB,7.8,10.0
2013-04,39.0,89.9,PB,7.4,
2013-05,82.0,134.8,PB,7.2,27.1
2013-06,57.0,120.9,PB,7.2,12.7
2013-07,43.0,40.7,PB,7.1,12.5
2013-08,75.0,88.1,PB,7.2,19.5
2013-09,42.0,71.1,PB,7.3,14.9
2013-10,75.2,29.0,PB,7.4,21.0
2013-11,,,PB,,
2013-12,20.0,53.1,PB,7.5,16.8
2014-01,33.0,42.1,PB,7.3,14.6
2014-02,25.0,81.7,PB,7.3,19.1
2014-03,17.0,31.1,PB,7.4,11.8
2014-04,33.0,52.1,PB,7.5,13.7
2014-05,38.0,75.7,PB,7.6,10.0
2014-06,53.0,86.0,PB,7.5,12.8
2014-07,,,PB,,
2014-08,56.0,59.9,PB,7.5,21.8
2014-09,33.0,55.2,PB,7.4,10.0
2014-10,42.0,93.2,PB,7.4,10.0
2014-11,22.5,66.3,PB,7.2,10.0
2014-12,32.0,60.5,PB,7.2,11.0
2015-01,2.5,32.8,PB,7.1,12.8
2015-02,10.0,38.8,PB,7.4,10.0
2015-03,,,PB,,
2015-04,,43.2,PB,,
2015-05,60.0,88.0,PB,7.4,10.0
2015-06,,85.2,PB,,
2015-07,,28.3,PB,,
2015-08,39.0,36.8,PB,7.4,10.0
2015-09,44.0,45.8,PB,7.3,12.6
2015-10,,,PB,,
2015-11,22.0,39.4,PB,7.4,10.0
2015-12,36.0,49.5,PB,7.2,0.0
2016-01,15.0,32.9,PB,7.4,10.6
2016-02,11.8,37.5,PB,7.2,10.0
2016-03,33.0,54.0,PB,7.4,10.0
2016-04,17.6,21.3,PB,7.2,10.0
2016-05,,,PB,,
2016-06,51.0,134.0,PB,7.4,10.2
2016-07,49.0,76.2,PB,7.1,10.2
2016-08,42.0,224.9,PB,7.0,10.0
2016-09,36.0,54.8,PB,7.1,19.4
2016-10,53.0,136.9,PB,7.4,17.2
2016-11,37.0,65.8,PB,7.2,22.4
2016-12,41.0,33.1,PB,6.9,19.5
2017-01,19.0,50.3,PB,7.1,32.0
2017-02,23.0,31.0,PB,7.1,10.0
2017-03,14.0,53.9,PB,7.2,
2017-04,62.0,102.0,PB,7.3,10.0
2017-05,,,PB,,
2017-06,46.0,65.0,PB,7.2,22.3
2017-07,49.0,130.0,PB,7.0,22.2
2017-08,,,PB,,
2017-09,53.0,253.0,PB,7.3,10.0
2017-10,59.0,38.7,PB,7.4,18.2
2017-11,27.0,79.7,PB,7.1,12.7
2017-12,,,PB,,
2018-01,12.7,24.2,PB,6.9,13.9
2018-02,20.0,31.9,PB,7.1,10.0
2018-03,,,PB,,
2018-04,,,PB,,
2018-05,,,PB,,
2018-06,,,PB,,
2018-07,62.0,86.3,PB,6.9,16.1
2018-08,,,PB,,22.4
2018-09,50.0,126.8,PB,7.1,26.4
2018-10,25.0,25.3,PB,7.0,12.9
2018-11,53.0,63.4,PB,7.4,10.0
2018-12,31.0,46.8,PB,6.3,17.0
2019-01,,,PB,,
2019-02,,,PB,,
2019-03,,,PB,,
2019-04,,,PB,,
2019-05,,,PB,,
2019-06,,,PB,,
2019-07,,,PB,,
2019-08,,,PB,,
2019-09,,,PB,,
2019-10,,,PB,,
2019-11,43.0,43.8,PB,6.8,12.5
2019-12,54.0,95.1,PB,6.7,12.9
