DATE,DBO,DQO,ENTIDADE,PH,SÓLIDOS,ÓLEOS
2013-01,,17.8,PC,6.7,,
2013-02,15.0,89.5,PC,6.2,23.1,10.0
2013-03,45.0,46.1,PC,7.7,19.7,10.0
2013-04,32.0,51.8,PC,6.4,,
2013-05,54.0,100.4,PC,6.8,31.6,14.7
2013-06,24.0,99.5,PC,6.9,24.8,10.0
2013-07,31.0,26.8,PC,7.5,27.2,14.5
2013-08,74.0,77.8,PC,7.5,9.3,20.9
2013-09,41.0,41.7,PC,7.6,4.3,22.8
2013-10,30.5,39.0,PC,7.7,15.8,13.5
2013-11,,,PC,,,
2013-12,37.0,28.4,PC,7.6,3.3,21.3
2014-01,19.0,30.2,PC,7.5,12.7,28.1
2014-02,20.0,55.9,PC,7.3,16.2,19.3
2014-03,8.0,32.0,PC,7.1,12.9,21.3
2014-04,19.0,27.8,PC,7.4,5.7,10.0
2014-05,26.5,31.0,PC,7.9,8.1,11.3
2014-06,44.0,49.0,PC,7.8,8.0,10.5
2014-07,,,PC,,,
2014-08,29.0,44.3,PC,8.1,20.6,10.0
2014-09,33.0,30.5,PC,7.7,6.1,10.0
2014-10,57.0,57.4,PC,7.6,8.0,10.0
2014-11,20.0,32.7,PC,7.4,6.9,10.0
2014-12,18.5,56.6,PC,7.3,7.6,10.0
2015-01,14.5,29.6,PC,7.2,7.3,10.7
2015-02,6.0,28.5,PC,7.4,5.3,10.0
2015-03,,,PC,,,
2015-04,,,PC,,,
2015-05,76.0,48.6,PC,7.3,20.2,11.7
2015-06,,,PC,,,
2015-07,,,PC,,,
2015-08,8.5,35.3,PC,8.1,7.3,10.0
2015-09,39.0,59.5,PC,7.6,5.2,13.0
2015-10,,,PC,,,
2015-11,16.0,29.3,PC,7.8,4.3,10.0
2015-12,16.0,21.9,PC,6.0,4.3,0.0
2016-01,13.5,16.0,PC,7.7,3.9,10.9
2016-02,9.9,11.2,PC,7.7,4.3,10.0
2016-03,12.0,25.9,PC,7.6,1.9,10.0
2016-04,7.1,3.8,PC,7.3,6.3,10.0
2016-05,,,PC,,,
2016-06,17.6,124.8,PC,8.4,8.8,10.0
2016-07,40.0,70.7,PC,7.5,19.7,10.0
2016-08,52.0,96.4,PC,6.7,20.8,10.0
2016-09,50.0,196.4,PC,6.8,34.0,10.3
2016-10,23.0,110.4,PC,7.6,55.8,20.5
2016-11,27.0,36.4,PC,7.3,46.8,11.2
2016-12,63.0,76.7,PC,6.3,22.1,15.6
2017-01,33.0,77.3,PC,6.9,14.5,29.8
2017-02,4.0,24.9,PC,6.0,10.9,10.0
2017-03,23.0,46.6,PC,7.3,,
2017-04,45.0,99.0,PC,7.6,22.0,10.0
2017-05,,,PC,,,
2017-06,24.0,28.0,PC,7.6,14.5,16.9
2017-07,80.0,296.4,PC,5.7,6.2,26.8
2017-08,,,PC,,,
2017-09,47.0,237.8,PC,7.9,88.4,26.4
2017-10,38.0,79.4,PC,7.9,23.0,16.4
2017-11,27.0,37.8,PC,7.4,25.9,12.5
2017-12,,,PC,,,
2018-01,7.8,28.5,PC,6.3,9.4,12.3
2018-02,31.0,30.7,PC,6.6,13.7,10.0
2018-03,,,PC,,,
2018-04,,,PC,,,
2018-05,,,PC,,,
2018-06,,,PC,,,
2018-07,30.0,55.4,PC,8.0,25.4,10.8
2018-08,,,PC,,18.8,15.5
2018-09,52.0,73.6,PC,8.3,30.1,21.5
2018-10,10.0,17.4,PC,7.2,14.3,11.9
2018-11,67.0,86.2,PC,8.11,19.3,10.0
2018-12,26.0,20.9,PC,6.3,3.0,15.1
2019-01,,,PC,,,
2019-02,,,PC,,,
2019-03,,,PC,,,
2019-04,,,PC,,,
2019-05,,,PC,,,
2019-06,,,PC,,,
2019-07,,,PC,,,
2019-08,,,PC,,,
2019-09,,,PC,,,
2019-10,,,PC,,,
2019-11,20.0,26.9,PC,7.2,11.8,10.0
2019-12,15.0,58.2,PC,7.1,10.7,11.4
