DATE,DBO,DQO,ENTIDADE,PH,SÓLIDOS,ÓLEOS
2013-01,,16.5,PD,6.8,,
2013-02,10.0,19.5,PD,6.6,11.2,10.0
2013-03,22.0,40.0,PD,7.9,14.8,10.0
2013-04,9.0,38.1,PD,7.4,,
2013-05,22.0,64.1,PD,7.0,11.4,15.9
2013-06,17.0,50.9,PD,7.2,10.8,10.0
2013-07,24.0,49.2,PD,7.5,20.5,13.1
2013-08,63.0,77.8,PD,7.5,11.7,19.8
2013-09,31.0,32.5,PD,7.6,4.5,15.9
2013-10,28.4,26.0,PD,7.8,13.4,11.1
2013-11,,,PD,,,
2013-12,28.0,26.5,PD,7.7,1.0,17.5
2014-01,24.0,29.3,PD,7.6,11.5,22.1
2014-02,19.0,56.8,PD,7.4,9.3,17.4
2014-03,7.0,19.0,PD,7.2,6.5,18.7
2014-04,50.0,21.7,PD,7.5,2.6,11.3
2014-05,15.0,39.6,PD,7.8,4.9,14.0
2014-06,36.0,55.0,PD,7.8,6.0,10.0
2014-07,,,PD,,,
2014-08,32.5,49.2,PD,8.1,11.9,12.8
2014-09,35.0,59.3,PD,7.7,2.9,10.0
2014-10,43.0,34.9,PD,7.6,3.9,10.0
2014-11,8.0,34.5,PD,7.5,10.6,10.0
2014-12,12.0,69.8,PD,7.3,5.3,21.6
2015-01,26.0,21.8,PD,7.3,4.8,22.5
2015-02,6.0,17.6,PD,7.5,4.4,10.0
2015-03,,,PD,,,
2015-04,,,PD,,,
2015-05,28.0,52.6,PD,7.5,2.2,10.8
2015-06,,,PD,,,
2015-07,,,PD,,,
2015-08,15.0,14.7,PD,7.9,3.8,14.3
2015-09,31.0,33.0,PD,7.6,5.4,15.4
2015-10,,,PD,,,
2015-11,24.5,35.7,PD,7.8,3.8,17.0
2015-12,7.5,11.4,PD,7.4,5.4,0.0
2016-01,8.5,19.7,PD,7.8,3.9,12.8
2016-02,9.1,9.0,PD,7.7,4.3,10.0
2016-03,11.0,45.6,PD,7.7,0.6,10.0
2016-04,6.3,1.6,PD,7.3,5.6,10.0
2016-05,,,PD,,,
2016-06,15.6,134.0,PD,8.4,11.4,10.0
2016-07,23.3,56.8,PD,7.4,14.4,10.0
2016-08,41.0,66.3,PD,6.7,5.5,10.0
2016-09,20.0,91.6,PD,7.4,14.6,16.8
2016-10,13.0,103.8,PD,7.5,4.5,10.0
2016-11,14.0,18.2,PD,7.3,10.8,13.4
2016-12,27.0,36.6,PD,6.2,8.1,21.4
2017-01,13.0,29.5,PD,7.2,5.4,26.7
2017-02,8.0,61.5,PD,7.4,2.4,19.4
2017-03,18.0,48.7,PD,7.5,,
2017-04,16.0,43.5,PD,7.3,8.9,11.1
2017-05,,,PD,,,
2017-06,23.0,26.0,PD,7.7,10.6,20.7
2017-07,35.0,72.7,PD,7.6,62.5,17.2
2017-08,,,PD,,,
2017-09,31.5,93.1,PD,7.9,58.0,25.5
2017-10,35.0,44.6,PD,7.9,28.4,13.1
2017-11,21.0,34.9,PD,7.5,7.0,12.9
2017-12,,,PD,,,
2018-01,9.2,26.4,PD,6.4,8.2,15.6
2018-02,21.0,25.5,PD,6.7,12.8,10.0
2018-03,,,PD,,,
2018-04,,,PD,,,
2018-05,,,PD,,,
2018-06,,,PD,,,
2018-07,23.0,48.6,PD,7.9,17.6,14.5
2018-08,,,PD,,191.5,16.0
2018-09,58.0,79.2,PD,7.7,9.5,
2018-10,3.0,11.8,PD,7.4,5.9,10.0
2018-11,18.0,49.3,PD,8.0,3.2,44.8
2018-12,16.0,25.9,PD,6.9,6.2,10.0
2019-01,,,PD,,,
2019-02,,,PD,,,
2019-03,,,PD,,,
2019-04,,,PD,,,
2019-05,,,PD,,,
2019-06,,,PD,,,
2019-07,,,PD,,,
2019-08,,,PD,,,
2019-09,,,PD,,,
2019-10,,,PD,,,
2019-11,16.0,27.4,PD,7.3,8.4,11.8
2019-12,27.0,40.2,PD,7.2,6.7,10.0
