DATE,ACIDEZ,ALCALINIDADE,ENTIDADE
2013-01,77.0,436.7,REATOR
2013-02,84.2,257.7,REATOR
2013-03,73.55,308.25,REATOR
2013-04,72.0,286.5,REATOR
2013-05,66.5,461.9,REATOR
2013-06,,,REATOR
2013-07,75.6,337.1,REATOR
2013-08,184.2,1364.9,REATOR
2013-09,92.1,696.6,REATOR
2013-10,140.9,898.8,REATOR
2013-11,,,REATOR
2013-12,303.9,1251.2,REATOR
2014-01,194.0,1147.0,REATOR
2014-02,75.6,297.2,REATOR
2014-04,157.7,883.3,REATOR
2014-05,63.5,465.1,REATOR
2014-06,52.8,337.9,REATOR
2014-07,,,REATOR
2014-08,95.8,690.3,REATOR
2014-09,244.9,1673.5,REATOR
2014-10,238.0,754.0,REATOR
2014-11,330.0,1451.4,REATOR
2014-12,66.4,361.9,REATOR
2015-01,182.6,434.5,REATOR
2015-02,16.9,94.5,REATOR
2015-03,116.7,253.9,REATOR
2015-04,31.5,194.8,REATOR
2015-05,28.1,204.4,REATOR
2015-06,81.0,1040.6,REATOR
2015-07,29.3,598.0,REATOR
2015-08,32.6,575.1,REATOR
2015-09,41.6,848.6,REATOR
2015-10,14.6,296.4,REATOR
2015-11,19.1,567.0,REATOR
2015-12,18.0,360.0,REATOR
2016-01,52.9,1301.6,REATOR
2016-02,,,REATOR
2016-03,,,REATOR
2016-04,16.9,450.0,REATOR
2016-05,83.3,1970.4,REATOR
2016-06,34.9,429.6,REATOR
2016-07,97.3,384.0,REATOR
2016-08,75.9,309.6,REATOR
2016-09,231.7,454.8,REATOR
2016-10,31.5,561.4,REATOR
2016-11,10.1,158.6,REATOR
2016-12,57.6,312.0,REATOR
2017-01,10.8,144.0,REATOR
2017-02,15.0,159.4,REATOR
2017-03,25.7,270.7,REATOR
2017-04,17.3,224.8,REATOR
2017-05,50.5,449.2,REATOR
2017-06,15.9,259.4,REATOR
2017-07,14.0,192.1,REATOR
2017-08,24.3,226.2,REATOR
2017-09,29.5,351.0,REATOR
2017-10,27.1,142.2,REATOR
2017-11,207.3,399.3,REATOR
2017-12,66.0,821.3,REATOR
2018-01,18.3,207.2,REATOR
2018-02,22.9,247.4,REATOR
2018-03,27.1,286.4,REATOR
2018-04,82.8,313.6,REATOR
2018-05,39.8,1308.5,REATOR
2018-06,33.2,412.3,REATOR
2018-07,134.3,34.4,REATOR
2018-08,18.3,81.4,REATOR
2018-09,98.3,257.8,REATOR
2018-10,54.3,219.5,REATOR
2018-11,30.4,209.9,REATOR
2018-12,45.8,172.9,REATOR
2019-01,39.8,382.2,REATOR
2019-02,24.3,151.7,REATOR
2019-03,,,REATOR
2019-04,,,REATOR
2019-05,,,REATOR
2019-06,,,REATOR
2019-07,,,REATOR
2019-08,,,REATOR
2019-09,,,REATOR
2019-10,,,REATOR
2019-11,32.8,99.4,REATOR
2019-12,,,REATOR
